gauge_id;MINLON;MAXLON;MINLAT;MAXLAT
01013500;-68.98618;-68.04259;46.66314;47.33551
01022500;-68.31497;-67.85154;44.57274;45.03365
01030500;-68.57901;-67.67059;45.34581;46.28691
01031500;-69.78538;-69.29456;45.05244;45.47336
01047000;-70.41462;-69.92804;44.79775;45.23691
01052500;-71.36138;-71.03292;44.81474;45.14702
01054200;-71.20024;-70.90881;44.20592;44.41566
01055000;-70.79982;-70.75936;44.74814;44.7884
01057000;-70.76355;-70.44971;44.26135;44.43355
01073000;-71.07776;-70.92194;43.10191;43.20722
01078000;-72.04309;-71.71945;43.44724;43.66749
01118300;-71.88356;-71.79976;41.42979;41.53355
01121000;-72.24693;-72.09673;41.7579;41.99371
01123000;-72.11882;-71.99415;41.62772;41.86584
01134500;-71.92745;-71.67746;44.46014;44.71556
01137500;-71.69604;-71.28345;44.14814;44.33386
01139000;-72.37595;-72.02274;44.09996;44.34379
01139800;-72.42325;-72.2971;44.04776;44.15009
01142500;-72.73489;-72.59015;43.90845;44.08652
01144000;-73.00165;-72.33164;43.64477;44.12633
01150900;-72.85703;-72.72245;43.58426;43.73281
01162500;-72.13873;-72.09577;42.64665;42.68858
01169000;-72.90026;-72.65745;42.60083;42.86236
01170100;-72.82949;-72.62131;42.66814;42.8879
01181000;-73.18092;-72.85448;42.19097;42.43442
01187300;-73.06586;-72.90435;42.00645;42.14856
01195100;-72.59442;-72.50166;41.2744;41.39251
01333000;-73.34494;-73.13861;42.55727;42.73598
01350000;-74.51033;-74.04473;42.14191;42.39997
01350080;-74.45687;-74.23991;42.33576;42.47075
01350140;-74.62488;-74.43468;42.3953;42.4996
01365000;-74.52417;-74.32026;41.8338;41.99698
01411300;-74.93422;-74.79663;39.24776;39.47029
01413500;-74.7061;-74.39752;42.00412;42.38665
01414500;-74.76942;-74.55043;42.02499;42.13488
01415000;-74.87296;-74.71277;42.09497;42.26117
01423000;-75.2252;-74.53859;42.10757;42.48259
01434025;-74.52446;-74.44415;41.97268;42.05493
01435000;-74.65131;-74.33796;41.85139;42.05493
01439500;-75.22051;-74.99595;41.05014;41.28534
01440000;-74.99033;-74.80354;41.06867;41.19717
01440400;-75.3797;-75.14731;41.06026;41.29234
01451800;-75.78993;-75.57464;40.55633;40.76646
01466500;-74.53029;-74.4506;39.83667;39.91106
01484100;-75.57414;-75.49117;38.85085;38.92866
01485500;-75.55434;-75.38833;38.20351;38.40844
01486000;-75.7144;-75.60305;38.17244;38.24639
01487000;-75.68695;-75.49163;38.70441;38.9162
01491000;-75.8496;-75.60045;38.97587;39.20125
01510000;-75.92239;-75.65783;42.52076;42.7361
01516500;-76.9532;-76.91192;41.72841;41.76915
01518862;-77.77669;-77.47344;41.80595;42.05611
01532000;-76.94365;-76.44912;41.54042;41.76593
01539000;-76.53453;-76.16659;41.05373;41.31664
01542810;-78.33915;-78.24556;41.55779;41.65968
01543000;-78.58278;-78.06358;41.38861;41.7127
01543500;-78.71292;-78.06358;41.10687;41.7127
01544500;-77.86567;-77.51786;41.42844;41.69941
01545600;-77.72238;-77.53798;41.34542;41.57407
01547700;-77.8781;-77.57634;40.96088;41.11669
01548500;-77.9178;-77.21542;41.45397;41.94902
01549500;-77.25856;-77.04609;41.42436;41.64144
01550000;-77.11438;-76.74089;41.38656;41.67237
01552000;-77.01329;-76.20174;41.30222;41.61513
01552500;-76.57368;-76.35537;41.31235;41.43484
01557500;-78.31321;-78.10396;40.6566;40.82068
01567500;-77.52803;-77.36228;40.33687;40.4469
01568000;-77.70266;-77.13229;40.18126;40.4469
01580000;-76.70763;-76.36618;39.59121;39.80798
01583500;-76.86885;-76.6198;39.43576;39.62516
