SiteID	SiteCode	SiteName	Latitude	Longitude	MINLON	MAXLON	MINLAT	MAXLAT	LatLongDat	Elevation_	VerticalDa	LocalX	LocalY	LocalProje	PosAccurac	State	County	Comments	HUC8	DrainageAr
1.0	02156500	BROAD RIVER NEAR CARLISLE, S. C.	34.5961	-81.4222	-82.60693	-81.18798	34.56971	35.64287	3.0	None	None	None	None	None	None	SC	None	Catchment outlet location	03050106	7226.1
2.0	01567000	JUNIATA RIVER AT NEWPORT, PA.	40.4783	-77.1294	-78.89779	-77.03309	39.82386	40.83454	3.0	None	None	None	None	None	None	PA	None	Catchment outlet location	02050304	8686.9
3.0	01610000	POTOMAC R AT PAW PAW, WV	39.5389	-78.4567	-79.66851	-78.34954	38.36577	39.98051	3.0	None	None	None	None	None	None	MD	None	Catchment outlet location	02070003	8052.3
4.0	01531000	CHEMUNG RIVER AT CHEMUNG NY	42.0022	-76.635	-77.91462	-76.59983	41.59442	42.64259	3.0	None	None	None	None	None	None	NY	None	Catchment outlet location	02050105	6490.5
5.0	06810000	Nishnabotna River above Hamburg, IA	40.6325	-95.6256	-95.70476	-94.61909	40.57071	42.06047	3.0	None	None	None	None	None	None	IA	None	Catchment outlet location	10240004	7267.5
6.0	03253500	LICKING RIVER AT CATAWBA, KY.	38.7103	-84.3108	-84.61074	-82.86686	37.46589	38.73902	3.0	None	None	None	None	None	None	KY	None	Catchment outlet location	05100101	8547.0
7.0	10301500	WALKER R NR WABUSKA, NV	39.1528	-119.0972	-119.66498	-118.65847	38.01175	39.25989	3.0	None	None	None	None	None	None	NV	None	Catchment outlet location	16050303	6734.0
8.0	02116500	YADKIN RIVER AT YADKIN COLLEGE N C	35.8567	-80.3861	-81.67791	-80.05483	35.82367	36.69271	3.0	None	None	None	None	None	None	NC	None	Catchment outlet location	03040101	5905.2
9.0	06908000	BLACKWATER RIVER AT BLUE LICK, MISSOURI	38.9922	-93.1967	-94.13001	-93.15266	38.5502	39.15261	3.0	None	None	None	None	None	None	MO	None	Catchment outlet location	10300104	2900.8
10.0	03274000	G MIAMI R AT HAMILTON OH	39.3911	-84.5722	-84.9107	-83.53758	39.23644	40.59706	3.0	None	None	None	None	None	None	OH	None	Catchment outlet location	05080002	9401.7
11.0	03455000	FRENCH BROAD RIVER NEAR NEWPORT, TN	35.9817	-83.1611	-83.18721	-82.24736	35.04061	36.08461	3.0	None	None	None	None	None	None	TN	None	Catchment outlet location	06010105	4812.2
12.0	03070000	CHEAT RIVER AT ROWLESBURG, WV	39.3467	-79.6656	-80.01565	-79.27993	38.42823	39.50973	3.0	None	None	None	None	None	None	WV	None	Catchment outlet location	05020004	2426.8
13.0	01608500	SOUTH BRANCH POTOMAC RIVER NEAR SPRINGFIELD, WV	39.4469	-78.6544	-79.66851	-78.54118	38.36577	39.52642	3.0	None	None	None	None	None	None	WV	None	Catchment outlet location	02070001	3809.9
14.0	07183000	NEOSHO R NR IOLA, KS	37.8908	-95.4306	-97.44072	-95.13024	37.83616	38.88433	3.0	None	None	None	None	None	None	KS	None	Catchment outlet location	11070204	9888.6
15.0	10312000	CARSON RIVER NEAR FORT CHURCHILL, NV	39.2917	-119.3111	-120.01076	-119.28753	38.33253	39.45569	3.0	None	None	None	None	None	None	NV	None	Catchment outlet location	16050202	3372.2
16.0	07348000	TWELVEMILE BAYOU NEAR DIXIE, LA	32.6458	-93.8778	-95.37693	-93.79135	32.49102	33.24757	3.0	None	None	None	None	None	None	LA	None	Catchment outlet location	11140304	8124.8
