stid,station_name,lat,lon,elev,begints,iem_network
RSDM7,102 River  AT Rosendale,40.0456,-94.8289,283,2008-10-22 00:00,MO_DCP
AATC2,10 ENE Alamosa River,37.3528,-106.2769,2583,2010-12-07 00:00,CO_DCP
GARO3,10 METER WINDS,45.5703,-123.9561,5.4457383,2010-12-07 00:00,OR_DCP
WMOC2,10 NW W Monument Ck @ Afa,38.9706,-104.9022,2207,2010-12-07 00:00,CO_DCP
ESIM6,10 S East Ship Island near Biloxi,30.2575,-88.8708,0,2010-12-07 00:00,MS_DCP
OHIT2,10 SW O.H. Ivie,31.5,-99.6681,472,2010-12-07 00:00,TX_DCP
MWBA3,10TH STREET WASH BASIN #1,33.5797,-112.0544,406,2010-12-16 00:00,AZ_DCP
FOGF1,11 E Fort Ogden,27.0517,-81.7847,17,2010-12-07 00:00,FL_DCP
LYDM8,11 E LIBBY DAM,48.4667,-115.3167,773,2010-12-07 00:00,MT_DCP
TERC2,11 ENE Alamosa River,37.3744,-106.3342,2631,2010-12-07 00:00,CO_DCP
TRRC2,11 ENE Platoro,37.3572,-106.2844,2611,2010-12-07 00:00,CO_DCP
CTTC2,11 NW Crestone,38.1319,-105.7881,2640,2010-12-07 00:00,CO_DCP
BIGF1,11 S Myakka City,27.1931,-82.1444,16,2010-12-07 00:00,FL_DCP
TMCM5,12 MILE CREEK AT C.S.A.H. #14,45.8597,-96.3583,306,2007-12-31 00:00,MN_DCP
DUMM5,12 Mile Creek Nr Dumont 3 E 12 Mile Creek Nr Dumont,45.7161,-96.3486,316,2007-12-31 00:00,MN_DCP
RGCC2,12 NW Alamosa,37.57,-106.0383,2323,2010-12-07 00:00,CO_DCP
SCKC2,12 NW Saguache,38.1633,-106.29,2454,2010-12-07 00:00,CO_DCP
CRCC2,12 SSW Parlin,38.3356,-106.7717,2690,2010-12-07 00:00,CO_DCP
SDCC2,13 SSE Crestone,37.8297,-105.5931,2413,2010-12-07 00:00,CO_DCP
GIBL1,13 SSE CRM Station 0411 near Gibson,29.4978,-90.9481,4,2010-12-07 00:00,LA_DCP
ADBA3,14 AT Adobe Dam - Phoenix,33.6769,-112.1533,421.62482,2010-12-21 00:00,AZ_DCP
MCNC2,14 N Monument Ck N. Gate,39.0311,-104.8478,2026,2010-12-07 00:00,CO_DCP
