NWS  |USGS           |        |   |           |            |
5 CHR|STATION        |GOES    |NWS|LATITUDE   |LONGITUDE   |LOCATION
IDENT|NUMBER         |IDENTIFR|HSA|dd mm ss   | ddd mm ss  |NAME
-----|---------------|--------|---|-----------|------------|------------------------------
APTA2|15239900       |173A91AA|AFC|59 44 50   |151 45 11   |ANCHOR R NR ANCHOR POINT AK
BATA2|15238986       |163BCC5C|AFC|59 45 44.4 |150 57 11.0 |BATTLE C 1.0 MI AB MOUTH NR HOMER AK
BCCA2|15446000       |163C6042|AFC|65 42 40   |144 20 00   |BIRCH C NR CIRCLE AK
BEVA2|15266500       |DE57B0AE|AFC|60 33 50   |151 07 03   |BEAVER C NR KENAI AK
BRMA2|15239050       |1639F2E0|AFC|59 46 42   |150 45 15   |MF BRADLEY R NR HOMER AK
BRNA2|15239060       |DE529182|AFC|59 47 54   |150 51 48   |MF BRADLEY R BL NF BRADLEY R NR HOMER AK
BRRA2|15239001       |17DC8798|AFC|59 45 30   |150 51 02   |BRADLEY R BL DAM NR HOMER AK
BRTA2|15239070       |DE52A418|AFC|59 48 06   |150 52 58   |BRADLEY R NR TIDEWATER NR HOMER AK
BRUA2|15238990       |17DCA174|AFC|59 42 02   |150 42 09   |UPPER BRADLEY R NR NUKA GLACIER NR HOMER AK
CCSA2|15274600       |DDFCE7CA|AFC|61 08 22   |149 55 24   |CAMPBELL C NR SPENARD AK
CHLA2|15511000       |DDC625F6|AFC|64 53 10   |147 14 50   |L CHENA R NR FAIRBANKS AK
CHRA2|15275100       |DDE5E8DA|AFC|61 12 19   |149 53 43   |CHESTER C AT ARCTIC BOULEVARD AT ANCHORAGE AK
CJXA2|15304000       |172F7206|AFC|61 52 10   |158 06 41   |KUSKOKWIM R AT CROOKED CREEK AK
CKDA2|15304010       |173AB746|AFC|61 53 24   |158 09 16   |CROOKED C AB AIRPORT RD NR CROOKED CREEK AK
COCA2|15261000       |DD3FE4A0|AFC|60 28 50   |149 52 50   |COOPER C AT MOUTH NR COOPER LANDING AK
COOA2|15258000       |1731446A|AFC|60 29 34   |149 48 28   |KENAI R AT COOPER LANDING AK
EKLA2|15278000       |17354150|AFC|61 24 39   |149 07 20   |EKLUTNA LK NR PALMER AK
