site_no,lat,lon,huc2,huc4,huc6,huc8,rfc
01100568,42.46703909,-71.2722795,01,0107,010700,01070002,NERFC
01104455,42.37259606,-71.27033448,01,0109,010900,01090001,NERFC
01377370,41.03666667,-74.0391667,02,0203,020301,02030103,MARFC
01392500,40.78805556,-74.1716667,02,0203,020301,02030103,MARFC
01393450,40.675,-74.2219444,02,0203,020301,02030104,MARFC
01403150,40.6122222,-74.5908333,02,0203,020301,02030105,MARFC
01403540,40.63638889,-74.45138889,02,0203,020301,02030105,MARFC
01467036,40.1809422,-75.11211669,02,0204,020402,02040202,MARFC
01467042,40.08983289,-75.0690611,02,0204,020402,02040202,MARFC
01467086,40.04650038,-75.11073008,02,0204,020402,02040203,MARFC
01467087,40.0159454,-75.0968411,02,0204,020402,02040202,MARFC
01475530,39.97483455,-75.2799067,02,0204,020402,02040202,MARFC
01475548,39.9327861,-75.2376361,02,0204,020402,02040202,MARFC
01475850,39.97649897,-75.4365864,02,0204,020402,02040202,MARFC
01483155,39.4309722,-75.7094722,02,0204,020402,02040205,MARFC
01494850,39.8223306,-75.8968883,02,0206,020600,02060002,MARFC
01531250,41.84035215,-76.8269019,02,0205,020501,02050106,MARFC
01576516,39.99154444,-76.2609306,02,0205,020503,02050306,MARFC
015765185,39.99119167,-76.26395278,02,0205,020503,02050306,MARFC
01581500,39.5414722,-76.3301111,02,0206,020600,02060003,MARFC
01581649,39.49219444,-76.2591111,02,0206,020600,02060003,MARFC
01581700,39.51994444,-76.3729722,02,0206,020600,02060003,MARFC
01581752,39.49649667,-76.34745969,02,0206,020600,02060003,MARFC
0158175320,39.4817222,-76.34052778,02,0206,020600,02060003,MARFC
01583100,39.5206111,-76.76688889,02,0206,020600,02060003,MARFC
01583500,39.51077778,-76.6765,02,0206,020600,02060003,MARFC
01583580,39.4794722,-76.67802778,02,0206,020600,02060003,MARFC
0158397967,39.41010679,-76.5560775,02,0206,020600,02060003,MARFC
01584050,39.45469444,-76.47888889,02,0206,020600,02060003,MARFC
01584500,39.5053611,-76.43177778,02,0206,020600,02060003,MARFC
01585090,39.3795833,-76.4958056,02,0206,020600,02060003,MARFC
01585100,39.37052778,-76.4459167,02,0206,020600,02060003,MARFC
01585104,39.383,-76.4329722,02,0206,020600,02060003,MARFC
01585200,39.37363889,-76.5843333,02,0206,020600,02060003,MARFC
01585500,39.5933333,-76.96752778,02,0206,020600,02060003,MARFC
01589100,39.24,-76.6921944,02,0206,020600,02060003,MARFC
01589197,39.44294444,-76.7834167,02,0206,020600,02060003,MARFC
01589238,39.40044444,-76.7704444,02,0206,020600,02060003,MARFC
01589290,39.36171708,-76.761446,02,0206,020600,02060003,MARFC
01589300,39.34588889,-76.7331944,02,0206,020600,02060003,MARFC
01589305,39.3351111,-76.7108333,02,0206,020600,02060003,MARFC
01589315,39.31325,-76.7321111,02,0206,020600,02060003,MARFC
01589316,39.31891667,-76.7506944,02,0206,020600,02060003,MARFC
01589317,39.327,-76.74513889,02,0206,020600,02060003,MARFC
01589320,39.31805556,-76.73577778,02,0206,020600,02060003,MARFC
01589330,39.3112222,-76.71663889,02,0206,020600,02060003,MARFC
01589352,39.2715,-76.6485556,02,0206,020600,02060003,MARFC
01589440,39.3917222,-76.6609444,02,0206,020600,02060003,MARFC
01589464,39.3395,-76.6256944,02,0206,020600,02060003,MARFC
01644372,39.22288366,-77.2491504,02,0207,020700,02070008,MARFC
01644375,39.1989949,-77.27498388,02,0207,020700,02070008,MARFC
01644380,39.2066111,-77.2885833,02,0207,020700,02070008,MARFC
01644390,39.216,-77.3164167,02,0207,020700,02070008,MARFC
01645762,38.90888916,-77.3382627,02,0207,020700,02070008,MARFC
01651800,38.9011111,-76.9421944,02,0207,020700,02070010,MARFC
01652500,38.8433333,-77.0858611,02,0207,020700,02070010,MARFC
01653000,38.8065021,-77.1097011,02,0207,020700,02070010,MARFC
01656903,38.8823899,-77.4319047,02,0207,020700,02070010,MARFC
0208732534,35.7875,-78.6547222,03,0302,030202,03020201,SERFC
0208732885,35.81694444,-78.5930556,03,0302,030202,03020201,SERFC
0208735012,35.78,-78.66638889,03,0302,030202,03020201,SERFC
02094659,36.04944444,-79.8552778,03,0303,030300,03030002,SERFC
02094770,36.03805556,-79.7997222,03,0303,030300,03030002,SERFC
02094775,36.0311111,-79.7961111,03,0303,030300,03030002,SERFC
02095181,36.07916667,-79.8127778,03,0303,030300,03030002,SERFC
02102192,35.5597222,-78.9736111,03,0303,030300,03030004,SERFC
0212430293,35.2586111,-80.6627778,03,0304,030401,03040105,SERFC
0212430653,35.25388889,-80.6480556,03,0304,030401,03040105,SERFC
0212467595,35.125,-80.6027778,03,0304,030401,03040105,SERFC
02142914,35.29944444,-80.94638889,03,0305,030501,03050101,SERFC
02146000,34.98486935,-80.9739658,03,0305,030501,03050103,SERFC
02146211,35.26194444,-80.8369444,03,0305,030501,03050103,SERFC
0214627970,35.24027778,-80.8683333,03,0305,030501,03050103,SERFC
02146300,35.19777778,-80.9044444,03,0305,030501,03050103,SERFC
02146315,35.20666667,-80.9219444,03,0305,030501,03050103,SERFC
02146409,35.2036111,-80.8369444,03,0305,030501,03050103,SERFC
0214645075,35.16888889,-80.8308333,03,0305,030501,03050103,SERFC
02146470,35.16444444,-80.8530556,03,0305,030501,03050103,SERFC
02146507,35.14805556,-80.8577778,03,0305,030501,03050103,SERFC
0214655255,35.1758333,-80.7191667,03,0305,030501,03050103,SERFC
02146562,35.18666667,-80.7366667,03,0305,030501,03050103,SERFC
0214657975,35.1586111,-80.7133333,03,0305,030501,03050103,SERFC
02146700,35.1408333,-80.82,03,0305,030501,03050103,SERFC
02162093,34.02737615,-81.0417588,03,0305,030501,03050106,SERFC
02168504,34.0509822,-81.2095418,03,0305,030501,03050109,SERFC
02181580,34.73203858,-83.3757198,03,0306,030601,03060102,SERFC
02237293,28.7444364,-81.8725798,03,0308,030801,03080102,SERFC
02238500,29.0811111,-81.8808333,03,0308,030801,03080102,SERFC
02309415,28.02335166,-82.7406565,03,0310,031002,03100207,SERFC
02336152,33.81044444,-84.2479722,03,0313,031300,03130001,SERFC
02336240,33.80288264,-84.3407585,03,0313,031300,03130001,SERFC
02336313,33.8217716,-84.4388178,03,0313,031300,03130001,SERFC
02336360,33.86916667,-84.37888889,03,0313,031300,03130001,SERFC
