site_no,lat,lon,huc2,huc4,huc6,huc8,rfc
01104430,42.3981512,-71.2733903,01,0109,010900,01090001,NERFC
01104455,42.37259606,-71.27033448,01,0109,010900,01090001,NERFC
01325000,43.31138889,-73.8672222,02,0202,020200,02020002,NERFC
01348000,43.01666667,-74.7408333,02,0202,020200,02020004,NERFC
01449800,40.84564756,-75.6457437,02,0204,020401,02040106,MARFC
01470960,40.3706482,-76.0252159,02,0204,020402,02040203,MARFC
01471000,40.36898166,-75.9791015,02,0204,020402,02040203,MARFC
01547500,41.05173127,-77.6044379,02,0205,020502,02050204,MARFC
01569460,40.129533,-77.4072075,02,0205,020503,02050305,MARFC
01578310,39.6579133,-76.1741754,02,0205,020503,02050306,MARFC
01591610,39.19219444,-77.00438889,02,0206,020600,02060006,MARFC
01592500,39.1157222,-76.87375,02,0206,020600,02060006,MARFC
02037000,37.5645912,-77.5741546,02,0208,020802,02080205,MARFC
02050000,36.68042849,-76.918294,03,0301,030102,03010202,SERFC
02072000,36.7806925,-80.0247647,03,0301,030101,03010103,SERFC
02072500,36.77013709,-80.00087509,03,0301,030101,03010103,SERFC
02073000,36.6612486,-79.8805946,03,0301,030101,03010103,SERFC
02074000,36.52555556,-79.7655556,03,0301,030101,03010103,SERFC
02080500,36.46,-77.6336111,03,0301,030101,03010107,SERFC
02087183,35.94,-78.5808333,03,0302,030202,03020201,SERFC
0211139110,36.1361111,-81.2233333,03,0304,030401,03040101,SERFC
02129000,34.9458333,-79.8697222,03,0304,030402,03040201,SERFC
02130561,34.60626798,-79.7883963,03,0304,030402,03040201,SERFC
02138520,35.7403611,-81.8346667,03,0305,030501,03050101,SERFC
02146000,34.98486935,-80.9739658,03,0305,030501,03050103,SERFC
02147020,34.83625705,-80.879518,03,0305,030501,03050103,SERFC
02148000,34.24459385,-80.6539697,03,0305,030501,03050104,SERFC
02153551,35.0312419,-81.492591,03,0305,030501,03050105,SERFC
02162093,34.02737615,-81.0417588,03,0305,030501,03050106,SERFC
02171500,33.45433217,-80.14147189,03,0305,030501,03050112,SERFC
02171645,33.4275,-79.915,03,0305,030501,03050112,SERFC
02196485,33.54930154,-82.0367836,03,0306,030601,03060106,SERFC
02210500,33.30790004,-83.8382362,03,0307,030701,03070103,SERFC
02213500,32.80888889,-83.7583333,03,0307,030701,03070103,SERFC
02223000,33.0895876,-83.215432,03,0307,030701,03070102,SERFC
02235500,28.944154,-81.3397866,03,0308,030801,03080101,SERFC
02240000,29.21469888,-81.9859203,03,0308,030801,03080102,SERFC
02240500,29.37166667,-81.9019444,03,0308,030801,03080102,SERFC
02243960,29.50833333,-81.8041667,03,0308,030801,03080102,SERFC
02244333,29.39469798,-81.3711787,03,0308,030801,03080103,SERFC
02263869,28.41278456,-81.5378509,03,0309,030901,03090101,SERFC
022908295,25.46797778,-80.8545278,03,0309,030902,03090202,SERFC
02306000,28.02113004,-82.451761,03,0310,031002,03100205,SERFC
02312700,28.8002651,-82.1528658,03,0310,031002,03100208,SERFC
02313100,29.04942056,-82.44759948,03,0310,031002,03100208,SERFC
02313250,29.02108538,-82.6378818,03,0310,031002,03100208,SERFC
02322688,29.9799552,-82.758457,03,0311,031102,03110206,SERFC
02322700,29.95273288,-82.7859573,03,0311,031102,03110206,SERFC
02322800,29.91162076,-82.8604033,03,0311,031102,03110206,SERFC
02323566,29.4896808,-82.976791,03,0311,031102,03110205,SERFC
02323592,29.33940554,-83.086515,03,0311,031102,03110205,SERFC
02334430,34.15694444,-84.07888889,03,0313,031300,03130001,SERFC
02334653,34.05630556,-84.1090833,03,0313,031300,03130001,SERFC
02335000,33.9972222,-84.2019444,03,0313,031300,03130001,SERFC
02335450,33.98593369,-84.3160356,03,0313,031300,03130001,SERFC
02335815,33.96805556,-84.3827778,03,0313,031300,03130001,SERFC
02336000,33.85916667,-84.4544444,03,0313,031300,03130001,SERFC
02336490,33.81694444,-84.48,03,0313,031300,03130002,SERFC
02339500,32.88623868,-85.18216359,03,0313,031300,03130002,SERFC
02342881,32.1423755,-85.0463196,03,0313,031300,03130003,SERFC
023432415,31.62138889,-85.06,03,0313,031300,03130004,SERFC
02350512,31.725,-84.0186111,03,0313,031300,03130006,SERFC
02352500,31.59416667,-84.1441667,03,0313,031300,03130008,SERFC
02369600,30.569639,-86.9235732,03,0314,031401,03140103,SERFC
02372422,31.3612799,-86.5196826,03,0314,031403,03140301,SERFC
02372430,31.34822474,-86.5294047,03,0314,031403,03140301,SERFC
02382500,34.60369697,-84.6954905,03,0315,031501,03150102,SERFC
02394000,34.16315298,-84.7410474,03,0315,031501,03150104,SERFC
02394670,34.1428753,-84.8388286,03,0315,031501,03150104,SERFC
02395000,34.20903968,-84.9786749,03,0315,031501,03150104,SERFC
02395980,34.2323166,-85.1168932,03,0315,031501,03150104,SERFC
02414500,33.11678684,-85.5607875,03,0315,031501,03150109,SERFC
02414715,32.97734526,-85.7396808,03,0315,031501,03150109,SERFC
02453500,33.75760677,-87.1702791,03,0316,031601,03160109,SERFC
03012550,41.84144917,-79.0119846,05,0501,050100,05010001,OHRFC
03014500,42.1125,-79.20388889,05,0501,050100,05010002,OHRFC
03030500,41.19256259,-79.440045,05,0501,050100,05010005,OHRFC
03044000,40.4545117,-79.3908724,05,0501,050100,05010007,OHRFC
03076500,39.6536111,-79.4083056,05,0502,050200,05020006,OHRFC
03090500,41.0483912,-81.0012032,05,0503,050301,05030103,OHRFC
03091500,41.1314461,-80.9712018,05,0503,050301,05030103,OHRFC
03092460,41.15700127,-81.0717621,05,0503,050301,05030103,OHRFC
03101500,41.49810898,-80.46006929,05,0503,050301,05030102,OHRFC
03103500,41.2661668,-80.4725697,05,0503,050301,05030102,OHRFC
03171000,37.14179254,-80.56922499,05,0505,050500,05050001,OHRFC
03209000,37.23705384,-82.34320179,05,0507,050702,05070202,OHRFC
03286200,37.7931339,-84.7060566,05,0510,051002,05100205,OHRFC
03424860,36.1861111,-85.9044444,05,0513,051301,05130108,OHRFC
03431500,36.1614984,-86.7726764,05,0513,051302,05130202,OHRFC
03460795,35.7836111,-83.1119444,06,0601,060101,06010106,LMRFC
03461500,35.96065267,-83.1743237,06,0601,060101,06010106,LMRFC
03505550,35.305,-83.6522222,06,0601,060102,06010202,LMRFC
03508050,35.28777778,-83.14388889,06,0601,060102,06010203,LMRFC
03510577,35.38444444,-83.2916667,06,0601,060102,06010203,LMRFC
03566000,35.29514804,-84.759955,06,0602,060200,06020002,LMRFC
04033500,46.39911276,-89.14653,04,0402,040201,04020102,NCRFC
04037500,46.25328179,-89.4515357,04,0402,040201,04020102,NCRFC
04057813,46.43438238,-87.7695795,04,0403,040301,04030110,NCRFC
