site_no,lat,lon,huc2,huc4,huc6,huc8,rfc
01013500,47.2375,-68.58277778,01,0101,010100,01010003,NERFC
01175500,42.2678699,-72.3325824,01,0108,010802,01080204,NERFC
02303800,28.08888889,-82.4091667,03,0310,031002,03100205,SERFC
02310525,28.51888454,-82.5823215,03,0310,031002,03100207,SERFC
02312600,28.74359973,-82.2200892,03,0310,031002,03100208,SERFC
02312762,28.91220435,-82.2800934,03,0310,031002,03100208,SERFC
02312764,28.9511111,-82.25,03,0310,031002,03100208,SERFC
02313000,28.98886759,-82.3495406,03,0310,031002,03100208,SERFC
02323000,29.79134359,-82.924293,03,0311,031102,03110205,SERFC
02326526,30.3013159,-83.9796085,03,0311,031101,03110103,SERFC
02326900,30.2714311,-84.1482508,03,0312,031200,03120001,SERFC
03343010,38.6814358,-87.5352993,05,0512,051201,05120111,OHRFC
03373500,38.66699568,-86.79194299,05,0512,051202,05120208,OHRFC
03374000,38.51088224,-87.2894583,05,0512,051202,05120202,OHRFC
03374100,38.4897695,-87.55002269,05,0512,051202,05120202,OHRFC
03376500,38.39032397,-87.5489109,05,0512,051202,05120209,OHRFC
03377500,38.3983333,-87.75638889,05,0512,051201,05120113,OHRFC
03378500,38.13199014,-87.9403079,05,0512,051201,05120113,OHRFC
03381500,38.0611573,-88.1597597,05,0512,051201,05120114,OHRFC
03381700,37.69194444,-88.1333333,05,0514,051402,05140203,OHRFC
04045500,46.57501478,-85.2695548,04,0402,040202,04020202,NCRFC
04073365,43.8511111,-89.1333333,04,0403,040302,04030201,NCRFC
04073500,43.95388889,-88.9525,04,0403,040302,04030201,NCRFC
04079000,44.3922026,-88.7403812,04,0403,040302,04030202,NCRFC
04084445,44.24805556,-88.4230556,04,0403,040302,04030204,NCRFC
07289000,NA,NA,NA,NA,NA,NA,NA
07364200,32.9904049,-91.6556779,08,0804,080402,08040205,LMRFC
07374000,30.44566667,-91.1915556,08,0807,080701,08070100,LMRFC
12143700,47.43260287,-121.7523308,17,1711,171100,17110010,NWRFC
14238000,46.51038526,-122.616224,17,1708,170800,17080005,NWRFC
14312500,43.18666667,-122.1663889,17,1710,171003,17100301,NWRFC
