site_no,lat,lon,huc2,huc4,huc6,huc8,rfc
01049500,44.22916667,-69.7780556,01,0103,010300,01030003,NERFC
01315500,43.7008333,-73.9833333,02,0202,020200,02020001,NERFC
01318500,43.31888889,-73.8441667,02,0202,020200,02020001,NERFC
01321000,43.35277778,-74.27027778,02,0202,020200,02020002,NERFC
01618100,39.4830833,-77.8318333,02,0207,020700,02070004,MARFC
04096405,42.1031014,-85.0799764,04,0405,040500,04050001,NCRFC
04097500,41.94032575,-85.6327707,04,0405,040500,04050001,NCRFC
04097540,41.88838304,-85.409428,04,0405,040500,04050001,NCRFC
04099000,41.80088279,-85.7561047,04,0405,040500,04050001,NCRFC
04099510,41.6344947,-85.109691,04,0405,040500,04050001,NCRFC
04099750,41.7489396,-85.5763747,04,0405,040500,04050001,NCRFC
04100500,41.5933827,-85.8486057,04,0405,040500,04050001,NCRFC
04101000,41.6917158,-85.9750004,04,0405,040500,04050001,NCRFC
04101370,41.728659,-86.2627852,04,0405,040500,04050001,NCRFC
04101500,41.8292138,-86.2597325,04,0405,040500,04050001,NCRFC
04103500,42.2647643,-84.96387,04,0405,040500,04050003,NCRFC
04109000,42.28364676,-84.4088483,04,0405,040500,04050004,NCRFC
04111000,42.5347591,-84.62303529,04,0405,040500,04050004,NCRFC
04111379,42.6830899,-84.2191329,04,0405,040500,04050004,NCRFC
04112500,42.7272571,-84.4780317,04,0405,040500,04050004,NCRFC
04113000,42.75059039,-84.555257,04,0405,040500,04050004,NCRFC
04114000,42.85642289,-84.9122182,04,0405,040500,04050004,NCRFC
04114498,42.82809018,-84.7594339,04,0405,040500,04050004,NCRFC
04115000,43.10975485,-84.6930521,04,0405,040500,04050005,NCRFC
04116000,42.971977,-85.0691725,04,0405,040500,04050006,NCRFC
04121500,43.8991863,-85.2553192,04,0406,040601,04060102,NCRFC
04135700,44.61473849,-84.455575,04,0407,040700,04070007,NCRFC
04136000,44.6769593,-84.2925146,04,0407,040700,04070007,NCRFC
04136500,44.66001385,-84.1311167,04,0407,040700,04070007,NCRFC
04136900,44.61279117,-83.83776619,04,0407,040700,04070007,NCRFC
04137005,44.56084749,-83.802764,04,0407,040700,04070007,NCRFC
04137500,44.43640447,-83.4338609,04,0407,040700,04070007,NCRFC
04146000,43.0447494,-83.33716779,04,0408,040802,04080204,NCRFC
04146063,43.1594706,-83.3507814,04,0408,040802,04080204,NCRFC
04147500,43.11113726,-83.5193965,04,0408,040802,04080204,NCRFC
04148140,43.0336381,-83.5813417,04,0408,040802,04080204,NCRFC
04148500,43.03891625,-83.771626,04,0408,040802,04080204,NCRFC
04170000,42.57892089,-83.62660809,04,0409,040900,04090005,NCRFC
04172000,42.4653119,-83.799943,04,0409,040900,04090005,NCRFC
04174500,42.28698238,-83.7338296,04,0409,040900,04090005,NCRFC
04175600,42.1680947,-84.0760575,04,0410,041000,04100002,NCRFC
04220045,43.1736111,-78.3866667,04,0413,041300,04130001,NERFC
04228500,42.91777778,-77.7572222,04,0413,041300,04130003,NERFC
04229500,42.9572222,-77.58888889,04,0413,041300,04130003,NERFC
04231600,43.1417222,-77.6163056,04,0413,041300,04130003,NERFC
04232730,42.93888889,-76.7611111,04,0414,041402,04140201,NERFC
04235000,42.91805556,-77.23277778,04,0414,041402,04140201,NERFC
04235440,42.9322222,-76.565,04,0414,041402,04140201,NERFC
04235600,43.0786111,-76.6455556,04,0414,041402,04140201,NERFC
04247000,43.205,-76.21777778,04,0414,041402,04140202,NERFC
04247055,43.21116667,-76.2871111,04,0414,041402,04140203,NERFC
04249000,43.45166667,-76.50527778,04,0414,041402,04140203,NERFC
04250200,43.5333333,-76.0386111,04,0414,041401,04140102,NERFC
04260500,43.98555556,-75.9247222,04,0415,041501,04150101,NERFC
04266500,44.2347222,-74.5719444,04,0415,041503,04150305,NERFC
04268000,44.83888889,-74.97888889,04,0415,041503,04150305,NERFC
04282500,44.01311488,-73.1678954,04,0415,041504,04150402,NERFC
04296500,44.94032449,-72.1892684,04,0415,041505,04150500,NERFC
05014300,48.7954444,-113.6805833,10,1001,100100,10010002,MBRFC
05014500,48.7988333,-113.6567306,10,1001,100100,10010002,MBRFC
05017500,48.83303718,-113.4206533,10,1001,100100,10010002,MBRFC
05030500,46.3694039,-96.0175556,09,0902,090201,09020103,NCRFC
05046000,46.20968199,-96.1850614,09,0902,090201,09020103,NCRFC
05057200,47.2291562,-98.1248189,09,0902,090202,09020203,NCRFC
05058000,47.0338718,-98.0837077,09,0902,090202,09020204,NCRFC
05058700,46.4469123,-97.6792652,09,0902,090202,09020204,NCRFC
05059000,46.63163288,-97.000643,09,0902,090202,09020204,NCRFC
05059300,46.74638889,-96.9269444,09,0902,090202,09020204,NCRFC
05061000,46.84995979,-96.3295093,09,0902,090201,09020106,NCRFC
05061500,46.7755175,-96.6281318,09,0902,090201,09020106,NCRFC
05062000,46.9610736,-96.661465,09,0902,090201,09020106,NCRFC
05062500,47.26555556,-96.2475,09,0902,090201,09020108,NCRFC
05063398,47.1133333,-96.3858333,09,0902,090201,09020108,NCRFC
05064500,47.351918,-96.843691,09,0902,090201,09020107,NCRFC
05066500,47.40942385,-97.0611974,09,0902,090201,09020109,NCRFC
05070000,47.7588646,-96.9439684,09,0902,090203,09020301,NCRFC
05076000,48.1855249,-96.1700335,09,0902,090203,09020304,NCRFC
05124480,47.9226749,-91.535126,09,0903,090300,09030001,NCRFC
05125000,47.83990347,-91.69541879,09,0903,090300,09030001,NCRFC
05126210,47.84185,-91.7990339,09,0903,090300,09030001,NCRFC
05127500,48.0823937,-91.6526237,09,0903,090300,09030001,NCRFC
05129115,48.2646282,-92.5659935,09,0903,090300,09030002,NCRFC
05129290,48.5243635,-93.0748688,09,0903,090300,09030003,NCRFC
05131500,48.39577636,-93.5493266,09,0903,090300,09030005,NCRFC
05132000,48.1957849,-93.8071245,09,0903,090300,09030006,NCRFC
05133500,48.6344009,-93.913228,09,0903,090300,09030004,NCRFC
