USGS_ID	USGS_name	Station_type	Longitude	Latitude	RFC_ID	NWS_loc_ID	NWS_HSA_ID	GOES_ID	HUC8	Hgraph_type
01010000	ST. JOHN RIVER AT NINEMILE BRIDGE MAINE	Stream	-69.71556	46.70056	NERFC	NINM1	CAR	17C662A6	01010001	unknown
01010070	BIG BLACK RIVER NEAR DEPOT MTN MAINE	Stream	-69.75167	46.89389	NERFC	BBRM1	CAR	DDB36490	01010001	unknown
01010500	ST. JOHN RIVER AT DICKEY MAINE	Stream	-69.08806	47.11306	NERFC	DICM1	CAR	DE2AB664	01010001	unknown
01011000	ALLAGASH RIVER NEAR ALLAGASH MAINE	Stream	-69.07944	47.06972	NERFC	ALLM1	CAR	DDB3A18E	01010002	unknown
01011500	ST. FRANCIS RIVER NEAR CONNORS NEW BRUNSWICK	Stream	-68.95694	47.20694	unknown	STFB3	CAR	45A46214	unknown	unknown
01013500	FISH RIVER NEAR FORT KENT MAINE	Stream	-68.58278	47.23750	NERFC	FIHM1	CAR	173E87E6	01010003	slow
01014000	ST. JOHN RIVER BELOW FISH R NR FORT KENT MAINE	Stream	-68.58528	47.28333	NERFC	FTKM1	CAR	17D613A8	01010001	unknown
01015800	AROOSTOOK RIVER NEAR MASARDIS MAINE	Stream	-68.37167	46.52306	NERFC	MASM1	CAR	1721C5E0	01010004	unknown
01017000	AROOSTOOK RIVER AT WASHBURN MAINE	Stream	-68.15722	46.77722	NERFC	WSHM1	CAR	177AC20A	01010004	unknown
01017060	HARDWOOD BROOK BELOW GLIDDEN BRK NR CARIBOU MAINE	Stream	-67.98917	46.78361	NERFC	HWBM1	CAR	1682F080	01010004	unknown
01017290	LITTLE MADAWASKA RIVER AT CARIBOU MAINE	Stream	-67.94500	46.88861	NERFC	LMRM1	CAR	17885088	01010004	unknown
01017550	WILLIAMS BROOK AT PHAIR MAINE	Stream	-67.95306	46.62806	NERFC	PHRM1	CAR	177CA722	01010005	unknown
01017960	MEDUXNEKEAG R ABOVE S BR MEDUX. R NR HOULTON ME	Stream	-67.88139	46.10500	NERFC	MXKM1	CAR	17F0E20C	01010005	unknown
01018009	PEARCE BROOK AT ROUTE 1 AT HOULTON MAINE	Stream	-67.84028	46.11528	NERFC	PEAM1	CAR	178843FE	01010005	unknown
01018035	MEDUXNEKEAG RIVER AT LOWERY RD. NR HOULTON MAINE	Stream	-67.80389	46.18111	NERFC	MXLM1	CAR	DDA80540	01010005	unknown
01018500	ST. CROIX RIVER AT VANCEBORO MAINE	Stream	-67.42833	45.56833	NERFC	VBOM1	CAR	DE2AA512	01050001	unknown
01018900	WEST GRAND LAKE AT GRAND LAKE STREAM MAINE	Lake, Reservoir, Impoundment	-67.77806	45.18111	unknown	WGRM1	CAR	177B5592	unknown	unknown
01019000	GRAND LAKE STREAM AT GRAND LAKE STREAM MAINE	Stream	-67.76889	45.17250	NERFC	GLSM1	CAR	DD2F765C	01050001	unknown
01019300	LEWY LAKE AT PRINCETON MAINE	Lake, Reservoir, Impoundment	-67.57705	45.22568	unknown	LWYM1	CAR	173E9490	unknown	unknown
01021000	ST. CROIX RIVER AT BARING MAINE	Stream	-67.31806	45.13694	NERFC	BARM1	CAR	DDF08D62	01050001	unknown
