site_no,dec_lat_va,dec_long_va,huc2,huc4,huc6,huc8,rfc
01010000,46.70055556,-69.7155556,01,0101,010100,01010001,NERFC
01010070,46.89388889,-69.7516667,01,0101,010100,01010001,NERFC
01010500,47.11305556,-69.0880556,01,0101,010100,01010001,NERFC
01011000,47.0697222,-69.0794444,01,0101,010100,01010002,NERFC
01013500,47.2375,-68.58277778,01,0101,010100,01010003,NERFC
01014000,47.2833333,-68.58527778,01,0101,010100,01010001,NERFC
01015800,46.52305556,-68.3716667,01,0101,010100,01010004,NERFC
01017000,46.7772222,-68.1572222,01,0101,010100,01010004,NERFC
01017060,46.7836111,-67.9891667,01,0101,010100,01010004,NERFC
01017290,46.8886111,-67.945,01,0101,010100,01010004,NERFC
01017550,46.62805556,-67.9530556,01,0101,010100,01010005,NERFC
01017960,46.105,-67.88138889,01,0101,010100,01010005,NERFC
01018000,46.105,-67.8666667,01,0101,010100,01010005,NERFC
01018009,46.11527778,-67.84027778,01,0101,010100,01010005,NERFC
01018035,46.1811111,-67.80388889,01,0101,010100,01010005,NERFC
01018500,45.5683333,-67.4283333,01,0105,010500,01050001,NERFC
01019000,45.1725,-67.76888889,01,0105,010500,01050001,NERFC
01021000,45.1369444,-67.3180556,01,0105,010500,01050001,NERFC
01021470,44.8008333,-67.725,01,0105,010500,01050002,NERFC
01021480,44.9369444,-67.7361111,01,0105,010500,01050002,NERFC
01022294,44.85909167,-68.10396389,01,0105,010500,01050002,NERFC
01022500,44.60805556,-67.93527778,01,0105,010500,01050002,NERFC
01022840,44.33277778,-68.2066667,01,0105,010500,01050002,NERFC
01027200,45.93527778,-69.9936111,01,0102,010200,01020001,NERFC
01029200,46.14305556,-68.6336111,01,0102,010200,01020002,NERFC
01029500,45.73027778,-68.5894444,01,0102,010200,01020002,NERFC
01030350,45.7086111,-68.1580556,01,0102,010200,01020003,NERFC
01030500,45.5011111,-68.3058333,01,0102,010200,01020003,NERFC
01031300,45.2672222,-69.58388889,01,0102,010200,01020004,NERFC
01031450,45.1844444,-69.4522222,01,0102,010200,01020004,NERFC
01031500,45.175,-69.3147222,01,0102,010200,01020004,NERFC
01031510,45.15027778,-69.23638889,01,0102,010200,01020004,NERFC
01034000,45.26055556,-68.8686111,01,0102,010200,01020004,NERFC
01034500,45.2361111,-68.65138889,01,0102,010200,01020005,NERFC
01037000,44.8611111,-68.8316667,01,0102,010200,01020005,NERFC
01037380,44.32916667,-69.0608333,01,0105,010500,01050002,NERFC
01038000,44.22277778,-69.59388889,01,0105,010500,01050003,NERFC
01042500,45.3397222,-69.9619444,01,0103,010300,01030001,NERFC
01043500,45.22905,-70.20112778,01,0103,010300,01030002,NERFC
01044550,45.3136111,-70.2416667,01,0103,010300,01030002,NERFC
01046000,45.0644444,-69.8805556,01,0103,010300,01030003,NERFC
01046500,45.0519444,-69.8855556,01,0103,010300,01030003,NERFC
01047000,44.86916667,-69.955,01,0103,010300,01030003,NERFC
01047150,44.77888889,-69.8869444,01,0103,010300,01030003,NERFC
01047200,44.85777778,-70.48527778,01,0103,010300,01030003,NERFC
01048000,44.70805556,-69.9375,01,0103,010300,01030003,NERFC
01048220,44.9475,-69.6569444,01,0103,010300,01030003,NERFC
01049265,44.4722222,-69.68388889,01,0103,010300,01030003,NERFC
01049500,44.22916667,-69.7780556,01,0103,010300,01030003,NERFC
01052500,44.8775,-71.0575,01,0104,010400,01040001,NERFC
01053500,44.7825,-71.1286111,01,0104,010400,01040001,NERFC
01053600,44.6661111,-71.18138889,01,0104,010400,01040001,NERFC
01054000,44.4358333,-71.19027778,01,0104,010400,01040001,NERFC
01054114,44.38131944,-71.1706556,01,0104,010400,01040002,NERFC
01054200,44.39055556,-70.9797222,01,0104,010400,01040002,NERFC
01054300,44.5933333,-70.7330556,01,0104,010400,01040002,NERFC
01054500,44.5519444,-70.5441667,01,0104,010400,01040002,NERFC
01055000,44.64277778,-70.58888889,01,0104,010400,01040002,NERFC
01055500,44.26944444,-70.2297222,01,0104,010400,01040002,NERFC
01057000,44.30388889,-70.5397222,01,0104,010400,01040002,NERFC
01059000,44.0722222,-70.2080556,01,0104,010400,01040002,NERFC
01063310,43.85555556,-70.6397222,01,0106,010600,01060001,NERFC
010642505,44.0836111,-71.285,01,0106,010600,01060002,NERFC
01064500,43.9908333,-71.0905556,01,0106,010600,01060002,NERFC
01064801,43.83007396,-71.2878488,01,0106,010600,01060002,NERFC
