RFC_ID,NWS_loc_ID,MINLON,MAXLON,MINLAT,MAXLAT,NAME
WGRFC,ABIN5,-106.81708,-106.28792,35.99958,36.59542,ABIN5
WGRFC,TJBN5,-106.14625,-105.31708,36.24958,36.85375,TJBN5
WGRFC,CBBT2,-100.02958,-99.74625,27.59125,27.94125,CBBT2
WGRFC,MONN5,-107.83375,-107.44208,33.45792,33.89958,MONN5
WGRFC,DIXN5,-105.92958,-105.39625,35.97458,36.25792,DIXN5
WGRFC,MOGC2,-106.70458,-106.17125,37.02042,37.38292,MOGC2
WGRFC,DNRC2,-106.82958,-106.45875,37.54958,37.90375,DNRC2
WGRFC,MVTC2,-106.60042,-106.14625,37.44958,37.83292,MVTC2
WGRFC,ESPN5,-106.27125,-105.71292,35.99958,36.22042,ESPN5
WGRFC,OTWN5,-106.44625,-105.63375,35.71208,36.05792,OTWN5
WGRFC,CGRN5,-106.23375,-105.62958,35.20375,35.67042,CGRN5
WGRFC,DAYU,-105.80042,-105.21708,32.69958,33.17458,DAYN5U
WGRFC,CREN5,-108.17542,-107.16292,34.56208,35.39958,CREN5
WGRFC,ELVN5,-106.95458,-106.26292,36.56625,37.16625,ELVN5
WGRFC,TBCN5,-105.69208,-105.32958,36.17458,36.58292,TBCN5
WGRFC,LMDN5,-106.35042,-105.96292,36.33708,36.78708,LMDN5
WGRFC,GRTN5,-108.42125,-107.58792,35.04542,35.59542,GRTN5
WGRFC,RCAN5,-106.99625,-106.32958,36.11208,36.69958,RCAN5
WGRFC,COLN5,-105.55458,-104.78375,35.17458,35.80375,COLN5
WGRFC,ABQN5,-106.86708,-106.37958,35.07875,35.55792,ABQN5
WGRFC,SNAN5,-106.95875,-106.22542,34.15792,34.70375,SNAN5
WGRFC,BELN5,-106.92958,-106.27958,34.62458,35.16208,BELN5
WGRFC,SCAN5,-108.02958,-106.88375,34.00792,34.72042,SCAN5
WGRFC,RIPN5,-107.19208,-106.82542,35.58708,36.20375,RIPN5
WGRFC,EMBN5,-105.96708,-105.70458,36.18708,36.54958,EMBN5
WGRFC,GDLN5,-107.97125,-107.00875,35.25375,36.07875,GDLN5
WGRFC,CMTN5,-106.42958,-105.88375,35.99542,36.61208,CMTN5
WGRFC,JEZN5,-106.87125,-106.39208,35.64958,36.11625,JEZN5
WGRFC,PUEN5,-105.70458,-104.43375,34.63708,35.14958,PUEN5
WGRFC,PRBU,-104.40042,-103.76292,30.09958,30.59958,PRBT2U
WGRFC,LAKN5,-104.87542,-104.04625,34.59542,34.98292,LAKN5
WGRFC,DARN5,-105.85042,-104.84625,33.16625,33.64542,DARN5
WGRFC,RRRN5,-104.97125,-104.72125,33.21208,33.37042,RRRN5
WGRFC,COCN5,-106.50458,-105.75458,35.48708,35.88708,COCN5
WGRFC,BERN5,-107.06292,-106.52958,35.35375,35.81208,BERN5
WGRFC,SFPN5,-106.62958,-106.15042,34.99958,35.80375,SFPN5
WGRFC,ATCN5,-105.80875,-105.10042,35.14125,35.98292,ATCN5
WGRFC,CORN5,-107.39625,-106.84625,34.71625,35.60375,CORN5
WGRFC,TNGU,-103.92542,-103.55875,29.71208,30.14125,TNGT2U
WGRFC,HGMN5,-105.63792,-104.33792,32.92042,33.28708,HGMN5
WGRFC,DAYN5,-105.65875,-104.41292,32.66208,32.90792,DAYN5
WGRFC,LATN5,-105.32125,-103.62958,32.92458,33.96625,LATN5
WGRFC,LKWN5,-105.31708,-104.36708,32.49542,32.76208,LKWN5
WGRFC,SMFN5,-107.19208,-106.63375,33.64958,34.29125,SMFN5
