OBJ_STATUS_,OBJ_IDENTIF,NAME,MIN_X_AXIS_,MAX_X_AXIS_,MIN_Y_AXIS_,MAX_Y_AXIS_,OBJECTID_1,NWS_ID,AREA,PERIMETER
"0","1",NPTC2LN5,-104.5250888016,-104.5069160255,38.1243237796,38.1394679354,"1",NPTC2L,99999.0000000000,5123.7299000000
"0","2",JRLK1,-96.2858306461,-95.7139814624,38.1651260271,38.4330708768,"2",JRLK1,99999.0000000000,99999.0000000000
"0","3",BRLK1,-95.7728854937,-95.7006226596,38.1921661672,38.2692684678,"3",BRLK1,99999.0000000000,24757.5990000000
"0","4",LRYK1,-96.0140158839,-95.5678509827,37.9161845150,38.3787477966,"4",LRYK1,99999.0000000000,99999.0000000000
"0","5",IOLK1,-95.6724753310,-95.1503086632,37.9161065251,38.2650375879,"5",IOLK1,99999.0000000000,99999.0000000000
"0","6",CNUK1,-95.8827075046,-95.1746923853,37.7144610245,38.0234519932,"6",CNUK1,99999.0000000000,99999.0000000000
"0","7",EREK1,-95.6161006291,-95.0904788720,37.4859478917,37.9196096087,"7",EREK1,99999.0000000000,99999.0000000000
"0","8",PPFK1,-95.3622766432,-94.9063448899,37.3401209065,37.7475432799,"8",PPFK1,99999.0000000000,99999.0000000000
"0","9",OSWK1,-95.2057857121,-94.9687589426,37.1712095211,37.5465998118,"9",OSWK1,99999.0000000000,99999.0000000000
"0","10",MCNK1,-95.0630415632,-94.8052287636,37.2703902085,37.6385084961,"10",MCNK1,99999.0000000000,99999.0000000000
"0","11",NSOK1,-95.1110051809,-94.9401119937,37.1647264287,37.2936578890,"11",NSOK1,99999.0000000000,67647.5000000000
"0","12",OSLK1,-95.4642081864,-95.1408244488,37.1632100139,37.5187609962,"12",OSLK1,99999.0000000000,99999.0000000000
"0","13",COMO2,-95.3681393059,-94.7873089949,36.8842369118,37.3456676925,"13",COMO2,99999.0000000000,99999.0000000000
"0","14",SLAM7,-94.0636872346,-93.5827873184,36.8920073174,37.2327531513,"14",SLAM7,99999.0000000000,99999.0000000000
"0","15",CHTM7,-94.3159940724,-93.8744953522,37.0478001475,37.2830969443,"15",CHTM7,99999.0000000000,99999.0000000000
"0","16",WCOM7,-94.6152183311,-93.9160341474,37.1447465368,37.5952663491,"16",WCOM7,99999.0000000000,99999.0000000000
"0","17",JOPM7,-94.5333994013,-93.8322003902,36.6417729208,37.0561057683,"17",JOPM7,99999.0000000000,99999.0000000000
"0","18",BXTK1,-94.8832144584,-93.8411745359,36.9366905992,37.6088827778,"18",BXTK1,99999.0000000000,99999.0000000000
"0","19",QUAO2,-94.7823310558,-94.5106718744,36.9225569154,37.0298256565,"19",QUAO2,99999.0000000000,84034.7960000000
"0","20",BSGM7,-94.2225769992,-93.9046897535,36.4340347479,36.6233390976,"20",BSGM7,99999.0000000000,99999.0000000000
"0","21",LSGM7,-94.3810916698,-93.9270544859,36.3520078061,36.5985951968,"21",LSGM7,99999.0000000000,99999.0000000000
"0","22",INCM7,-94.4755623090,-94.0257823788,36.5978506029,36.8787618312,"22",INCM7,99999.0000000000,99999.0000000000
"0","23",TIFM7,-94.6004720094,-93.9619366812,36.4168898824,36.7239617532,"23",TIFM7,99999.0000000000,99999.0000000000
"0","24",PENO2,-95.0804179565,-94.3484319377,36.4021748954,37.0726284588,"24",PENO2,99999.0000000000,99999.0000000000
"0","25",SPAO2,-95.0683400669,-94.2872012680,36.2164427112,36.4700803772,"26",SPAO2,99999.0000000000,99999.0000000000
"0","26",MFDO2,-95.3603071233,-94.8152264487,36.1897953834,36.9913751293,"27",MFDO2,99999.0000000000,99999.0000000000
"0","27",AVTO2,-96.5743863372,-96.0498842419,36.4311070661,36.8673470412,"28",AVTO2,99999.0000000000,99999.0000000000
"0","28",SKLO2,-96.5924898962,-96.0858667681,36.2649759627,36.6665984551,"29",SKLO2,99999.0000000000,99999.0000000000
"0","29",SPEO2,-96.1399947677,-95.8797810239,36.2720490701,36.6633324592,"30",SPEO2,99999.0000000000,99999.0000000000
"0","30",OWSO2,-96.1908541078,-95.8627472448,36.1327543684,36.3060523771,"31",OWSO2,99999.0000000000,99999.0000000000
"0","31",CATO2,-95.9329033928,-95.6320435347,36.0595863360,36.3338606578,"32",CATO2,99999.0000000000,99999.0000000000
"0","32",INOO2,-95.8046842411,-95.4290131487,36.0910333868,36.4764648990,"33",INOO2,99999.0000000000,99999.0000000000
"0","33",ELMA4,-94.3722996902,-94.0894740809,36.1698670012,36.3730848354,"34",ELMA4,99999.0000000000,99999.0000000000
"0","34",SVYA4,-94.4678901051,-94.1864984387,35.8498788002,36.1107747656,"35",SVYA4,99999.0000000000,99999.0000000000
"0","35",SLSA4,-94.4974372009,-94.0658256859,36.0619453811,36.2895693504,"36",SLSA4,99999.0000000000,99999.0000000000
"0","36",WTTO2,-94.6274722305,-94.3941577703,35.9179306146,36.1751897904,"37",WTTO2,99999.0000000000,99999.0000000000
"0","37",WSCO2,-94.6069842543,-94.4690432156,36.1629599707,36.2355085312,"38",WSCO2,99999.0000000000,38166.5000000000
"0","38",KNSO2,-94.7401984872,-94.3555795263,36.1773947418,36.3190525026,"39",KNSO2,99999.0000000000,99999.0000000000
"0","39",TALO2,-94.9691548553,-94.7294690622,35.9129605231,36.1911291749,"40",TALO2,99999.0000000000,99999.0000000000
"0","40",ELDO2,-94.8510721989,-94.3554610736,35.7359030477,36.1019663380,"41",ELDO2,99999.0000000000,99999.0000000000
"0","41",TENO2,-95.1038138711,-94.6007945134,35.5911712086,35.9701284850,"42",TENO2,99999.0000000000,99999.0000000000
"0","42",TLSO2,-96.2662775284,-95.9813385174,36.0491127708,36.2317268029,"43",TLSO2,99999.0000000000,97119.6010000000
"0","43",HEYO2,-96.5387936331,-96.2527740476,35.8936025221,36.0547692259,"44",HEYO2,99999.0000000000,96508.7960000000
"0","44",SPCO2,-96.3335089172,-96.0169558776,35.8304938983,36.0097617008,"45",SPCO2,99999.0000000000,99999.0000000000
"0","45",SPCO2B,-96.2918848518,-96.1093609974,35.9483696983,36.1140221200,"46",SPCO2,99999.0000000000,69477.7960000000
"0","46",JNKO2,-96.1177713650,-95.9931300797,35.9599778110,36.0928375374,"47",JNKO2,99999.0000000000,51685.6010000000
"0","47",HSKO2,-96.1322206039,-95.5896528885,35.7105024798,36.1678606264,"48",HSKO2,99999.0000000000,99999.0000000000
"0","48",GIBO2,-95.5005558913,-94.7742987755,35.8516870434,36.6489486622,"49",GIBO2,99999.0000000000,99999.0000000000
"0","49",MKGO2,-95.8824258032,-95.1573632921,35.5803333557,35.9207081734,"50",MKGO2,99999.0000000000,99999.0000000000
"0","50",WAGO2,-95.8065078065,-95.3513530684,35.8438394884,36.2165992935,"51",WAGO2,99999.0000000000,99999.0000000000
"0","51",WFLO2,-95.4475900731,-94.9620265307,35.5522170281,35.8983829904,"52",WFLO2,99999.0000000000,99999.0000000000
"0","52",MLBK1,-97.4314563720,-97.0633359589,38.3524140517,38.5991828771,"53",MLBK1,99999.0000000000,99999.0000000000
"0","53",FLRK1,-97.3788120929,-96.8581248640,38.0918325888,38.5982687718,"54",FLRK1,99999.0000000000,99999.0000000000
"0","54",CTWK1,-96.9504892787,-96.5037628133,38.0541269756,38.6726924400,"55",CTWK1,99999.0000000000,99999.0000000000
"0","55",PLYK1,-96.6912276252,-96.3476829441,38.0235005706,38.5116378674,"56",PLYK1,99999.0000000000,99999.0000000000
"0","56",CNGK1,-96.8130447608,-96.3228472683,38.6317526991,38.8702947920,"57",CNGK1,99999.0000000000,99999.0000000000
"0","57",RCDK1,-96.4107150861,-96.1965234430,38.6102436353,38.8353756563,"58",RCDK1,99999.0000000000,87406.5000000000
"0","58",DUNK1,-96.7119860271,-96.3472719761,38.5251916954,38.7506083661,"59",DUNK1,99999.0000000000,99999.0000000000
"0","59",AMCK1,-96.5150698206,-96.2466448755,38.4627656628,38.6463314962,"60",AMCK1,99999.0000000000,94659.3980000000
"0","60",EPRK1,-96.2722978690,-96.2066317721,38.4277945281,38.4743248978,"61",EPRK1,99999.0000000000,18558.6990000000
"0","61",NEOK1,-96.2950797730,-95.9450168149,38.2749127577,38.7018948617,"62",NEOK1,99999.0000000000,99999.0000000000
"0","62",APLA4,-93.4821148546,-92.8951313972,34.7671944707,34.9901676326,"63",APLA4,99999.0000000000,99999.0000000000
"0","63",BMTA4,-94.2823367430,-93.6428716666,34.9408722779,35.2527760816,"64",BMTA4,99999.0000000000,99999.0000000000
"0","64",CONA4,-92.4762441712,-92.1587136965,34.9513776567,35.1302819188,"65",CONA4,99999.0000000000,99999.0000000000
"0","65",DANA4,-93.7046372096,-93.3815316775,34.9609677981,35.1937949162,"66",DANA4,99999.0000000000,99999.0000000000
"0","66",DARA4,-93.3764974957,-92.7767284162,35.2122607320,35.7727107853,"67",DARA4,99999.0000000000,99999.0000000000
"0","67",DARA4B,-93.6300167513,-93.1342314590,35.1542318401,35.7316639976,"68",DARA4,99999.0000000000,99999.0000000000
"0","68",DARA4C,-94.0567630266,-93.3828961851,35.1633265716,35.6431929194,"69",DARA4,99999.0000000000,99999.0000000000
"0","69",DTLA4,-92.3013327289,-92.1179706706,34.6626129560,34.8112222360,"70",PBFA4,99999.0000000000,69013.2960000000
"0","70",DVRA4,-93.4682412127,-93.0590062707,35.4957308467,35.8532081794,"71",DVRA4,99999.0000000000,99999.0000000000
"0","71",GRVA4,-94.3498966210,-93.6329362740,34.6607235234,34.9275352329,"72",GRVA4,99999.0000000000,99999.0000000000
"0","72",HUSA4,-93.0248373440,-92.6911409321,34.9034233249,35.0572999129,"73",HUSA4,99999.0000000000,99999.0000000000
"0","73",KERO2,-95.0920267114,-94.5973549971,35.2769577675,35.8115788853,"74",KERO2,99999.0000000000,99999.0000000000
