OBJ_STATUS_,OBJ_IDENTIF,NAME,MIN_X_AXIS_,MAX_X_AXIS_,MIN_Y_AXIS_,MAX_Y_AXIS_,RFC,HUC,CWA,FCST_GP,CH5_ID,TYPE,DESCRIPTION,ATTRIBUTE,NUMBER_ZONE,ZONE_1_MIN_,ZONE_2_MIN_,ZONE_3_MIN_,ZONE_4_MIN_,ZONE_5_MIN_,ZONE_6_MIN_,ZONE_1_SHEF,ZONE_2_SHEF,ZONE_3_SHEF,ZONE_4_SHEF,ZONE_5_SHEF,ZONE_6_SHEF
"0","1",ACHA3,-110.7712397646,-110.6036977544,32.2473585000,32.3800328431,CBRFC,"15050302",twc,santacrz,ACHA3,d,AGUA CALIENTE WASH - HOUGHTON RD,,"2","0","1371","0","0","0","0",ACHA3HLH,ACHA3HUH,,,,
"0","4",ACJU1,-109.9647888851,-109.3856351740,40.3536522009,40.7823671881,CBRFC,"14060002",slc,duchpr,ACJU1,d,ASHLEY CK - JENSEN- NR- UNION CANAL- BLO,,"3","0","2438","3048","0","0","0",ACJU1LLF,ACJU1LMF,ACJU1LUF,,,
"0","9",ACKA3,-109.0989144123,-108.1706785389,31.2532443029,32.6241831402,CBRFC,,gjt,whvam,ACKA3,,,,"1","0","0","0","0","0","0",ACKA3XLH,,,,,
"0","14",ACSC2,-107.4066105072,-107.0766651221,38.7024619212,39.0333495062,CBRFC,"14020004",gjt,gun,ACSC2,f,ANTHRACITE CK - ABV MOUTH NR SOMERSET,,"3","0","2895","3352","0","0","0",ACSC2HLF,ACSC2HMF,ACSC2HUF,,,
"0","15",ADBA3,-112.1866554130,-112.0846094161,33.6709945426,33.7984224515,CBRFC,"15070102",slc,aguafria,ADBA3,d,ADOBE DAM,,"2","0","472","0","0","0","0",ADBA3LLH,ADBA3LUH,,,,
"0","16",AFHA3,-112.4265528488,-112.1256202331,34.4263112944,34.7184393030,CBRFC,"15070102",slc,aguafria,AFHA3,d,AGUA FRIA - HUMBOLDT- NR,,"3","0","1524","1828","0","0","0",AFHA3HLH,AFHA3HMH,AFHA3HUH,,,
"0","18",AFMA3,-112.3979071386,-111.7818091798,34.2777926433,34.6689047162,CBRFC,"15070102",slc,aguafria,AFMA3,d,AGUA FRIA - MAYER- NR,,"3","0","1219","1524","0","0","0",AFMA3LLH,AFMA3LMH,AFMA3LUH,,,
"0","19",AFPU1,-111.6980068008,-111.5678059158,40.3919929295,40.5779887858,CBRFC,"16020201",slc,provo,AFPU1,f,AMERICAN FORK - AMERICAN FORK- NR- UP PWRPLNT- ABV,,"2","0","2590","0","0","0","0",AFPU1HLF,AFPU1HUF,,,,
"0","20",AFRA3,-112.4058269816,-111.7856363065,33.9828960829,34.4293029990,CBRFC,"15070102",slc,aguafria,AFRA3,f,AGUA FRIA - ROCK SPGS- NR,,"3","0","1219","1524","0","0","0",AFRA3LLH,AFRA3LMH,AFRA3LUH,,,
"0","21",AJUA3,-111.5581769426,-111.1117908322,33.4034858815,33.7533770187,CBRFC,"15060106",slc,salt,AJUA3,d,STEWART MOUNTAIN DAM,,"3","0","914","1280","0","0","0",AJUA3LLH,AJUA3LMH,AJUA3LUH,,,
