OBJ_STATUS_,OBJ_IDENTIF,NAME,MIN_X_AXIS_,MAX_X_AXIS_,MIN_Y_AXIS_,MAX_Y_AXIS_,FCSTGROUP,NWSID,AREA,DESCRIPT,TVA_NUM
"0","1",CLVV2,-82.1820578807,-81.3978856106,36.8370030130,37.1940171180,FGCPOWTN,CLVV2,398.9425878170,Clinch @ Cleveland,"1503"
"0","2",JNSV2,-83.1350363064,-82.6177360513,36.6543035387,37.0443569540,FGCPOWTN,JNSV2,319.4764397720,Powell @ Jonesville,"1501"
"0","3",ARTT1,-83.6658186278,-82.8231728412,36.4228538884,36.7595245573,FGCPOWTN,ARTT1,369.2680523140,Powell @ Arthur,"1502"
"0","4",NRST1,-84.3271313597,-83.2750768129,36.2228991384,36.6107990575,FGCPOWTN,NRST1,748.9789065900,Clinch @ Norris Dam,"1505"
"0","5",RLRV2,-81.7847917107,-81.4121268070,37.0431850477,37.2405552063,FGCPOWTN,RLRV2,133.8554624010,Clinch @ Richlands,"-999"
"0","6",TAZT1,-83.4124057577,-82.7466950257,36.3953282532,36.8326060139,FGCPOWTN,TAZT1,348.9764164730,Clinch @ Tazewell,"-999"
"0","7",SFYV2,-82.8211362749,-82.1280081176,36.6282593172,37.0611847698,FGCPOWTN,SFYV2,592.5769548750,Clinch @ Speers Ferry,"1504"
"0","9",SMFV2,-81.6553083858,-81.2855799494,36.7774574107,36.9620172926,FGHOLSTN,SMFV2,131.2317566560,Holston @ Seven Mile Ford,"102"
"0","10",SHDT1,-82.1134532337,-81.5808246058,36.4562224285,36.8670974257,FGHOLSTN,SHDT1,268.7111101200,SF Holston @ South Holston Dam,"103"
"0","11",FPHT1,-82.5624129932,-82.3721035295,36.3664250944,36.5660614586,FGHOLSTN,FPHT1,62.8038958400,SF Holston @ Ft Patrick Henry Dam,"401"
"0","12",JSST1,-82.9992131128,-82.2733418756,36.3511324479,36.6350674901,FGHOLSTN,JSST1,435.8344882090,Holston @ John Sevier Dam,"602"
"0","13",SGWN7,-81.8408715718,-81.6951370267,36.1091111363,36.3485434019,FGHOLSTN,SGWN7,91.0788777210,Watauga @ Sugar Grove,"201"
"0","14",WTGT1,-82.1485372730,-81.6948693532,36.1110248759,36.5381390427,FGHOLSTN,WTGT1,376.5718140850,Watauga @ Watauga Dam,"202"
"0","15",DOET1,-82.2670315809,-81.9865093202,36.1030584989,36.3516967164,FGHOLSTN,DOET1,137.1730322010,Doe @ Elizabethton,"301"
