OBJ_STATUS_,OBJ_IDENTIF,NAME,MIN_X_AXIS_,MAX_X_AXIS_,MIN_Y_AXIS_,MAX_Y_AXIS_,RFC,HUC,CWA_1,FCST_GP,CH5_ID,TYPE,DSCRIPTION,ATTRIBUTE,NUMBER_ZONE,ZONE_1_MIN_,ZONE_2_MIN_,ZONE_3_MIN_,ZONE_4_MIN_,ZONE_5_MIN_,ZONE_6_MIN_
"0","1",MTGN4,-74.9189682006,-74.5741195674,41.2766532897,41.4692802424,MARFC,"02040104",BGM,DEL,MTGN4,f,"Delaware River at Montague, NJ",Montague,"0","0","0","0","0","0","0"
"0","2",NEVN6,-74.7201936592,-74.4225327050,41.4393477976,41.6577239567,MARFC,"02040104",BGM,DEL,NEVN6,f,Godeffroy -- Neversink R.,Neversink,"0","0","0","0","0","0","0"
"0","3",SHBN6,-75.7496565957,-75.3195280916,42.6635211986,42.9570532891,MARFC,"02050102",BGM,NBS,SHBN6,f,"Chenango River at Sherburne, NY",Sherburne,"0","0","0","0","0","0","0"
"0","4",CINN6,-75.9492775831,-75.6750675546,42.5412157304,42.8543248187,MARFC,"02050102",BGM,NBS,CINN6,f,"Otselic River at Cincinnatus, NY",Cincinnatus,"0","0","0","0","0","0","0"
"0","5",CRTN6,-76.2743499424,-75.7625523445,42.5226912364,42.9090884233,MARFC,"02050102",BGM,NBS,CRTN6,f,"Tioughnioga River at Cortland, NY",Cortland,"0","0","0","0","0","0","0"
"0","6",RCKN6,-75.4856934899,-74.9972344189,42.3713375815,42.9873540618,MARFC,"02050101",BGM,NBS,RCKN6,f,"Unadilla River at Rockdale, NY",Rockdale,"0","0","0","0","0","0","0"
"0","7",UNDN6,-75.3373307748,-74.5808030798,42.3102663252,42.9333883712,MARFC,"02050101",BGM,NBS,UNDN6,f,"Susquehanna River at Unadilla, NY",Unadilla,"0","0","0","0","0","0","0"
"0","8",ESIN6,-75.2440936888,-74.9019253085,42.2720975331,42.4294263193,MARFC,"02050101",BGM,NBS,ESIN6,d,"Ouleout Creek at East Sidney, NY",East Sydney Dam,"0","0","0","0","0","0","0"
"0","9",BAIN6,-75.5371480501,-75.1488871377,42.2520286374,42.4544112744,MARFC,"02050101",BGM,NBS,BAIN6,f,"Susquehanna River at Bainbridge, NY",Bainbridge,"0","0","0","0","0","0","0"
"0","10",GNEN6,-75.7924320316,-75.4070036373,42.2994722874,42.7174299913,MARFC,"02050102",BGM,NBS,GNEN6,f,"Chenango River at Greene, NY",Greene,"0","0","0","0","0","0","0"
