OBJ_STATUS_,OBJ_IDENTIF,NAME,MIN_X_AXIS_,MAX_X_AXIS_,MIN_Y_AXIS_,MAX_Y_AXIS_,RFC,HUC,CWA,FORECAST_GR,CH5_ID,POINT_TYPE,DESCRIPTION,USER_ATTRIB,TIMESTAMP,IHABBS_VERS,FDIR_LAYER,X_RESOLUTIO,Y_RESOLUTIO,RIVERS_LAYE,RIVERS_PREC,PNT_LAT_USE,PNT_LNG_USE,PNT_LAT_ADJ,PNT_LNG_ADJ,ADJUSTMENT,DOWN_BASIN_,ROR_BASIN_I,ROR_ELEVATI,INCLUDES_NC,LOCAL_NCA,LOCAL_AREA,TOTAL_AREA,STREAM_ID,BOUNDARY_FL,NUMBER_ZONE,ZONE_1_MIN_,ZONE_2_MIN_,ZONE_3_MIN_,ZONE_4_MIN_,ZONE_5_MIN_,ZONE_6_MIN_,DISCHARGE_E,MEAN_ELEVAT,MINIMUM_ELE,MAXIMUM_ELE,MEAN_SLOPE,MINIMUM_SLO,MAXIMUM_SLO,MEAN_ASPECT,MINIMUM_ASP,MAXIMUM_ASP
"0","1",JAHM5,-96.4920833333,-96.2545833333,46.0579166666,46.1912500000,NCRFC,,FGF,RED,JAHM5,d,RABBIT R HIWAY 75,,"-9223372036854775808",Version 3.20,ncrfc1004,0.0041666660,0.0041666660,Rivers of NCRFC (edited),0.0000000000,46.1008333330,-96.4886111110,46.1058333330,-96.4900000000,snapped,"784","0","0",n,0.0000000000,141.3575867790,788.6985214980,"7674",n,"0","-29","-29","-29","-29","-29","-29",295.0000000000,301.3006329110,295.0000000000,315.0000000000,0.0010548520,0.0000000000,1.0000000000,258.1799494790,0.0000000000,359.0000000000
"0","2",NOPM5,-96.2587500000,-96.0629166666,45.8995833333,46.1454166666,NCRFC,,FGF,RED,NOPM5,f,NORTH OTTOWA PROJECT,RABBIT RIVER DIVERSION,"-9223372036854775808",Version 3.21,ncrfc1004,0.0041666660,0.0041666660,Rivers of NCRFC (edited),0.0000000000,45.9947222220,-96.2563888880,45.9933333330,-96.2566666660,snapped,"860","0","0",n,0.0000000000,193.2391534620,193.2391534620,"90178312",n,"0","0","0","0","0","0","0",308.0000000000,329.1392111360,308.0000000000,356.0000000000,0.1314771840,0.0000000000,2.0000000000,255.8992746420,0.0000000000,356.0000000000
"0","3",GMCM5,-97.0629166666,-96.4670833333,47.8120833333,48.1037500000,NCRFC,,FGF,RED,GMCM5,f,GRAND MARAIS CR E GRAND FORKS,,"-9223372036854775808",Version 3.21,ncrfc1004,0.0041666660,0.0041666660,Rivers of NCRFC (edited),0.0000000000,48.0500000000,-97.0625000000,48.0475000000,-97.0608333330,snapped,"944","0","0",n,0.0000000000,775.6895491980,775.6895491980,"6860",n,"0","-29","-29","-29","-29","-29","-29",246.0000000000,264.1774103660,246.0000000000,304.0000000000,0.0122608210,0.0000000000,1.0000000000,272.5335715090,0.0000000000,359.0000000000
"0","4",ROWI4,-93.8754166666,-93.4170833333,42.7370833333,43.2704166666,NCRFC,,DMX,CIW,ROWI4,f,IOWA R ROWAN 4NW,,"-9223372036854775808","3.04",NCRFC_flow_directions_2000,0.0041666660,0.0041666660,Rivers of NCRFC (edited),0.0000000000,42.7600000000,-93.6227777770,42.7600000000,-93.6191666660,snapped,"117","0","0",n,0.0000000000,829.0700963180,1141.3435856310,"9802",n,"0","0","0","0","0","0","0",358.0000000000,378.1015372930,358.0000000000,418.0000000000,0.2649459100,0.0000000000,3.0000000000,231.2858303800,0.0000000000,359.0000000000
"0","5",MILI2,-88.0504166666,-87.2670833333,40.3995833333,40.7162500000,NCRFC,,LOT,KDF,MILI2,f,SUGAR CR NR MILFORD,,"-9223372036854775808","3.07",NCRFC0630,0.0041666660,0.0041666660,Rivers of NCRFC (edited),0.0000000000,40.6305555550,-87.7236111110,40.6266666660,-87.7150000000,snapped,"649","0","0",n,0.0000000000,1162.7401843400,1162.7401843400,"10989",y,"0","0","0","0","0","0","0",198.0000000000,218.0606488010,195.0000000000,274.0000000000,0.2108603660,0.0000000000,3.0000000000,346.7793640510,0.0000000000,359.0000000000
"0","6",COLI2,-88.6504166666,-88.1420833333,40.9329166666,41.2912500000,NCRFC,,LOT,KDF,COLI2,f,MAZON R NR COAL CITY,,"-9223372036854775808","3.07",NCRFC0630,0.0041666660,0.0041666660,Rivers of NCRFC (edited),0.0000000000,41.2861111110,-88.3597222220,41.2850000000,-88.3608333330,snapped,"672","0","0",n,0.0000000000,1191.7418692360,1191.7418692360,"10733",n,"0","0","0","0","0","0","0",166.0000000000,195.8238814090,166.0000000000,237.0000000000,0.0979192160,0.0000000000,3.0000000000,17.6965317130,0.0000000000,359.0000000000
"0","7",DLLI4,-93.8837500000,-93.2087500000,40.9037500000,41.2954166666,NCRFC,,DMX,DES,DLLI4,d,WHITEBREAST CR NR DALLAS,,"-9223372036854775808",Version 3.21,ncrfc1004,0.0041666660,0.0041666660,Rivers of NCRFC (edited),0.0000000000,41.2466666660,-93.2901666660,41.2475000000,-93.2900000000,snapped,"217","0","0",n,0.0000000000,870.5056562350,870.5056562350,"-10747040",y,"0","0","0","0","0","0","0",241.0000000000,301.5310113610,241.0000000000,373.0000000000,1.8247345870,0.0000000000,7.0000000000,74.0418025810,0.0000000000,359.0000000000
"0","8",PELI4,-93.3420833333,-92.9670833333,41.1912500000,41.6370833333,NCRFC,,DMX,DES,PELI4,f,RED ROCK LK PELLA 5SW,,"-9223372036854775808","3.04",NCRFC_flow_directions_2000,0.0041666660,0.0041666660,Rivers of NCRFC (edited),0.0000000000,41.3683333330,-92.9822222220,41.3641666660,-92.9816666660,snapped,"218","218","0",n,0.0000000000,637.5351174070,31853.2967204800,"10700",n,"0","-1","-1","-1","-1","-1","-1",226.0000000000,255.3376945630,214.0000000000,293.0000000000,1.4019851110,0.0000000000,8.0000000000,124.4420744770,0.0000000000,359.0000000000
"0","9",PELI4ROR,-93.2670833333,-92.9712500000,41.3454166666,41.4870833333,NCRFC,,DMX,DES,PELRR,r,RED ROCK LK PELLA 5SW,,"-9223372036854775808","3.04",NCRFC_flow_directions_2000,0.0041666660,0.0041666660,Rivers of NCRFC (edited),0.0000000000,41.3683333330,-92.9822222220,41.3641666660,-92.9816666660,snapped,"219","217","228",n,0.0000000000,77.4215237730,31930.7182442530,"10700",n,"0","1","1","1","1","1","1",226.0000000000,255.3376945630,214.0000000000,293.0000000000,1.4019851110,0.0000000000,8.0000000000,124.4420744770,0.0000000000,359.0000000000
"0","10",DFMI4,-93.7295833333,-93.4795833333,41.6079166666,41.9329166666,NCRFC,,DMX,DES,DFMI4,d,FOUR MILE CR  DES MOINES EASTON BLVD,,"-9223372036854775808","3.04",NCRFC_flow_directions_2000,0.0041666660,0.0041666660,Rivers of NCRFC (edited),0.0000000000,41.6138888880,-93.5452777770,41.6141666660,-93.5441666660,snapped,"1151","0","0",n,0.0000000000,245.9252710840,245.9252710840,"10559",n,"0","0","0","0","0","0","0",245.0000000000,294.3868232220,245.0000000000,322.0000000000,0.5557729940,0.0000000000,4.0000000000,170.4001724990,0.0000000000,358.0000000000
"0","11",SORI2,-88.2754166666,-88.0379166666,41.5204166666,41.7454166666,NCRFC,,LOT,KDF,SORI2,f,DU PAGE R  SHOREWOOD,,"-9223372036854775808","3.07",NCRFC0630,0.0041666660,0.0041666660,Rivers of NCRFC (edited),0.0000000000,41.5222222220,-88.1930555550,41.5225000000,-88.1941666660,snapped,"672","0","0",n,0.0000000000,252.0575179310,808.0596826140,"10658",n,"0","0","0","0","0","0","0",174.0000000000,196.3934948980,174.0000000000,235.0000000000,0.1658163260,0.0000000000,3.0000000000,157.8040232140,0.0000000000,359.0000000000
"0","12",DESI4,-93.7170833333,-93.5962500000,41.5162500000,41.6412500000,NCRFC,,DMX,DES,DESI4,f,DES MOINES R DES MOINES SE 6TH ST,,"-9223372036854775808","3.04",NCRFC_flow_directions_2000,0.0041666660,0.0041666660,Rivers of NCRFC (edited),0.0000000000,41.5777777770,-93.6052777770,41.5766666660,-93.6066666660,snapped,"1151","0","0",n,0.0000000000,68.2279922150,25613.5530743460,"10566",n,"0","0","0","0","0","0","0",234.0000000000,262.6816037730,234.0000000000,291.0000000000,1.2759433960,0.0000000000,5.0000000000,48.6996931710,0.0000000000,359.0000000000
"0","13",NRWI4,-94.4837500000,-93.6462500000,41.3162500000,41.5370833333,NCRFC,,DMX,DES,NRWI4,f,NORTH R NORWALK 2SE,,"-9223372036854775808","3.04",NCRFC_flow_directions_2000,0.0041666660,0.0041666660,Rivers of NCRFC (edited),0.0000000000,41.4569444440,-93.6527777770,41.4558333330,-93.6525000000,snapped,"1151","0","0",n,0.0000000000,901.7461997850,901.7461997850,"10644",n,"0","-1","-1","-1","-1","-1","-1",248.0000000000,324.8136623740,248.0000000000,409.0000000000,1.8934191700,0.0000000000,8.0000000000,70.2552051450,0.0000000000,359.0000000000
"0","14",IDNI4,-94.6962500000,-93.5420833333,41.1329166666,41.6204166666,NCRFC,,DMX,DES,IDNI4,f,MIDDLE R  INDIANOLA,,"-9223372036854775808","3.04",NCRFC_flow_directions_2000,0.0041666660,0.0041666660,Rivers of NCRFC (edited),0.0000000000,41.4241666660,-93.5858333330,41.4225000000,-93.5858333330,snapped,"1151","0","0",n,0.0000000000,1285.1940348390,1285.1940348390,"10684",y,"0","0","0","0","0","0","0",244.0000000000,344.8313858520,244.0000000000,468.0000000000,2.2156049750,0.0000000000,8.0000000000,65.2657752180,0.0000000000,359.0000000000
