OBJ_STATUS_,OBJ_IDENTIF,NAME,MIN_X_AXIS_,MAX_X_AXIS_,MIN_Y_AXIS_,MAX_Y_AXIS_,MIN_M,MAX_M,MEAN_M,DESCRIPTION,RFC,TYPE,ATTRIBUTE,CWA,FCST_GP,HUC,CH5_ID
"0","1",NSSW1L,-122.1682950815,-121.7987774038,48.5740456009,48.7237083991,"126","975","619",SF NOOKSACK RIV AT SAXON BRIDGE - LOWER ZONE,NWRFC,f,,SEW,NW_WASH,1711.0000000000,NSSW1
"0","4",NSSW1U,-122.1693118107,-121.7907241412,48.5705465727,48.7266601980,"976","1823","1183",SF NOOKSACK RIV AT SAXON BRIDGE - UPPER ZONE,NWRFC,f,,SEW,NW_WASH,1711.0000000000,NSSW1
"0","14",NRKW1XL,-122.3015245544,-121.8430970981,48.6610788460,49.0347977132,"48","975","431",NOOKSACK RIV AT NORTH CEDARVILLE - LOWER ZONE,NWRFC,f,,SEW,NW_WASH,1711.0000000000,NRKW1
"0","17",NRKW1XU,-122.0989028625,-121.7877377334,48.7037940016,49.0021453288,"976","3095","1330",NOOKSACK RIV AT NORTH CEDARVILLE - UPPER ZONE,NWRFC,f,,SEW,NW_WASH,1711.0000000000,NRKW1
"0","20",MFNW1L,-122.1102056411,-121.8779473560,48.7104282649,48.8334700149,"187","975","718",MF NOOKSACK NR DEMING - LOWER ZONE,NWRFC,f,,SEW,NW_WASH,1711.0000000000,MFNW1
"0","21",MFNW1U,-122.0783259093,-121.8385649196,48.6895491721,48.8445378955,"977","1910","1280",MF NOOKSACK NR DEMING - UPPER ZONE,NWRFC,f,,SEW,NW_WASH,1711.0000000000,MFNW1
"0","22",MFNW1G,-121.8870011687,-121.8161408434,48.7459789949,48.7825722471,"1931","3067","2321",MF NOOKSACK NR DEMING - GLACIER ZONE,NWRFC,f,,SEW,NW_WASH,1711.0000000000,MFNW1
"0","23",NFNW1L,-121.8494896954,-121.5593183985,48.8412443582,48.9236533631,"455","974","772",NF NOOKSACK RIV NR GLACIER - LOWER ZONE,NWRFC,f,,SEW,NW_WASH,1711.0000000000,NFNW1
"0","25",NFNW1U,-121.8568647548,-121.5272532182,48.8013072380,48.9569565929,"976","1918","1405",NF NOOKSACK RIV NR GLACIER - UPPER ZONE,NWRFC,f,,SEW,NW_WASH,1711.0000000000,NFNW1
"0","27",NFNW1G,-121.8510766489,-121.5295878241,48.7818288612,48.8976695117,"1925","2711","2133",UPPER BAKER LAKE - GLACIER ZONE,NWRFC,f,,SEW,NW_WASH,1711.0000000000,NFNW1
"0","33",WCHW1L,-121.5092653657,-121.1950345402,47.9762907156,48.1707189663,"306","975","707",SAUK RIVER ABV WHITE CHUCK R - LOWER ZONE,NWRFC,f,,SEW,SKAGIT,1711.0000000000,WCHW1
"0","40",WCHW1U,-121.5303260649,-121.1181462131,47.9563111361,48.1669355362,"976","1913","1362",SAUK RIVER ABV WHITE CHUCK R - UPPER ZONE,NWRFC,f,,SEW,SKAGIT,1711.0000000000,WCHW1
"0","49",WCHW1G,-121.3633683773,-121.1488348988,47.9652157351,48.0835553623,"1921","2150","1978",SAUK RIVER ABV WHITE CHUCK R - GLACIER ZONE,NWRFC,f,,SEW,SKAGIT,1711.0000000000,WCHW1
"0","59",MVEW1XL,-122.3435109301,-121.6647938846,48.2963079761,48.6034894100,"6","975","345",SKAGIT RIVER NEAR MOUNT VERNON - LOWER ZONE,NWRFC,f,,SEW,SKAGIT,1711.0000000000,MVEW1
"0","63",MVEW1XU,-122.1694262139,-121.6642404245,48.3770686931,48.6184753865,"976","1369","1096",SKAGIT RIVER NEAR MOUNT VERNON - UPPER ZONE,NWRFC,f,,SEW,SKAGIT,1711.0000000000,MVEW1
"0","76",CONW1XL,-121.7803106810,-121.0810809307,48.3717087515,48.5914732986,"61","975","478",SKAGIT RIVER NR CONCRETE - LOWER ZONE,NWRFC,f,,SEW,SKAGIT,1711.0000000000,CONW1
"0","79",CONW1XU,-121.6841778774,-121.0422634715,48.3522780190,48.6099650402,"976","1918","1374",SKAGIT RIVER NR CONCRETE - UPPER ZONE,NWRFC,f,,SEW,SKAGIT,1711.0000000000,CONW1
"0","88",CONW1XG,-121.3285797074,-121.0359384154,48.3444589338,48.5747159493,"1921","2457","2070",SKAGIT RIVER NR CONCRETE - GLACIER ZONE,NWRFC,f,,SEW,SKAGIT,1711.0000000000,CONW1
"0","113",SHDW1XL,-121.8338906504,-121.5640317196,48.5441512560,48.6998500709,"176","974","490",LAKE SHANNON - LOWER ZONE,NWRFC,f,,SEW,SKAGIT,1711.0000000000,SHDW1
"0","114",SHDW1XU,-121.8566367243,-121.5433347605,48.5519224475,48.7434516057,"976","1909","1216",LAKE SHANNON - UPPER ZONE,NWRFC,f,,SEW,SKAGIT,1711.0000000000,SHDW1
"0","118",SHDW1XG,-121.8400091258,-121.8126634007,48.7399473191,48.7693616207,"1927","2849","2241",LAKE SHANNON - GLACIER ZONE,NWRFC,f,,SEW,SKAGIT,1711.0000000000,SHDW1
"0","120",UBDW1IL,-121.7818507254,-121.3698298638,48.6326713163,48.8445294827,"185","975","579",UPPER BAKER LAKE - LOWER ZONE,NWRFC,f,,SEW,SKAGIT,1711.0000000000,UBDW1
"0","123",UBDW1IU,-121.8164010122,-121.3410281334,48.6301366012,48.8719896129,"976","1920","1376",UPPER BAKER LAKE - UPPER ZONE,NWRFC,f,,SEW,SKAGIT,1711.0000000000,UBDW1
"0","128",UBDW1IG,-121.8198794918,-121.3372535597,48.6587911588,48.8607576836,"1921","3096","2166",UPPER BAKER LAKE - GLACIER ZONE,NWRFC,f,,SEW,SKAGIT,1711.0000000000,UBDW1
"0","142",SAKW1XL,-121.6663364541,-121.0129616306,48.1111671108,48.4301855540,"82","975","560",SAUK RIVER NEAR SAUK - LOWER ZONE,NWRFC,f,,SEW,SKAGIT,1711.0000000000,SAKW1
"0","151",SAKW1XU,-121.6897196381,-120.9133957319,48.0392871202,48.4295749756,"976","1920","1408",SAUK RIVER NEAR SAUK - UPPER ZONE,NWRFC,f,,SEW,SKAGIT,1711.0000000000,SAKW1
"0","173",SAKW1XG,-121.2798007742,-120.9017193424,48.0411857396,48.3962760078,"1921","3076","2154",SAUK RIVER NEAR SAUK - GLACIER ZONE,NWRFC,f,,SEW,SKAGIT,1711.0000000000,SAKW1
"0","203",SRMW1XL,-121.5570655285,-121.1893286114,48.5313482666,48.7824200845,"70","975","582",SKAGIT RIVER AT MARBLEMOUNT - LOWER ZONE,NWRFC,f,,SEW,SKAGIT,1711.0000000000,SRMW1
"0","207",SRMW1XU,-121.5811592817,-121.1488508511,48.5444573700,48.8108255746,"977","1950","1392",SKAGIT RIVER AT MARBLEMOUNT - UPPER ZONE,NWRFC,f,,SEW,SKAGIT,1711.0000000000,SRMW1
"0","214",SRMW1XG,-121.5190234318,-121.1412964580,48.5728115671,48.8178464468,"1956","2328","2068",SKAGIT RIVER AT MARBLEMOUNT - GLACIER ZONE,NWRFC,f,,SEW,SKAGIT,1711.0000000000,SRMW1
"0","229",GORW1X,-121.2758908739,-121.1194773327,48.6435909504,48.7932385996,"241","2132","1156",GORGE RESERVOIR - LOCAL,NWRFC,f,,SEW,SKAGIT,1711.0000000000,GORW1
"0","230",THNW1L,-121.1470126058,-121.0075022782,48.5406819303,48.6804310118,"444","970","758",THUNDER CK NR NEWHALEM - LOWER ZONE,NWRFC,f,,SEW,SKAGIT,1711.0000000000,THNW1
"0","232",THNW1U,-121.1898458255,-120.8282819865,48.4981597368,48.6928606409,"978","1920","1506",THUNDER CK NR NEWHALEM - UPPER ZONE,NWRFC,f,,SEW,SKAGIT,1711.0000000000,THNW1
"0","233",THNW1G,-121.1908069561,-120.8189485379,48.4938406426,48.6973197761,"1921","2553","2124",THUNDER CK NR NEWHALEM - GLACIER ZONE,NWRFC,f,,SEW,SKAGIT,1711.0000000000,THNW1
"0","248",DIAW1XL,-121.1387107214,-121.0538567185,48.6642082835,48.7375648731,"385","969","626",DIABLO RESERVOIR - LOWER ZONE,NWRFC,f,,SEW,SKAGIT,1711.0000000000,DIAW1
"0","249",DIAW1XU,-121.1515614898,-121.0454547794,48.6572708525,48.7500879313,"983","2041","1394",DIABLO RESERVOIR - UPPER ZONE,NWRFC,f,,SEW,SKAGIT,1711.0000000000,DIAW1
"0","252",RODW1IL,-121.3391761696,-120.7848215169,48.6474883160,49.2772246504,"487","975","734",ROSS RESERVOIR - LOWER ZONE,NWRFC,f,,SEW,SKAGIT,1711.0000000000,RODW1
"0","267",RODW1IU,-121.3741368860,-120.6615296070,48.5081269658,49.3248837687,"976","1996","1508",ROSS RESERVOIR - UPPER ZONE,NWRFC,f,,SEW,SKAGIT,1711.0000000000,RODW1
"0","302",RODW1IG,-121.3604157442,-120.6563335090,48.5062525149,49.2941120782,"1997","2537","2112",ROSS RESERVOIR - GLACIER ZONE,NWRFC,f,,SEW,SKAGIT,1711.0000000000,RODW1
"0","401",STRM8U,-115.7601948968,-115.1242001647,47.1399100876,47.4962598758,"1524","2110","1670",ST. REGIS R. NR ST. - UPPER ZONE,NWRFC,f,,MSO,PO_CLARK,1701.0000000000,STRM8
"0","428",STRM8L,-115.7314297846,-115.1021323973,47.1647095844,47.4797378958,"853","1523","1262",ST. REGIS R. NR ST. - LOWER ZONE,NWRFC,f,,MSO,PO_CLARK,1701.0000000000,STRM8
"0","440",SRGM8XU,-115.2022799404,-113.9812871224,46.6941793957,47.3108062137,"1524","2305","1759",CLARK FORK AT ST REGIS - UPPER ZONE,NWRFC,f,,MSO,PO_CLARK,1701.0000000000,SRGM8
"0","472",SRGM8XL,-115.1643093373,-113.9959461763,46.7437581584,47.3218547768,"853","1523","1222",CLARK FORK AT ST REGIS - LOWER ZONE,NWRFC,f,,MSO,PO_CLARK,1701.0000000000,SRGM8
"0","494",RCCM8U,-113.8804096741,-113.2782103137,45.9391951288,46.7116073536,"1829","3027","2115",ROCK CREEK NR CLINTON - UPPER ZONE,NWRFC,f,,MSO,PO_CLARK,1701.0000000000,RCCM8
"0","509",RCCM8L,-113.8609629568,-113.4037441391,46.0689107579,46.7136560274,"1097","1828","1646",ROCK CREEK NR CLINTON - LOWER ZONE,NWRFC,f,,MSO,PO_CLARK,1701.0000000000,RCCM8
