OBJ_STATUS_,OBJ_IDENTIF,NAME,MIN_X_AXIS_,MAX_X_AXIS_,MIN_Y_AXIS_,MAX_Y_AXIS_,RFC,HUC,CWA,FCST_GP,CH5_ID,TYPE,DESCRIPTION,ATTRIBUTE,NUMBER_ZONE
"0","1",KITO1,-81.2541590599,-81.0729108130,41.0443801330,41.2686145070,OHRFC,"05030103",CLE,SBVR,KITO1,d,M J Kirwan Dam Ht,"03092460","0"
"0","2",WDVO1,-83.8592320690,-83.3568519060,41.0416751260,41.4607968390,OHRFC,"04100010",CLE,SGTL,WDVO1,f,Woodville,"04195500","0"
"0","3",YTVK2,-83.0251860320,-82.6400289820,37.8997386110,38.1599118420,OHRFC,"05070204",RLX,SSAY,YTVK2,d,Blaine Creek @ Yatesville,"03215500","0"
"0","4",PIQO1,-84.3243243410,-84.0750691009,40.1446935000,40.2993325530,OHRFC,"05080001",ILN,SMIM,PIQO1,f,Great Miami River at Piqua OH,"03262500","0"
"0","5",SIDO1,-84.1996428680,-83.6438944050,40.1372514410,40.6413247630,OHRFC,"05080001",ILN,SMIM,SIDO1,f,G MIAMI R AT SIDNEY OH,"03261500","0"
"0","6",UBNO1,-83.9351057420,-83.6050806050,40.1062860270,40.3933478640,OHRFC,"05080001",ILN,SMIM,UBNO1,d,MAD R NR URBANA OH,"03267000","0"
"0","7",EAGO1,-83.9826329360,-83.6253853740,39.9558909570,40.1860213020,OHRFC,"05080001",ILN,SMIM,EAGO1,d,MAD R AT ST PARIS PIKE AT EAGLE CITY OH,"03267900","0"
"0","8",CJBO1,-83.7714309400,-83.5674426259,39.9453777110,40.1401998740,OHRFC,"05080001",ILN,SMIM,CJBO1,d,CJ BROWN RESERVOIR,"03268090","0"
"0","9",SGFO1,-83.9181846090,-83.5565347670,39.8288590940,40.0096204910,OHRFC,"05080001",ILN,SMIM,SGFO1,f,MAD R NR SPRINGFIELD OH,"03269500","0"
"0","10",OLDO1,-83.9580207480,-83.5497315530,39.7424460680,39.9290081300,OHRFC,"05090202",ILN,SMIM,OLDO1,d,L MIAMI R NR OLDTOWN OH,"03240000","0"
"0","11",MRDO1,-84.1273469939,-83.8368041520,39.7685667610,40.0709898810,OHRFC,"05080001",ILN,SMIM,MRDO1,f,MAD R NR DAYTON OH (HUFFMAN DAM),"03270000","0"
"0","12",TAYO1,-84.3069449970,-83.9559053789,39.8708112010,40.1890350920,OHRFC,"05080001",ILN,SMIM,TAYO1,f,G MIAMI R AT TAYLORSVILLE OH,"03263000","0"
"0","13",TRYO1,-84.2996277820,-84.0493136950,40.0388754210,40.2124092020,OHRFC,"05080001",ILN,SMIM,TRYO1,f,G MIAMI R AT TROY OH,"03262700","0"
"0","14",LOCO1,-84.4406937379,-84.1703667350,40.1860590320,40.3878755610,OHRFC,"05080001",ILN,SMIM,LOCO1,f,LORAMIE C AT LOCKINGTON OH,"03262000","0"
"0","15",NPTO1,-84.5993790940,-84.0979800830,40.2955760100,40.4912346940,OHRFC,"05080001",ILN,SMIM,NPTO1,d,LORAMIE C NR NEWPORT,"03261950","0"
"0","16",PLLO1,-84.7779729090,-84.2887505309,39.9691480730,40.3147895080,OHRFC,"05080001",ILN,SMIM,PLLO1,d,STILLWATER R AT PLEASANT HILL OH,"03265000","0"
"0","17",BRDO1,-84.9129816019,-84.4227386009,39.9601464010,40.2021286230,OHRFC,"05080001",ILN,SMIM,BRDO1,d,GREENVILLE C NR BRADFORD OH,"03264000","0"
