OBJECTID,ID,NAME,CWA,RFC,LON,LAT
"1",JOPM7,SHOAL CRK,SGF,ABRFC,-94.17230000000,36.89430000000
"2",BXTK1,Spring River near Baxter Springs,SGF,ABRFC,-94.53150000000,37.18800000000
"3",QUAO2,SPRING RVR,TSA,ABRFC,-94.65330000000,36.97550000000
"4",UCBO2P,UPPER CLR BOGGY DAMS,OUN,ABRFC,-96.53360000000,34.63350000000
"5",DLWO2P,DELAWARE CR DAMS,OUN,ABRFC,-96.52790000000,34.43530000000
"6",CDPT2,PEASE RVR,LUB,ABRFC,-100.85900000000,34.16150000000
"7",TGLT2,PRAIRIE DG TN FK,AMA,ABRFC,-101.94800000000,35.03300000000
"8",MCET2,MCCLELLAN CRK,AMA,ABRFC,-101.16200000000,35.27580000000
"9",WAYT2,PRAIRIE DG TN FK,AMA,ABRFC,-101.66600000000,34.92990000000
"10",MKZT2,TSAE CRK-MACKENZIE RSVR,LUB,ABRFC,-101.93500000000,34.59650000000
"11",LKVT2,,,ABRFC,-101.24500000000,34.77890000000
"12",CHLT2,PRAIRIE DG TN FK,LUB,ABRFC,-100.57600000000,34.59950000000
"13",WCOM7,SPRING RVR,SGF,ABRFC,-94.30060000000,37.35870000000
"14",GSVT2,RED RVR,OUN,ABRFC,-97.36710000000,33.97080000000
"15",CDMC2,ARKANSAS RVR,PUB,ABRFC,-104.14300000000,38.10360000000
"16",ARCC2,ARKANSAS RIVER,PUB,ABRFC,-103.89300000000,38.24490000000
"17",LXHC2,ARKANSAS RVR,PUB,ABRFC,-103.83400000000,37.79560000000
"18",CAYO2P,UP CANEY CR DAMS,OUN,ABRFC,-96.31020000000,34.17580000000
"19",QUAT2,RED RVR,OUN,ABRFC,-100.15400000000,34.65950000000
"20",SHAT2,N FRK RED RVR,AMA,ABRFC,-100.70200000000,35.41180000000
"21",CARO2,N FORK RED RVR,OUN,ABRFC,-99.87220000000,35.34920000000
"22",ALTO2,N FK RED RVR,OUN,ABRFC,-99.39470000000,35.06670000000
"23",HEAO2,N FRK RED RVR,OUN,ABRFC,-99.22580000000,34.85450000000
"24",TIPO2,N FRK RED RVR,OUN,ABRFC,-99.17790000000,34.61720000000
"25",BKBT2B,RED RVR,OUN,ABRFC,-99.72490000000,34.44170000000
"26",BKBT2,RED RVR,OUN,ABRFC,-99.03770000000,34.19860000000
"27",TRLO2,RED RVR,OUN,ABRFC,-98.33440000000,34.10280000000
"28",GSVT2B,RED RVR,OUN,ABRFC,-97.78430000000,33.81200000000
"29",WANO2,CIMARRON RVR,OUN,ABRFC,-99.10110000000,36.65190000000
"30",CNLO2,N CANADIAN RVR,OUN,ABRFC,-98.76100000000,36.14260000000
"31",FOSO2,WASHITA RVR,OUN,ABRFC,-99.45650000000,35.64270000000
"32",NICK1,ARKANSAS RVR,ICT,ABRFC,-98.53440000000,38.21960000000
"33",EDWK1,W BRANCH WALNUT RVR,ICT,ABRFC,-96.87760000000,37.93250000000
"34",MGCO2,MCGEE CRK DAM,OUN,ABRFC,-95.86020000000,34.47010000000
"35",FRSO2,MUDDY BOGGY CRK,OUN,ABRFC,-96.09480000000,34.44010000000
"36",ATKO2,Atoka Reservoir,OUN,ABRFC,-96.00330000000,34.62590000000
"37",FRSO2B,Muddy Boggy Creek,OUN,ABRFC,-96.27640000000,34.75500000000
"38",VERT2,PEASE RVR,OUN,ABRFC,-99.70010000000,34.13290000000
"39",MNGO2,ELM FRK N FK RED,OUN,ABRFC,-99.95380000000,35.08060000000
"40",MDKK1B,S FK NINNESCAH RVR,ICT,ABRFC,-98.46400000000,37.63580000000
"41",HCHK1,ARKANSAS RVR,ICT,ABRFC,-98.14700000000,38.13000000000
"42",LTLO2,LAKE LAWTONKA,OUN,ABRFC,-98.60230000000,34.80550000000
"43",MGMO2,SALT FRK RED RVR,OUN,ABRFC,-99.94120000000,34.87970000000
"44",CLIO2,WASHITA RVR,OUN,ABRFC,-99.13090000000,35.64010000000
"45",CASK1,N FK NINNESCAH RVR,ICT,ABRFC,-98.44280000000,37.84720000000
"46",WATO2,N CANADIAN RVR,OUN,ABRFC,-98.55140000000,35.93210000000
"47",CHTM7,SPRING RVR,SGF,ABRFC,-94.09240000000,37.17580000000
"48",UNGO2,MUDDY BOGGY CRK,OUN,ABRFC,-95.95280000000,34.16810000000
"49",ELNO2,N CANADIAN RVR,OUN,ABRFC,-98.05930000000,35.56060000000
"50",HBTO2,ELK CRK,OUN,ABRFC,-99.25090000000,35.20800000000
"51",CHNK1,N FK NINNESCAH RVR,ICT,ABRFC,-97.94130000000,37.84950000000
"52",ALMK1,LITTLE ARKANSAS RVR,ICT,ABRFC,-97.79290000000,38.29430000000
"53",ESFO2,SALT FRK RED RVR,OUN,ABRFC,-99.52720000000,34.70260000000
"54",SADK1,SAND CRK,ICT,ABRFC,-97.32590000000,38.08890000000
"55",SEMK1,EMMA CRK,ICT,ABRFC,-97.42270000000,38.18540000000
"56",HCRK1,LTL ARKANSAS RVR,ICT,ABRFC,-97.52820000000,38.10080000000
"57",MTNO2,MT PARK DAM,OUN,ABRFC,-98.97570000000,34.83390000000
"58",MDKK1,S FK NINNESCAH R,ICT,ABRFC,-98.03990000000,37.59390000000
"59",PECK1,NINNESCAH RVR,ICT,ABRFC,-97.78880000000,37.61100000000
"60",AGSK1,WHITEWATER RVR,ICT,ABRFC,-97.01500000000,37.75530000000
"61",BRIO2,CANADIAN RVR,OUN,ABRFC,-98.69700000000,35.74030000000
"62",SEDK1,LTL ARKANSAS RVR,ICT,ABRFC,-97.58110000000,37.97450000000
"63",FTCO2,COBB CRK,OUN,ABRFC,-98.57400000000,35.33100000000
"64",MLBK1,COTTONWOOD RVR,ICT,ABRFC,-97.25980000000,38.45950000000
"65",OLBO2,N CANADIAN RVR,OUN,ABRFC,-97.69230000000,35.51730000000
"66",CLMO2,N CANADIAN RVR,OUN,ABRFC,-98.30100000000,35.69620000000
"67",SYDO2,OTTER CRK,OUN,ABRFC,-98.90910000000,34.73580000000
"68",EDRK1,WALNUT RVR,ICT,ABRFC,-96.70170000000,37.94820000000
"69",WELK1,ARKANSAS RVR,ICT,ABRFC,-97.57780000000,37.37170000000
"70",ELWO2,LAKE ELLSWORTH,OUN,ABRFC,-98.43210000000,34.89990000000
"71",EDEK1,WALNUT RVR-E BR,ICT,ABRFC,-96.73420000000,37.80330000000
"72",KIOK1,MEDICINE LODGE CRK,DDC,ABRFC,-98.85510000000,37.38610000000
"73",TOWK1,WHITEWATER RVR,ICT,ABRFC,-97.09350000000,37.95860000000
"74",CAGO2,WASHITA RVR,OUN,ABRFC,-98.85570000000,35.22140000000
"75",FWRC2U,APISHAPA RVR UP ELEV,PUB,ABRFC,-104.61200000000,37.47370000000
"76",AGAK1,WALNUT RVR,ICT,ABRFC,-96.88430000000,37.74720000000
"77",CNGK1,NEOSHO RVR,TOP,ABRFC,-96.58610000000,38.75790000000
"78",FLRK1,COTTONWOOD RVR,ICT,ABRFC,-97.08820000000,38.31730000000
"79",BONC2U,HUERFANO RVR UP ELEV,PUB,ABRFC,-104.95600000000,37.69470000000
"80",LAMC2U,BIG SANDY CRK UP ELEV,PUB,ABRFC,-104.06700000000,39.11290000000
"81",LARC2U,ARKANSAS RVR UP ELEV,PUB,ABRFC,-104.16800000000,38.91130000000
"82",NPTC2U,ARKANSAS RVR UP ELEV,PUB,ABRFC,-104.46700000000,38.93920000000
"83",UNIO2,CANADIAN RVR,OUN,ABRFC,-98.14470000000,35.46010000000
"84",YUKO2,N CANADIAN RVR,OUN,ABRFC,-97.87440000000,35.50380000000
"85",DRBK1,ARKANSAS RVR,ICT,ABRFC,-97.47180000000,37.77520000000
"86",CBNK1,CHIKASKIA RVR,ICT,ABRFC,-98.06890000000,37.39180000000
"87",BLPK1,NINNESCAH RVR,ICT,ABRFC,-97.42510000000,37.46230000000
"88",MULK1,ARKANSAS RVR,ICT,ABRFC,-97.24430000000,37.55900000000
"89",AMCK1,NEOSHO RVR,TOP,ABRFC,-96.34620000000,38.54000000000
"90",ELTT2B,BEAVER CRK,OUN,ABRFC,-99.51610000000,33.90230000000
"91",WFDK1,WALNUT RVR,ICT,ABRFC,-96.88720000000,37.54200000000
"92",PLYK1,COTTONWOOD RVR,ICT,ABRFC,-96.50880000000,38.25700000000
"93",FSEC2U,FOUNTAIN CRK UP ELEV,PUB,ABRFC,-104.71400000000,38.89150000000
"94",KEYO2B,,TSA,ABRFC,-96.74350000000,36.16680000000
"95",CSNC2U,FOUNTAIN CRK UP ELEV,PUB,ABRFC,-105.02700000000,38.84130000000
"96",THTC2U,PURGATOIRE RVR UP ELEV,PUB,ABRFC,-104.34000000000,37.12560000000
"97",EMPK1,COTTONWOOD RVR,TOP,ABRFC,-96.30570000000,38.37100000000
"98",SCVC2U,ST CHARLES RVR UP ELEV,PUB,ABRFC,-105.00300000000,37.99740000000
"99",CLVO2,CANADIAN RVR,OUN,ABRFC,-96.93530000000,34.94330000000
"100",PAWO2B,BLACK BEAR CRK,OUN,ABRFC,-97.45710000000,36.33090000000
"101",TONO2,SALT FK ARKANSAS RVR,OUN,ABRFC,-97.67940000000,36.74700000000
"102",WTTO2,ILLINOIS RVR,TSA,ABRFC,-94.51370000000,36.06680000000
"103",KAWO2,ARKANSAS RVR,TSA,ABRFC,-96.79810000000,37.08020000000
"104",GECO2,EAST CACHE CRK,OUN,ABRFC,-98.40730000000,34.69870000000
"105",PRCO2,CANADIAN RVR,OUN,ABRFC,-97.71370000000,35.27900000000
"106",DOVO2,CIMARRON RVR,OUN,ABRFC,-98.20160000000,36.02290000000
"107",JRLK1,NEOSHO RVR,TOP,ABRFC,-95.94550000000,38.28340000000
"108",DUNK1,NEOSHO RVR,TOP,ABRFC,-96.43230000000,38.66160000000
"109",WRWO2,DEEP FORK RVR,TSA,ABRFC,-97.20760000000,35.70950000000
"110",POCO2,ARKANSAS RVR,OUN,ABRFC,-96.98990000000,36.71990000000
"111",WRLO2,BEAVER CRK,OUN,ABRFC,-98.13220000000,34.56620000000
"112",RNDO2,DEEP RED RUN,OUN,ABRFC,-98.78210000000,34.40080000000
"113",GUCO2,COTTONWOOD CRK,OUN,ABRFC,-97.42800000000,35.80930000000
"114",BLKO2,CHICKASKIA RVR,OUN,ABRFC,-97.66960000000,37.09290000000
"115",SWNO2,N CANADIAN RVR,OUN,ABRFC,-97.10870000000,35.39990000000
"116",SLSA4,ILLINOIS RVR,TSA,ABRFC,-94.30050000000,36.16110000000
"117",SWDO2,COTTONWOOD CRK,OUN,ABRFC,-97.64090000000,35.68220000000
"118",GTRO2,CIMARRON RVR,OUN,ABRFC,-97.71100000000,35.89270000000
"119",LSGM7,,SGF,ABRFC,-94.22070000000,36.46100000000
"120",IOLK1,NEOSHO RIVER,ICT,ABRFC,-95.44910000000,38.05750000000
"121",RLSO2B,ARKANSAS RVR,OUN,ABRFC,-97.45710000000,36.48560000000
"122",ARRT2,LTL WICHITA RVR,OUN,ABRFC,-98.70470000000,33.59960000000
"123",WAKO2,BEAVER CRK,OUN,ABRFC,-97.97600000000,34.35600000000
"124",LNDO2,WASHITA RVR,OUN,ABRFC,-97.73260000000,34.85800000000
"125",WICT2,WICHITA RVR,OUN,ABRFC,-98.76120000000,33.91890000000
"126",WLTO2,E CACHE CRK,OUN,ABRFC,-98.37200000000,34.50970000000
"127",FLLK1,FALL RVR,ICT,ABRFC,-96.36870000000,37.81000000000
"128",FRNK1,FALL RVR,ICT,ABRFC,-96.03290000000,37.56780000000
"129",ECLK1,ELK RVR,ICT,ABRFC,-96.14100000000,37.40590000000
"130",PPFK1,NEOSHO RVR,ICT,ABRFC,-95.11170000000,37.52930000000
"131",PAWO2,BLACK BEAR CRK,OUN,ABRFC,-97.01200000000,36.31290000000
"132",KNSO2,FLINT CRK,TSA,ABRFC,-94.55100000000,36.24590000000
"133",CNUK1,NEOSHO RVR,ICT,ABRFC,-95.51830000000,37.85370000000
"134",TRLK1,VERDIGRIS RVR,ICT,ABRFC,-96.13920000000,37.99980000000
"135",BSGM7,,SGF,ABRFC,-94.07210000000,36.53000000000
"136",INCM7,,SGF,ABRFC,-94.26080000000,36.74500000000
"137",BIRO2,BIRD CRK,TSA,ABRFC,-96.26890000000,36.55030000000
"138",CFVK1,VERDIGRIS RVR,ICT,ABRFC,-95.58610000000,37.23580000000
"139",BFFO2,,OUN,ABRFC,-99.81380000000,37.15000000000
"140",ELDO2,BARON FORK RVR,TSA,ABRFC,-94.58670000000,35.92100000000
"141",SASO2,LITTLE RVR - COUNTY RD BRIDGE,OUN,ABRFC,-96.80760000000,35.09400000000
"142",TIFM7,ELK RVR,SGF,ABRFC,-94.31720000000,36.59130000000
"143",EREK1,NEOSHO RVR,ICT,ABRFC,-95.31260000000,37.68140000000
"144",CORO2,MUD CRK,OUN,ABRFC,-97.72800000000,34.24370000000
"145",HEYO2,POLECAT CRK,TSA,ABRFC,-96.39120000000,35.97940000000
"146",WETO2,N CANADIAN RVR,OUN,ABRFC,-96.59520000000,35.37740000000
"147",SPCO2B,POLECAT CRK,TSA,ABRFC,-96.19810000000,36.03520000000
"148",SPCO2,POLECAT CRK,TSA,ABRFC,-96.18010000000,35.91710000000
"149",IDPK1,VERDIGRIS RVR,ICT,ABRFC,-95.66640000000,37.43320000000
"150",SKLO2,HOMINY CRK,TSA,ABRFC,-96.34120000000,36.44730000000
"151",BIGK1,BIG HILL DAM,ICT,ABRFC,-95.44260000000,37.35850000000
"152",WTYO2,DEEP FORK RVR,TSA,ABRFC,-96.75540000000,35.65800000000
"153",HULO2,CANEY RVR,TSA,ABRFC,-96.40460000000,37.09180000000
"154",OKSO2,SAND CRK,TSA,ABRFC,-96.29170000000,36.77920000000
"155",RAMO2,CANEY RVR,TSA,ABRFC,-95.91970000000,36.69420000000
"156",SPEO2,BIRD CRK,TSA,ABRFC,-96.02090000000,36.42830000000
"157",TALO2,ILLINOIS RVR,TSA,ABRFC,-94.78650000000,36.08600000000
"158",SMTO2,MOUNTAIN FORK RVR,SHV,ABRFC,-94.43560000000,34.54340000000
"159",KEYO2,ARKANSAS RVR,TSA,ABRFC,-96.34470000000,36.20590000000
"160",RLSO2,ARKANSAS RVR,OUN,ABRFC,-96.95480000000,36.66180000000
"161",LLCO2,LITTLE LEE CRK,TSA,ABRFC,-94.58760000000,35.68110000000
"162",SPAO2,SPAVINAW CRK,TSA,ABRFC,-94.65800000000,36.35550000000
"163",AVTO2,BIRD CRK,TSA,ABRFC,-96.33140000000,36.65790000000
"164",LEPO2,VERDIGRIS RVR,TSA,ABRFC,-95.57080000000,37.05890000000
"165",CPLO2,LTL CANEY RVR,TSA,ABRFC,-96.08080000000,37.12720000000
"166",CATO2,VERDIGRIS RVR,TSA,ABRFC,-95.80150000000,36.20450000000
