USGS_ID	USGS_name	Site_type	Longitude	Latitude	Alt_Lon	Alt_Lat	Elevation	Minlon	Maxlon	Minlat	Maxlat	RFC_ID	NWS_ID	NWS_alt_ID	HSA_ID	CWA_ID	GOES_ID	HUC8	State_Code	NWM Reach ID	Active	PEDTS obs	PEDTS_pred	Hgraph_type
-	-	unknown	-99.36960	41.05920	-	-	-	-99.55375	-99.16375	40.85042	41.27375	MBRFC	1402	-	-	LBF	-	-	-	-	-	-	-	unknown
-	-	unknown	-99.56030	41.35890	-	-	-	-99.92458	-99.19292	41.13792	41.58208	MBRFC	1404	-	-	LBF	-	-	-	-	-	-	-	unknown
-	-	unknown	-99.40080	41.42100	-	-	-	-99.71208	-99.16375	41.25875	41.56125	MBRFC	1405	-	-	LBF	-	-	-	-	-	-	-	unknown
-	-	unknown	-99.52130	41.62740	-	-	-	-99.74542	-99.32625	41.46708	41.78208	MBRFC	1409	-	-	LBF	-	-	-	-	-	-	-	unknown
-	-	unknown	-98.76720	41.01610	-	-	-	-98.97875	-98.50542	40.80875	41.24458	MBRFC	1413	-	-	GID	-	-	-	-	-	-	-	unknown
-	-	unknown	-98.89030	41.31970	-	-	-	-99.02042	-98.76375	41.19625	41.46958	MBRFC	1414	-	-	GID	-	-	-	-	-	-	-	unknown
-	-	unknown	-99.23570	41.78100	-	-	-	-99.42042	-99.08042	41.63792	41.95708	MBRFC	1419	-	-	LBF	-	-	-	-	-	-	-	unknown
-	-	unknown	-98.47310	41.48520	-	-	-	-98.65792	-98.31375	41.26292	41.67375	MBRFC	1424	-	-	GID	-	-	-	-	-	-	-	unknown
-	-	unknown	-98.32040	41.26710	-	-	-	-98.58708	-98.11792	41.10042	41.44042	MBRFC	1425	-	-	GID	-	-	-	-	-	-	-	unknown
-	-	unknown	-98.07700	41.32710	-	-	-	-98.27458	-97.88875	41.21292	41.43208	MBRFC	1426	-	-	GID	-	-	-	-	-	-	-	unknown
-	-	unknown	-98.32770	41.65960	-	-	-	-98.59125	-98.08458	41.51292	41.82792	MBRFC	1428	-	-	GID	-	-	-	-	-	-	-	unknown
-	-	unknown	-100.50700	41.50300	-	-	-	-100.82875	-100.16375	41.32542	41.66125	MBRFC	1435	-	-	LBF	-	-	-	-	-	-	-	unknown
-	-	unknown	-100.01000	41.32660	-	-	-	-100.40375	-99.67625	41.09625	41.53625	MBRFC	1436	-	-	LPF	-	-	-	-	-	-	-	unknown
-	-	unknown	-101.52800	41.78350	-	-	-	-102.02042	-100.98042	41.62958	41.90708	MBRFC	1437	-	-	-	-	-	-	-	-	-	-	unknown
-	-	unknown	-101.45000	41.90130	-	-	-	-102.18708	-100.50125	41.72958	42.20292	MBRFC	1438	-	-	LBF	-	-	-	-	-	-	-	unknown
-	-	unknown	-101.70200	42.16060	-	-	-	-102.19958	-101.01375	41.96708	42.41542	MBRFC	1439	-	-	LBF	-	-	-	-	-	-	-	unknown
-	-	unknown	-101.18800	42.02100	-	-	-	-102.07458	-100.49292	41.89208	42.20292	MBRFC	1440	-	-	LBF	-	-	-	-	-	-	-	unknown
