OBJECTID	ID	NAME	CWA	RFC	LON	LAT	MINLON	MAXLON	MINLAT	MAXLAT
1	JOPM7	SHOAL CRK	SGF	ABRFC	-94.1723	36.8943	-94.55375	-93.81792	36.62542	37.09042
2	BXTK1	Spring River near Baxter Springs	SGF	ABRFC	-94.5315	37.188	-94.89958	-93.82625	36.92125	37.62375
3	QUAO2	SPRING RVR	TSA	ABRFC	-94.6533	36.9755	-94.79542	-94.49292	36.90458	37.04875
4	UCBO2P	UPPER CLR BOGGY DAMS	OUN	ABRFC	-96.5336	34.6335	-96.77875	-96.26792	34.45042	34.80292
5	DLWO2P	DELAWARE CR DAMS	OUN	ABRFC	-96.5279	34.4353	-96.61625	-96.39708	34.32125	34.53208
6	CDPT2	PEASE RVR	LUB	ABRFC	-100.859	34.1615	-101.79125	-100.05125	33.64625	34.54042
7	TGLT2	PRAIRIE DG TN FK	AMA	ABRFC	-101.948	35.033	-102.17875	-101.73042	34.83792	35.23208
8	MCET2	MCCLELLAN CRK	AMA	ABRFC	-101.162	35.2758	-101.83292	-100.55125	35.14208	35.44042
9	WAYT2	PRAIRIE DG TN FK	AMA	ABRFC	-101.666	34.9299	-102.11625	-101.29708	34.70875	35.23625
10	MKZT2	TSAE CRK-MACKENZIE RSVR	LUB	ABRFC	-101.935	34.5965	-102.65375	-101.40958	34.34625	34.82375
11	LKVT2	None	None	ABRFC	-101.245	34.7789	-102.06208	-100.71375	34.42542	35.23625
12	CHLT2	PRAIRIE DG TN FK	LUB	ABRFC	-100.576	34.5995	-101.23292	-100.15958	34.36708	34.88625
13	WCOM7	SPRING RVR	SGF	ABRFC	-94.3006	37.3587	-94.64125	-93.90125	37.12125	37.61125
14	GSVT2	RED RVR	OUN	ABRFC	-97.3671	33.9708	-97.59958	-97.07208	33.67542	34.36542
15	CDMC2	ARKANSAS RVR	PUB	ABRFC	-104.143	38.1036	-104.38708	-103.88875	37.90458	38.37792
16	ARCC2	ARKANSAS RIVER	PUB	ABRFC	-103.893	38.2449	-104.22875	-103.61375	37.86292	38.73208
17	LXHC2	ARKANSAS RVR	PUB	ABRFC	-103.834	37.7956	-104.23708	-103.48458	37.46292	38.15292
18	CAYO2P	UP CANEY CR DAMS	OUN	ABRFC	-96.3102	34.1758	-96.39125	-96.22625	34.09625	34.26125
19	QUAT2	RED RVR	OUN	ABRFC	-100.154	34.6595	-100.64542	-99.69708	34.36708	34.96542
20	SHAT2	N FRK RED RVR	AMA	ABRFC	-100.702	35.4118	-101.22458	-100.21792	35.19625	35.60708
21	CARO2	N FORK RED RVR	OUN	ABRFC	-99.8722	35.3492	-100.32458	-99.43458	35.10458	35.64875
22	ALTO2	N FK RED RVR	OUN	ABRFC	-99.3947	35.0667	-99.55375	-99.25125	34.84625	35.24458
23	HEAO2	N FRK RED RVR	OUN	ABRFC	-99.2258	34.8545	-99.52875	-98.98042	34.60875	35.06125
24	TIPO2	N FRK RED RVR	OUN	ABRFC	-99.1779	34.6172	-99.35792	-98.91375	34.47958	34.79458
25	BKBT2B	RED RVR	OUN	ABRFC	-99.7249	34.4417	-100.24125	-99.14708	34.11708	34.83625
26	BKBT2	RED RVR	OUN	ABRFC	-99.0377	34.1986	-99.64958	-98.49708	33.93375	34.54042
27	TRLO2	RED RVR	OUN	ABRFC	-98.3344	34.1028	-98.87042	-97.85125	33.49208	34.81958
28	GSVT2B	RED RVR	OUN	ABRFC	-97.7843	33.812	-98.06208	-97.50542	33.53792	34.11542
29	WANO2	CIMARRON RVR	OUN	ABRFC	-99.1011	36.6519	-99.43708	-98.78042	36.25875	36.99875
30	CNLO2	N CANADIAN RVR	OUN	ABRFC	-98.761	36.1426	-98.99542	-98.50958	36.00875	36.27792
