"wfo","lid","priority","observation pedts code","observation duration","observation last update","forecast pedts code","forecast duration","forecast last update"
"ABQ","ABIN5","1","HPIRG","6","2023-11-10 18:30:02","","",""
"ABQ","ABQN5","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26","2023-11-10 18:30:02"
"ABQ","ACMN5","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26","2022-08-28 11:45:03"
"ABQ","AICN5","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26","2023-06-14 11:45:02"
"ABQ","ANFN5","1","HGIRG","26","2023-11-10 18:30:02","","",""
"ABQ","ARCN5","1","HGIRG","30","2023-11-10 18:30:02","HGIFE","26","2023-11-10 18:30:02"
"ABQ","ARFN5","1","HGIRG","30","2023-11-10 18:30:02","HGIFE","26","2023-11-10 18:30:02"
"ABQ","ATCN5","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26","2022-07-05 17:45:02"
"ABQ","AZRN5","1","HGIRG","30","2023-11-10 18:30:02","","",""
"ABQ","BERN5","1","HPIRG","30","2023-11-10 18:30:02","","",""
"ABQ","BNDN5","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26","2022-10-03 11:45:02"
"ABQ","BWLN5","1","HPIRG","30","2023-11-10 18:30:02","","",""
"ABQ","CDRC2","1","HGIRG","30","2023-11-10 18:30:02","HGIFE","26","2023-11-10 18:30:02"
"ABQ","CERN5","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26","2019-06-30 11:45:02"
"ABQ","CGRN5","1","HPIRG","30","2023-11-10 18:30:02","","",""
"ABQ","CMMN5","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26","2021-08-06 05:30:02"
"ABQ","CMTN5","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26","2023-11-10 18:30:02"
"ABQ","CNCN5","1","HPIRG","30","2023-11-10 18:30:02","","",""
"ABQ","COCN5","1","HPIRG","30","2023-11-10 18:30:02","","",""
"ABQ","COLN5","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26","2017-10-11 11:45:02"
"ABQ","COSN5","1","HGIRG","30","2023-11-10 18:30:02","","",""
"ABQ","COTN5","1","HPIRG","30","2023-11-10 18:30:02","","",""
"ABQ","CTDN5","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26","2023-11-10 18:30:02"
"ABQ","DARN5","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26","2022-08-25 11:45:02"
"ABQ","DAWN5","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26","2022-08-02 11:45:02"
"ABQ","DIXN5","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26","2023-05-28 11:45:02"
"ABQ","EGLN5","1","HPIRG","30","2023-11-10 18:30:02","","",""
"ABQ","ELVN5","1","HPIRG","30","2023-11-10 18:30:02","","",""
"ABQ","EMBN5","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26","2023-06-07 17:45:02"
"ABQ","ESPN5","1","HGIRG","6","","HGIFZ","30",""
"ABQ","FRMN5","1","HGIRG","30","2023-11-10 18:30:02","HGIFE","26","2023-11-10 18:30:02"
"ABQ","GNTN5","1","HGIRG","26","2023-11-10 18:30:02","HGIFF","26",""
"ABQ","GOLN5","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26",""
"ABQ","GSFN5","1","HGIRZ","30","2023-11-10 18:30:02","HGIFE","26","2023-11-10 18:30:02"
"ABQ","GSFN5","2","HGIRG","30","2019-08-13 23:45:01","HGIFF","26",""
"ABQ","JECN5","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26",""
"ABQ","JEZN5","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26","2023-04-22 23:45:02"
"ABQ","LAKN5","1","HPIRG","30","2023-11-10 18:30:02","","",""
"ABQ","LATN5","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26","2022-08-31 17:45:02"
"ABQ","LCVN5","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26",""
"ABQ","LGNN5","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26",""
"ABQ","LKMN5","1","HPIRG","30","2023-11-10 18:30:02","","",""
"ABQ","LMDN5","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26","2023-05-28 11:45:02"
"ABQ","LPFN5","1","HGIRG","30","2023-11-10 18:30:02","HGIFE","26","2023-11-10 18:30:02"
"ABQ","LPRN5","1","HGIRG","30","2023-11-10 18:30:02","","",""
"ABQ","LPSC2","1","HGIRG","30","2023-11-10 18:30:02","HGIFE","26","2023-11-10 18:30:02"
"ABQ","MFGN5","1","HGIRG","30","2023-11-10 18:30:02","","",""
"ABQ","MTZN5","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26",""
"ABQ","NBFN5","1","HPIRG","30","2023-11-10 18:30:02","","",""
"ABQ","NVRN5","1","HPIRG","30","2023-11-10 18:30:02","","",""
"ABQ","OTWN5","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26","2023-06-05 11:45:02"
"ABQ","PCON5","1","HGIRG","30","2023-11-10 18:30:02","HGIFZ","24",""
"ABQ","PUEN5","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26","2017-10-11 17:45:02"
"ABQ","RCAN5","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26","2023-05-28 11:45:02"
"ABQ","RCEN5","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26","2023-05-28 11:45:02"
"ABQ","RGCN5","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26","2018-07-29 17:45:01"
"ABQ","RIPN5","1","HGIRG","30","2020-12-19 23:30:02","HGIFF","26","2022-09-28 23:30:02"
"ABQ","RRRN5","1","HPIRG","30","2023-11-10 18:30:02","","",""
"ABQ","RSFN5","1","HGIRG","30","2023-11-10 18:30:02","HGIFE","26","2023-11-10 18:30:02"
"ABQ","RUHN5","1","HGIRG","30","2023-11-10 18:30:02","","",""
"ABQ","RWRN5","1","HPIRG","30","2023-11-10 18:30:02","","",""
"ABQ","SDVN5","1","HGIRG","26","2023-11-10 18:30:02","","",""
"ABQ","SFMN5","1","HPIRG","30","2023-11-10 18:30:02","","",""
"ABQ","SFNN5","1","HPIRG","30","2023-11-10 18:30:02","","",""
"ABQ","SFPN5","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26","2023-06-12 23:45:02"
"ABQ","SHRN5","1","HGIRG","30","2023-11-10 18:30:02","HGIFE","26","2023-11-10 18:30:02"
"ABQ","SMFN5","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26","2019-07-15 11:45:02"
"ABQ","SNAN5","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26","2019-06-30 11:45:02"
"ABQ","SNCN5","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26",""
"ABQ","SPGN5","1","HGIRG","30","2014-06-26 05:15:02","","",""
"ABQ","SRLN5","1","HPIRG","30","2023-11-10 18:30:02","HPIFF","30",""
"ABQ","SRLN5","2","","","","HPIFZ","30",""
"ABQ","TBCN5","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26","2019-07-15 11:45:02"
"ABQ","TJBN5","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26","2019-07-15 11:45:02"
"ABQ","TRAN5","1","HPIRG","6","2023-11-10 18:30:02","","",""
"ABQ","TYLN5","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26",""
"ABQ","UTEN5","1","HPIRG","30","2023-11-10 18:30:02","","",""
"ABQ","WFGN5","1","HGIRG","30","2023-11-10 18:30:02","","",""
"ABQ","ZUIN5","1","HGIRG","30","2023-11-10 18:30:02","HGIFE","26","2023-11-10 18:30:02"
"ABR","AFCS2","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26","2019-04-28 11:45:01"
"ABR","AMCS2","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26","2019-04-28 11:45:01"
"ABR","ATNS2","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26","2023-08-30 11:45:02"
"ABR","BBDS2","1","HPIRX","12","2023-11-10 18:30:02","HPIFF","26",""
"ABR","BBDS2","2","HPIRZ","30","2022-10-21 16:15:02","","",""
"ABR","BCPS2","1","HGIRG","30","2014-06-26 05:15:02","HGIFF","26",""
"ABR","BGCS2","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26",""
"ABR","BITS2","1","HPIRZ","30","2014-06-26 05:15:02","HPIFF","26",""
"ABR","BLUS2","1","HPIRZ","30","2014-06-26 05:15:02","HPIFF","26",""
"ABR","BSLM5","1","HPIRZ","30","2023-11-10 18:30:02","HPIFF","26","2023-05-06 11:45:02"
"ABR","BSWS2","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26",""
"ABR","CCPS2","1","HGIRG","24","2023-11-10 18:30:02","","",""
"ABR","CMBS2","1","HGIRZ","30","2023-11-10 18:30:02","HGIFF","26","2023-08-31 11:45:02"
"ABR","CSWS2","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26","2023-05-18 23:45:02"
"ABR","DMTM5","1","HGIRG","6","2023-11-10 18:30:02","HGIFF","26",""
"ABR","DUMM5","1","HGIRG","6","2023-11-10 18:30:02","HGIFF","26",""
"ABR","ERFS2","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26",""
"ABR","FLOS2","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26",""
"ABR","FRMS2","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26",""
"ABR","FTPS2","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26","2020-08-24 11:45:02"
"ABR","FTPS2","2","HGIR2","30","2020-02-06 16:15:01","","",""
"ABR","GAVS2","1","HGIRG","6","2023-11-10 18:30:02","","",""
"ABR","GTHS2","1","HGIRG","6","2023-11-10 18:30:02","","",""
"ABR","HRMM5","1","HGIRG","6","2023-05-12 00:00:03","","",""
"ABR","ID8S2","1","HGIRZ","6","2023-08-18 23:45:02","HGIFF","26","2023-08-14 17:45:02"
"ABR","JSLS2","1","HGIRG","6","2023-11-10 18:30:02","HGIFF","26",""
"ABR","JSLS2","2","HGIR2","6","2023-08-25 15:45:02","","",""
"ABR","KAMS2","1","HGIRG","6","2023-11-10 18:30:02","HGIFF","26",""
"ABR","KMPS2","1","HPIRG","30","2023-11-10 18:30:02","HGIFF","26",""
"ABR","KMPS2","2","HGIRG","30","2019-04-25 15:30:01","","",""
"ABR","LFIS2","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26",""
"ABR","LIES2","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26","2021-06-16 11:45:01"
"ABR","LQGS2","1","HGIRG","6","2023-11-10 18:30:02","","",""
"ABR","MAPS2","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26",""
"ABR","MCBS2","1","HGIRG","24","2023-11-10 18:30:02","","",""
"ABR","MCKS2","1","HGIRG","24","2023-11-10 18:30:02","","",""
"ABR","MKCS2","1","HGIRG","6","2023-11-10 18:30:02","","",""
"ABR","MLWM5","1","HPIRG","30","2023-11-10 18:30:02","","",""
"ABR","MRPS2","1","HGIRG","6","2023-11-10 18:30:02","","",""
"ABR","MRPS2","2","HGIR2","6","","","",""
"ABR","MSKM5","1","HGIRG","24","2023-11-10 18:30:02","","",""
"ABR","MUSM5","1","HGIRG","6","2018-03-03 23:45:02","HGIFF","26",""
"ABR","MYBS2","1","HGIRG","24","2023-11-10 18:30:02","","",""
"ABR","NWMS2","1","HGIRG","24","2023-11-10 18:30:02","","",""
"ABR","ORDS2","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26","2022-05-15 11:45:02"
"ABR","ORTM5","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26",""
"ABR","PELS2","1","HLIRG","24","2023-11-10 18:30:02","","",""
"ABR","PIES2","1","HPIRX","12","2023-11-10 18:30:02","HPIFF","26",""
"ABR","PIES2","2","HPIRZ","30","2022-10-21 16:15:02","","",""
"ABR","PIRS2","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26",""
"ABR","PONS2","1","HLIRG","6","2023-11-10 18:30:02","HLIFF","26",""
"ABR","PVRS2","1","HGIRP","30","2023-11-10 18:30:02","HGIFF","26","2023-04-27 23:45:02"
"ABR","PVRS2","2","HGIRG","30","2023-04-12 23:45:02","","",""
"ABR","RAUS2","1","HGIRG","30","2023-11-10 18:30:02","HGIFF","26",""
