usgs_id	nws_loc_id	upstrm_lid	dnstrm_lid	nwm_reach_id	rfc_abbrev	wfo_abbrev	usgs_name	description	state_code	county_name	longitude	latitude	elevation	updated_time	in_service	pedts_obs	pedts_pred
15008000	SLMA2			23839034	APRFC		Salmon River near Hyder	USGS GOES/HADS river stage	AK	Prnce of Wales-Hyder	-130.06528	56.02611	-9999.00000	2023-11-12T20:39:34Z	True	HGIRZ	HGIFE
15009000	SOUA2			23839034	APRFC		Soule River near Hyder	USGS GOES/HADS river stage	AK	Prnce of Wales-Hyder	-130.18167	55.83333	-9999.00000	2023-11-12T20:39:34Z	False	HGIRG	
15015595	URWA2			23839034	APRFC		Unuk River near Wrangell	USGS GOES/HADS	AK	Wrangell	-130.88028	56.24056	-9999.00000	2023-11-12T20:39:39Z	True	HGIRZ	
15019990	TYWA2			19020190041614	APRFC		Tyee Lake Outlet near Wrangell	USGS GOES/HADS river stage	AK	Wrangell	-131.50667	56.20000	-9999.00000	2023-11-12T20:39:41Z	True	HGIRZ	HGICF
15022000	HRWA2			19020190041614	APRFC		near Wrangell	HARDING RIVER NEAR WRANGELL	AK	Wrangell-Petersburg	-131.63667	56.21333	-9999.00000	2023-11-12T20:39:42Z	False	HGIRG	
15024800	STKA2	STTQ2		19020190041614	APRFC		Stikine River near Mouth	USGS GOES/HADS river stage	AK	Wrangell	-132.13028	56.70806	25.00000	2023-11-12T20:43:59Z	True	HGIRZ	HGIFE
15041200	TKUA2			19020190041614	APRFC		Taku River near Canada Border	USGS GOES/HADS river stage	AK	Juneau	-133.70000	58.53861	50.00000	2023-11-12T20:39:47Z	True	HGIRZ	HGIFE
15050000	GCJA2			19020190041614	APRFC		above Juneau	GOLD CREEK AT JUNEAU	AK	Juneau	-134.40139	58.30694	245.00000	2023-11-12T20:39:50Z	False	HGIRG	
15051010	SCJA2			19020190041614	APRFC		Salmon Creek (Alaska) near Juneau	USGS GOES/HADS river stage	AK	Juneau	-134.46583	58.33250	-9999.00000	2023-11-12T20:39:51Z	True	HGIR3	
15052000	LMCA2			19020190041614	APRFC		Lemon Creek near Juneau	USGS GOES/HADS river stage	AK	Juneau	-134.42083	58.39167	-9999.00000	2023-11-12T20:39:51Z	True	HGIRZ	
15052500	MNDA2	JSBA2		19020190041614	APRFC		Mendenhall Lake at Lake Level	USGS GOES/HADS & NWS GOES/RAWS	AK	Juneau	-134.57278	58.42972	60.00000	2023-11-12T20:43:23Z	True	HGIRZ	HGIFE
15052580	MNBA2	MNDA2		19020190041614	APRFC		at Mendenhall Loop Bridge	NWS wire weight	AK	Juneau	-134.58444	58.40417	150.00000	2023-11-12T20:39:57Z	False	HGIRZ	HGIFE
15055500	AAKA2			19020190041614	APRFC		Antler River near Auke Bay	USGS GOES/HADS river stage	AK	Juneau	-134.70861	58.85194	-9999.00000	2023-11-12T20:43:54Z	True	HGIRZ	HGICF
15056030	KKHA2			19020190041614	APRFC		near Haines	USGS GOES/HADS river stage	AK	Haines	-135.18389	59.00528	-9999.00000	2023-11-12T20:40:13Z	False	HGIRG	
15056100	SKGA2			19020190041614	APRFC		Skagway River at Skagway River Bridge	NWS Igauge on DS vehicle brige	AK	Skagway	-135.30222	59.46833	26.00000	2023-11-12T20:40:14Z	True	HGIRV	HGIFE
15056210	TYAA2	WCSA2		19020190041614	APRFC		Taiya River near Skagway	USGS GOES/HADS river stage	AK	Skagway	-135.34444	59.51194	-9999.00000	2023-11-12T20:40:15Z	True	HGIRZ	HGIFE
15056500	CKTA2			19020190041614	APRFC		Chilkat River near Klukwan	USGS GOES/HADS RIVER STAGE	AK	Haines	-135.93306	59.41500	100.00000	2023-11-12T20:45:59Z	True	HGIRZ	HGIFE
15056560	KLRA2			19020190041614	APRFC		Klehini River near Klukwan		AK	Haines	-135.99870	59.41270	-9999.00000	2023-11-12T20:40:19Z	True	HGIRZ	
15057580	KRGA2			19020190041614	APRFC		near Gustavus	USGS GOES/HADS	AK	Skagway-Hoonah-Angoo	-135.60028	58.44361	-9999.00000	2023-11-12T20:40:20Z	False	HGIRG	
15057596	SAMA2			19020190041614	APRFC		Salmon River at Gustavus	USGS GOES/HADS river stage	AK	Hoonah-Angoon	-135.74194	58.44472	-9999.00000	2023-11-12T20:43:46Z	True	HGIRZ	
15058700	GOVA2			23839034	APRFC		Government Creek near Ketchikan	USGS GOES/HADS river stage	AK	Ketchikan Gateway	-131.69889	55.34278	-9999.00000		False		
15068040	LSCA2			23839034	APRFC		Leask Creek at Shelter Cove	USGS GOES/HADS river stage	AK	Ketchikan Gateway	-131.52277	55.51944	-9999.00000	2023-11-12T20:43:19Z	True	HGIRZ	
