Watershed ID	Location	State Code	Alternate Name	Watershed Name	Latitude (DMS)	Longitude (DMS)	Latitude (dec deg)	Longitude (dec deg)	Acres	Area (km2)	Start Date	End Date	ARS DB Years	Data URL	Notes
01002	ARNOT FOREST	NY	Alternate_Name	W-4	421720	-763727	42.28889	-76.62417	17.9	0.0724	1941-04-01	1947-08-31			 
02002	COHOCTON	NY	Alternate_Name	W-II	422945	-772912	42.49583	-77.48667	13.8	0.0558	1938-05-01	1945-09-30			 
02003	COHOCTON	NY	Alternate_Name	W-III	4231--	-7726--	42.51667	-77.43333	24.2	0.0979	1938-01-01	1945-09-30			 
04001	FREEHOLD	NJ	Alternate_Name	W-1	401434	-741747	40.24278	-74.29639	15.7	0.0635	1938-01-01	1938-08-17			 
04001	FREEHOLD	NJ	Alternate_Name	W-1	401434	-741747	40.24278	-74.29639	17.5	0.0708	1938-08-18	1943-09-31			 
04002	FREEHOLD	NJ	Alternate_Name	W-II	401415	-742000	40.2375	-74.33333	34.2	0.1384	1938-03-01	1939-02-20			 
04002	FREEHOLD	NJ	Alternate_Name	W-II	401415	-742000	40.2375	-74.33333	32.9	0.1331	1939-02-21	1943-09-31			 
04002	FREEHOLD	NJ	Alternate_Name	W-II	401415	-742000	40.2375	-74.33333	32.9	0.1331	1950-05-01	1955-08-31			 
04003	FREEHOLD	NJ	Alternate_Name	W-III	401423	-741810	40.23972	-74.30278	51.8	0.2096	1938-03-31	1943-09-30			 
05001	COLLEGE PARK	MD	Alternate_Name	W-1	390332	-765706	39.05889	-76.95167	8.22	0.0333	1939-09-01	1954-12-31		https://hrsl.ba.ars.usda.gov/wdc/md.htm	 
05002	COLLEGE PARK	MD	Alternate_Name	W-2	390332	-765706	39.05889	-76.95167	7.44	0.0301	1939-09-01	1954-12-31		https://hrsl.ba.ars.usda.gov/wdc/md.htm	 
05003	COLLEGE PARK	MD	Alternate_Name	W-3	390303	-765645	39.05083	-76.94583	5.66	0.0229	1939-10-01	1941-04-01		https://hrsl.ba.ars.usda.gov/wdc/md.htm	 
05003	COLLEGE PARK	MD	Alternate_Name	W-3	390303	-765645	39.05083	-76.94583	6.06	0.0245	1941-04-02	1944-09-15		https://hrsl.ba.ars.usda.gov/wdc/md.htm	 
