OrganizationIdentifier	OrganizationFormalName	MonitoringLocationIdentifier	MonitoringLocationName	MonitoringLocationTypeName	MonitoringLocationDescriptionText	HUCEightDigitCode	DrainageAreaMeasure/MeasureValue	DrainageAreaMeasure/MeasureUnitCode	ContributingDrainageAreaMeasure/MeasureValue	ContributingDrainageAreaMeasure/MeasureUnitCode	LatitudeMeasure	LongitudeMeasure	SourceMapScaleNumeric	HorizontalAccuracyMeasure/MeasureValue	HorizontalAccuracyMeasure/MeasureUnitCode	HorizontalCollectionMethodName	HorizontalCoordinateReferenceSystemDatumName	VerticalMeasure/MeasureValue	VerticalMeasure/MeasureUnitCode	VerticalAccuracyMeasure/MeasureValue	VerticalAccuracyMeasure/MeasureUnitCode	VerticalCollectionMethodName	VerticalCoordinateReferenceSystemDatumName	CountryCode	StateCode	CountyCode	AquiferName	LocalAqfrName	FormationTypeText	AquiferTypeName	ConstructionDateText	WellDepthMeasure/MeasureValue	WellDepthMeasure/MeasureUnitCode	WellHoleDepthMeasure/MeasureValue	WellHoleDepthMeasure/MeasureUnitCode	ProviderName
ARS	Agricultural Research Service	ARS-IASF-IABC264	IABC264	Land Runoff	A drainage ditch monitoring site on 195th Street at the bridge 1 mile (1.6 km) east of county road S-45.  Water quality grab samples are taken and analyzed for sediment concentration, nitrate, and total phosphorus.	07080207					42.4191804530	-93.180514077				GPS Code (Pseudo Range) Differential	NAD83							US	19	083										STEWARDS
ARS	Agricultural Research Service	ARS-IASF-IABC274	IABC274	Land Runoff	A drainage ditch monitoring site located on county road S-45 at the bridge ½ mile (.8 km) south of the 195th St. intersection.  Water quality grab samples are taken and analyzed for sediment concentration, nitrate, and total phosphorus.	07080207					42.4071035518	-93.206787590				GPS Code (Pseudo Range) Differential	NAD83							US	19	083										STEWARDS
ARS	Agricultural Research Service	ARS-IASF-IABC350	IABC350	River/Stream	A stream flow monitoring station on Beaver Creek near Eldora, Iowa.  Located adjacent to an active cow and horse pasture approximately 1.5 mi (2.4 km) upstream of the confluence with the South Fork Iowa River. The watershed is an intensive agricultural area characterized by moderate relief, riparian areas, and pastures in the lower section of the watershed with low relief, extensive row cropping, and confined animal feeding operations (CAFOs)  in the uplands.  Data collected at this site includes daily minimum/maximum air and stream temperatures, total precipitation, stream discharge, sediment concentration, nitrate concentration, and total phosphorus.	07080207	18210	ha			42.3391137419	-93.125004241				GPS Code (Pseudo Range) Differential	NAD83							US	19	083										STEWARDS
ARS	Agricultural Research Service	ARS-IASF-IASF205	IASF205	Land Runoff	A main county tile monitoring site located on 120th Street, ½ mile (.8 km) east of A Avenue.  Water quality grab samples are taken and analyzed for sediment concentration, nitrate, and total phosphorus.	07080207					42.5431707228	-93.474088616				GPS Code (Pseudo Range) Differential	NAD83							US	19	083										STEWARDS
ARS	Agricultural Research Service	ARS-IASF-IASF215	IASF215	Land Runoff	A drainage ditch monitoring site where water quality grab samples are taken and analyzed for sediment concentration, nitrate, and total phosphorus.  The tile outlet begins in a ditch on the east side of Young Avenue 1 mile (1.6 km) south of 941.	07080207					42.4985469521	-93.513976547				GPS Code (Pseudo Range) Differential	NAD83							US	19	079										STEWARDS
ARS	Agricultural Research Service	ARS-IASF-IASF235	IASF235	Land Runoff	A main county tile monitoring site located on G Avenue at the surface tile outlet to the east side of the road ¼ mile (.4 km) north of county road D-25 and 1 mile (1.6 km) east of 359.  Water quality grab samples are taken and analyzed for sediment concentration, nitrate, and total phosphorus.	07080207					42.4591026962	-93.360736376				GPS Code (Pseudo Range) Differential	NAD83							US	19	083										STEWARDS
ARS	Agricultural Research Service	ARS-IASF-IASF272	IASF272	Land Runoff	A drainage ditch monitoring site located ½ mile (.8 km) between A Avenue and 941st Street.  Water quality grab samples are taken and analyzed for sediment concentration, nitrate, and total phosphorus.	07080207					42.5144659085	-93.471732254				GPS Code (Pseudo Range) Differential	NAD83							US	19	083										STEWARDS
ARS	Agricultural Research Service	ARS-IASF-IASF301	IASF301	River/Stream	A drainage ditch monitoring site where water quality grab samples are taken and analyzed for sediment concentration, nitrate, and total phosphorus.	07080207					42.5038840566	-93.636103059				GPS Code (Pseudo Range) Differential	NAD83							US	19	079										STEWARDS
ARS	Agricultural Research Service	ARS-IASF-IASF305	IASF305	River/Stream	A drainage ditch monitoring site west of I-80.  Water quality grab samples are taken and analyzed for sediment concentration, nitrate, and total phosphorus.	07080207					42.5434365570	-93.589704311				GPS Code (Pseudo Range) Differential	NAD83							US	19	079										STEWARDS
ARS	Agricultural Research Service	ARS-IASF-IASF309	IASF309	River/Stream	A river monitoring site located on 180th Street at the bridge just east of the intersection with county road R-75.  Water quality grab samples are taken and analyzed for sediment concentration, nitrate, and total phosphorus.	07080207					42.5288670566	-93.547594747				GPS Code (Pseudo Range) Differential	NAD83							US	19	079										STEWARDS
