
FOREST_NAME	WATERSHED_CODE	WATERSHED_NAME	WATERSHED_CONDITION_FS_AREA	TOTAL_WATERSHED_AREA_ACRES	FS_OWNERSHIP_PERCENT	NONFS_AREA_PERCENT	AQUATIC_BIOTA_CONDITION	RIPARIAN_WETLAND_VEG_CONDITION	WATER_QUALITY_CONDITION	WATER_QUANTITY_CONDITION	AQUATIC_HABITAT_CONDITION	ROADS_AND_TRAILS_CONDITION	SOIL_CONDITION	FIRE_EFFECTS_REGIME_CONDITION	FOREST_COVER_CONDITION	FOREST_HEALTH_CONDITION	INVASIVE_SPECIES_CONDITION	RANGELAND_VEGETATION_CONDITION	YEAR_PRIORITY_IDENTIFIED	PRINCIPAL_REASON	SELECTION_NARRATIVE	KNOWN_PARTNERS	APPROVAL_DATE	ESTIMATED_COMPLETION_DATE	ESSENTIAL_PROJECT_COUNT	ESSENTIAL_PROJECT_EST_COST	ACTUAL_COMPLETION_DATE	RESTORATION_ACTION_PLAN_IND
Humboldt-Toiyabe National Forest	160503010501	Rockland Canyon	Functioning at Risk	27543.4	77	23	Fair	Poor	Fair	Fair	Poor	Poor	Fair	Fair	Good	Fair	Good	Fair	 	 	 	 	 	 	 	 	 	 
White Mountain National Forest	010801030301	Headwaters Gale River	Functioning at Risk	13344.9	98	2	Fair	Good	Fair	Fair	Good	Fair	Fair	Poor	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Tongass National Forest	190102031902	Goon Dip River	Functioning Properly	8957.4	100	0	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Arapaho-Roosevelt National Forest	140100010208	Strawberry Creek	Functioning at Risk	10814.4	69	31	Poor	Fair	Good	Poor	Fair	Fair	Fair	Fair	Poor	Fair	Good	Good	 	 	 	 	 	 	 	 	 	 
Medicine Bow-Routt National Forest	101201070105	Fiddler Creek	Functioning at Risk	26435	7	93	Poor	Good	Good	Fair	Poor	Good	Good	Good	----	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Nebraska National Forest	101402010506	Chadron Creek	Functioning at Risk	35702	29	71	Fair	Fair	Good	Good	Fair	Fair	Good	Fair	Poor	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
Lewis And Clark National Forest	100301030102	North Fork Smith River-Stud Horse Creek	Functioning at Risk	29526.8	63	37	Poor	Fair	Good	Fair	Fair	Poor	Fair	Good	Fair	Fair	Poor	Fair	 	 	 	 	 	 	 	 	 	 
Hiawatha National Forest	040601060506	Iron Creek-Indian River	Functioning Properly	19927.6	89	11	Good	Fair	Fair	Good	Fair	Good	Fair	Fair	Good	Fair	Good	----	 	 	 	 	 	 	 	 	 	 
Custer National Forest	100901020104	Lower Bear Creek	Functioning at Risk	13516.1	89	11	Poor	Fair	Good	Poor	Poor	Good	Good	Fair	Poor	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Salmon-Challis National Forest	170602050601	Upper Little Pistol Creek	Functioning Properly	17422.4	100	0	Good	Good	Good	Good	Good	Fair	Good	Poor	Good	Fair	Good	Good	 	 	 	 	 	 	 	 	 	 
