FORESTNAME,HUC12_CODE,HUC12_NAME,USFS_COND,TOT_ACRES,USFS_PERC,NONFS_PERC,AQ_BIOTA,RIPARIAN,WATER_QUAL,WATER_QUAN,AQ_HABITAT,ROAD_TRAIL,SOIL_COND,FIRE_COND,FOREST_COV,FOR_HEALTH,TER_INV_SP,RANGE_VEG,PRIOR_YR,PRICPL_REA,SEL_NARAT,KNWN_PART,APRVL_DATE,EST_CMP_DA,ES_PRJ_CNT,ES_PRJ_CST,ACT_CMP_DA,RESTPLN_IN
Lincoln National Forest,"130500040101",Arkansas Canyon-Sacramento River,Functioning at Risk,33753.100,59.0,41.0,Poor,Fair,Poor,Good,Fair,Poor,Good,Poor,Fair,Good,Fair,Fair,,,,,,,,,,
Gila National Forest,"130302020501",Gavilan Arroyo,Functioning Properly,20632.500,40.0,60.0,Good,Good,Good,Good,Good,Good,Good,Fair,Good,Good,Good,Fair,,,,,,,,,,
Gila National Forest,"130302020104",Noonday Canyon,Functioning Properly,16290.900,79.0,21.0,Good,Good,Good,Good,Good,Good,Fair,Fair,Good,Good,Good,Good,,,,,,,,,,
Gila National Forest,"130302020106",Gallinas Canyon,Functioning Properly,34647.000,73.0,27.0,Fair,Good,Good,Good,Good,Fair,Fair,Fair,Good,Good,Good,Fair,,,,,,,,,,
Lincoln National Forest,"130600100305",Burnt Canyon,Functioning at Risk,19463.500,85.0,16.0,Fair,Fair,Fair,Good,Poor,Poor,Good,Poor,Fair,Good,Poor,Good,,,,,,,,,,
Lincoln National Forest,"130600100503",Big Cherry Canyon-Rio Penasco,Functioning at Risk,33474.800,7.0,93.0,Poor,Poor,Fair,Good,Poor,Fair,Fair,Good,Good,Good,Good,Good,,,,,,,,,,
Lincoln National Forest,"130600100303",James Canyon,Impaired Function,34874.800,58.0,42.0,Poor,Poor,Poor,Fair,Poor,Poor,Good,Poor,Poor,Good,Poor,Fair,,,,,,,,,,
Lincoln National Forest,"130500031501",Fresnal Canyon,Functioning at Risk,26494.800,77.0,23.0,Poor,Fair,Poor,Good,Poor,Poor,Good,Poor,Poor,Good,Good,Fair,,,,,,,,,,
Gila National Forest,"130301010302",North Percha Creek,Functioning Properly,22159.600,54.0,46.0,Good,Fair,Good,Good,Fair,Poor,Fair,Fair,Good,Good,Good,Good,,,,,,,,,,
Gila National Forest,"130302020103",Sheppard Canyon-Mimbres River,Functioning at Risk,35244.300,81.0,19.0,Fair,Fair,Good,Poor,Poor,Fair,Good,Fair,Good,Good,Good,Fair,,,,,,,,,,
Gila National Forest,"130302020201",Rio de Arenas,Functioning at Risk,16512.600,6.0,94.0,Fair,Fair,Good,Good,Fair,Fair,Poor,Fair,Good,Good,Good,Fair,,,,,,,,,,
Lincoln National Forest,"130500031701",Alamo Canyon,Impaired Function,37414.600,39.0,61.0,Fair,Poor,Good,Poor,Poor,Poor,Good,Poor,Poor,Good,Good,Poor,,,,,,,,,,
Lincoln National Forest,"130600100304",James Canyon-Rio Penasco,Impaired Function,17826.200,68.0,32.0,Poor,Poor,Fair,Poor,Poor,Poor,Fair,Poor,Good,Good,Poor,Fair,,,,,,,,,,
Lincoln National Forest,"130600100203",Mule Canyon,Functioning at Risk,19165.600,28.0,72.0,Poor,Fair,Good,Good,Poor,Fair,Good,Poor,Poor,Good,Poor,Good,,,,,,,,,,
Gila National Forest,"130302020204",Cameron Creek,Functioning at Risk,35844.800,54.0,46.0,Fair,Fair,Good,Fair,Fair,Fair,Fair,Fair,Good,Good,Good,Good,,,,,,,,,,
Gila National Forest,"130301020201",Trujillo Canyon Creek,Functioning at Risk,32247.300,33.0,67.0,Fair,Fair,Good,Good,Fair,Fair,Fair,Fair,Good,Good,Good,Fair,,,,,,,,,,
Lincoln National Forest,"130600100204",Lower Agua Chiquita,Functioning at Risk,27366.800,74.0,26.0,Poor,Fair,Poor,Fair,Fair,Poor,Good,Poor,Fair,Good,Poor,Fair,,,,,,,,,,
Lincoln National Forest,"130500031702",Mule Canyon,Functioning at Risk,23683.700,31.0,69.0,Fair,Poor,Good,Good,Poor,Fair,Good,Poor,Poor,Good,Poor,Good,,,,,,,,,,
Gila National Forest,"130302020502",Gavilan Arroyo-Mimbres River,Functioning at Risk,31701.700,39.0,61.0,Fair,Good,Good,Fair,Fair,Fair,Fair,Fair,Good,Good,Good,Poor,,,,,,,,,,
Gila National Forest,"130302020203",Pipeline Draw-San Vicente Draw,Functioning at Risk,35243.800,20.0,80.0,Fair,Fair,Good,Good,Fair,Fair,Fair,Fair,Good,Good,Good,Good,,,,,,,,,,
Gila National Forest,"130301020203",Headwaters Tierra Blanca Creek,Functioning Properly,11255.700,98.0,2.0,Fair,Good,Good,Good,Fair,Fair,Fair,Fair,Good,Good,Good,Fair,,,,,,,,,,
Gila National Forest,"130301020204",Outlet Tierra Blanca Creek,Functioning Properly,29717.400,15.0,85.0,Good,Fair,Good,Good,Good,Fair,Poor,Fair,Good,Good,Good,Fair,,,,,,,,,,
Lincoln National Forest,"130600100302",Cox Canyon-Rio Penasco,Functioning at Risk,30454.500,94.0,6.0,Poor,Poor,Poor,Good,Poor,Poor,Fair,Poor,Fair,Good,Poor,Fair,,,,,,,,,,
Ashley National Forest,"140600031104",Clover Creek-Uinta River,Functioning Properly,31904.100,76.0,24.0,Fair,Good,Good,Good,Good,Fair,Fair,Fair,Good,Fair,Good,Good,,,,,,,,,,
Ashley National Forest,"140600020104",Dry Fork-North Fork,Functioning Properly,10123.300,100.0,0.0,Fair,Fair,Good,Good,Good,Fair,Fair,Fair,Good,Good,Good,Good,,,,,,,,,,
Ashley National Forest,"140600031203",Paradise Creek-Whiterocks River,Functioning Properly,21727.000,100.0,0.0,Fair,Good,Good,Fair,Good,Fair,Fair,Fair,Good,Fair,Good,Good,,,,,,,,,,
Ashley National Forest,"140600031103",Pole Creek,Functioning at Risk,22004.500,89.0,12.0,Fair,Fair,Good,Good,Good,Poor,Fair,Fair,Good,Good,Good,Good,,,,,,,,,,
Ashley National Forest,"140600020103",Brownie Creek,Functioning Properly,12610.100,100.0,0.0,Fair,Good,Good,Good,Good,Fair,Fair,Fair,Good,Good,Good,Good,,,,,,,,,,
Ashley National Forest,"140600020203",Black Canyon,Functioning Properly,12391.200,100.0,0.0,Fair,Good,Good,Good,Good,Fair,Fair,Fair,Good,Fair,Good,Good,,,,,,,,,,
Manti-Lasal National Forest,"140700010202",Horse Pasture Canyon-Dark Canyon,Functioning Properly,13205.600,100.0,0.0,Good,Good,Good,Good,Good,Poor,Good,Poor,Fair,Fair,Good,Good,,,,,,,,,,
Manti-Lasal National Forest,"140700010205",Trail Canyon-Dark Canyon,Functioning Properly,22523.400,90.0,10.0,Good,Fair,Good,Good,Good,Good,Good,Fair,Poor,Fair,Good,Good,,,,,,,,,,
Manti-Lasal National Forest,"140700010201",Poison Canyon,Functioning Properly,12070.100,100.0,0.0,Good,Good,Good,Good,Good,Good,Good,Poor,Fair,Fair,Good,Good,,,,,,,,,,
Manti-Lasal National Forest,"140300050901",Upper Salt Creek,Functioning Properly,28671.600,10.0,91.0,Good,Good,Good,Good,Good,Fair,Good,Fair,Good,Fair,Good,Good,,,,,,,,,,
Ashley National Forest,"140600050101",Gilsonite Draw,Functioning Properly,14110.900,50.0,50.0,Fair,Good,Poor,Good,Good,Good,Fair,Good,Good,Good,Good,Good,,,,,,,,,,
Ashley National Forest,"140600030904",Spring Hollow-Cottonwood Wash,Functioning at Risk,15912.400,6.0,94.0,Fair,Fair,Fair,Good,Good,Fair,Good,Fair,Good,Fair,Good,Good,,,,,,,,,,
Ashley National Forest,"140600020204",Ashley Gorge,Functioning Properly,13924.400,100.0,0.0,Fair,Good,Good,Fair,Good,Fair,Fair,Fair,Good,Good,Fair,Good,,,,,,,,,,
Ashley National Forest,"140600031204",Lower Whiterocks River,Functioning Properly,11333.300,66.0,34.0,Fair,Good,Good,Good,Good,Good,Good,Fair,Good,Good,Fair,Good,,,,,,,,,,
Ashley National Forest,"140600030902",Timothy Creek,Functioning Properly,10665.300,81.0,19.0,Fair,Good,Poor,Good,Good,Fair,Good,Fair,Good,Fair,Good,Good,,,,,,,,,,
Ashley National Forest,"140600020105",Dry Fork Canyon,Functioning Properly,10511.100,72.0,28.0,Fair,Good,Good,Good,Good,Poor,Fair,Fair,Good,Good,Good,Good,,,,,,,,,,
