StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERDUN,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,PLANTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,HGB,HGC,HGD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,WATERWETNLCD06,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
06453255,Ref,TRUE,1524,1.14,43.221255,-98.240839,61.83,9.15,66.4,275.3,125.6,73,9,4,723.2,13.1,0.357,2.5,12.7,12.89,738.2,54,1.1,86.3,0.01,0.62,5.24,32.61,53.68,66.53,22.97,5.88,0.18,1.18,1.4,0.92,5.18,60,97.67,77.94,28.92,52.75,18.34,0.3,95.87,467,0.388,1.1,248.8,-0.361,-0.932,2.33,4.51,20.87,22.84,13.59,3.057415383,31.55,183
06453500,Ref,TRUE,1305.3,0.99,43.098358,-99.33248,62.45,8.86,63.8,272.5,129.4,71.3,8.9,3.4,695.2,12.1,0.385,0.7,23.4,12.36,505.9,61.8,0.66,34.55,0.02,0,56.65,3.81,30.74,42.11,26.92,20.47,0.14,4.17,1.36,0.78,5.84,51.4,97.25,62.73,26.32,39.54,34.14,0.27,85.05,655,0.64,2,88.5,0.026,1,3.43,3.82,21.08,23.61,13.76,3.046839606,30.3,253
06453600,Ref,TRUE,2101.4,0.67,43.016014,-99.050439,62.43,9.01,64.6,273.6,127.7,71.4,9,3.4,704.4,12.2,0.381,0.9,26.7,12.01,585.7,59.6,1.51,31.08,0.01,0,59.95,4.37,26.71,32.2,26.5,29.71,0.13,3.62,1.36,0.78,5.78,49.17,97.96,67.76,29.93,40.31,29.76,0.29,88.81,594,0.588,2.7,99.4,-0.163,0.987,2.72,3.92,21.02,23.63,13.71,3.069753767,30.53,369
06462500,Ref,TRUE,1390.8,0.6,42.585315,-100.284248,55.95,8.89,63.2,272,129.7,71.1,9.1,3.5,677.6,11.1,0.412,3.2,1.2,13.28,66.1,35.1,2.46,4.32,0.06,0,82.4,0.22,4.1,4.95,0,14.82,0.08,12.52,1.7,0.46,4.79,58.9,98.63,15.35,4.68,11.19,84.13,0.17,82.93,840,0.597,2.1,62.5,0.461,0.887,9.64,3.5,18.24,22.9,11.33,3.338418137,28.83,367
06464500,Ref,TRUE,2914,1.46,43.114285,-100.258203,54.29,8.42,62.8,270.1,130.5,70.4,9,3.5,673.5,11.7,0.412,1,6.1,12.85,161.2,33.8,0.21,10.39,0.01,0.1,81.56,1.62,8.78,46.95,4.42,16.66,0.12,7.44,1.52,0.74,5.65,48.45,98.03,39.47,12.84,28.18,58.98,0.21,71.52,760,0.48,1.9,78.8,0.194,0.981,5.3,3.31,18.46,21.49,11,3.225654531,29.57,281
06464900,Ref,TRUE,4380.9,1.09,43.054114,-100.018411,55.73,8.55,63.4,271.2,129.2,71.4,9.1,3.5,679.7,11.6,0.408,1.4,6.9,12.59,224.9,37.8,0.67,10.13,0.01,0.07,80.82,1.41,8.72,41.09,4.26,18.4,0.11,7.83,1.52,0.72,5.55,49.32,98.06,38.79,13.74,26.62,59.63,0.21,76.23,731,0.554,2.1,72.7,0.298,0.955,5.72,3.34,18.91,21.9,11.58,3.19801898,29.75,390
06466500,Ref,TRUE,1182.3,1.28,42.566131,-97.812976,66.5,9.49,65.4,272.9,124.8,75.4,9.2,3.7,724.3,12.8,0.352,3.2,8.2,12.24,226,70.7,4.22,49.43,0.02,0,41.1,1.62,47.81,76.89,0.16,4.26,0.17,3.68,1.37,0.82,5.88,58.31,98.99,75.93,21.63,55.63,22.73,0.3,102.74,517,0.64,3.2,322.8,0.797,-0.604,1.01,4.94,22.14,25.24,14.2,2.942621492,30.58,225
06478540,Ref,TRUE,200.1,1.11,43.946374,-97.405182,61.35,7.17,68,270.2,128.5,75.5,9.8,3.4,661.6,14.5,0.367,1,15.5,13.46,1017.5,68.1,0.28,78.64,0.02,0,10.73,17.98,60.66,74.86,14.27,1.47,0.18,1.06,1.38,0.99,4.1,60,97.69,72.03,27.35,47.65,25.01,0.28,93.08,497,0.537,0.5,239.5,-0.507,-0.862,5.1,4.09,18.72,24.57,13.99,3.081944358,32.91,67
06479215,Ref,TRUE,175.3,1.88,45.33285,-97.10693,58.38,5.6,68.6,264.8,137.4,74,9,3.5,611.5,15.5,0.399,1.5,6.3,12.91,526.5,57,0.5,41,0.1,0.05,49.87,1.57,39.43,86.93,3.38,4.58,0.16,3.13,1.44,1.35,5.16,60,92.84,63.72,22.64,47.8,29.56,0.29,86.85,576,0.378,1.1,230.3,-0.639,-0.769,3.37,4.02,15.89,25.98,12.48,3.200896203,33.51,82
06479438,Ref,TRUE,951.9,1.15,45.33285,-97.10693,57.79,5.89,68.3,266.1,135.2,76.2,9.3,4,621.8,15.7,0.394,1.4,6.3,13.25,849.3,53.2,0.48,52.14,0.03,0.02,35.41,2.58,49.57,82.3,6.21,4.14,0.17,1.99,1.4,1.66,5,60,95.88,73.31,25.64,52.4,21.95,0.29,87.86,557,0.3,1,229.9,-0.644,-0.765,7.77,4.09,15.79,25.49,12.4,3.188561801,33.52,100
