StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,PRECIP_SEAS_IND,PERDUN,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,PLANTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,HGA,HGB,HGC,HGD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
08023080,Ref,TRUE,187.6,1.87,32.046468,-93.852308,133.64,17.97,70,309.5,83.9,86.4,9,5.8,980.6,0.076,4.5,18,12.51,859.9,438.2,27.53,13.97,0.22,16.3,12.58,12.83,1.14,1.11,13.81,37.94,47.15,0.16,0.84,1.5,0.59,3.57,59.87,98.95,71.2,30.4,42.34,27.27,0.43,405.99,86,0.451,1.4,189.3,-0.987,-0.162,36.71,35.99,28.33,32.61,1.353192624,20.18,71
08023400,Ref,TRUE,211,2.05,31.952089,-93.644677,134.95,17.99,70,310.2,83.3,85.9,8.9,5,978.5,0.086,4.4,17.4,12.52,912.3,445.4,37.1,8.22,3.4,19.15,7.19,7.75,0.46,1.06,5.23,76.48,17.23,0.16,0.74,1.43,0.92,3.09,60,95.39,65.63,31.46,37.74,30.8,0.34,420.03,94,0.5,1.7,183.2,-0.998,-0.055,37.71,36.66,28.61,31.95,1.388729843,20.2,56
08025500,Ref,TRUE,383,2.14,31.429773,-93.434613,141.78,18.17,70.8,309.3,81.9,86.6,8.4,5,982,0.079,5.6,12.6,12.67,325.8,469.4,53.39,4.62,0.08,16.29,8.1,4.6,0.02,4.08,16.36,12.22,67.22,0.16,1.61,1.48,1.23,3.62,58.9,98.87,72.46,36.34,37.85,25.81,0.38,463.4,86,0.406,2.5,178.8,-1,0.021,40.42,37.21,31.31,32.84,1.326694886,19.51,101
08028700,Ref,FALSE,35.3,1.65,30.72915,-93.498105,148.92,19.02,73,319.4,70,89.8,9,5.1,1014.2,0.034,5.4,11.1,13.17,984.8,514.2,68.69,0.27,0,9.5,13.88,0.27,0,3.91,15.73,64.45,15.92,0.16,1.11,1.54,0.55,2.61,60,99.9,71.33,23.27,48.48,28.25,0.43,508.84,42,0.579,0.9,276.2,0.109,-0.994,40.73,36.46,35.97,35.78,1.195339912,18.22,38
08029500,Ref,TRUE,333.4,2.07,30.96511,-93.86071,143.48,18.55,71.3,315.8,75.9,88.4,8.9,6,995.1,0.049,5.5,7.4,12.56,209.6,474.1,29.82,2.28,0.72,31.34,8.19,2.28,0,33,23.74,20.08,23.18,0.14,4.27,1.5,0.39,4.62,60,97.49,49.89,25.18,26.69,48.13,0.26,468.04,93,0.37,2.9,149.8,-0.864,0.503,39.38,36.14,33.58,34.39,1.302092124,18.83,138
08030000,Ref,FALSE,166.3,1.08,30.531593,-93.949124,147.97,19.2,72.5,322.3,69.9,97.3,10,6,1019.9,0.011,5.3,14,13.66,643.2,487.4,46.89,10.91,0.06,15.19,8.35,10.86,0.05,0,77.9,1.36,17.78,0.17,1.29,1.56,0.21,2.53,60,92.63,65.8,24.37,47.05,28.57,0.32,483.73,31,0.471,0.3,148.6,-0.854,0.52,38.62,35.94,37.01,36.39,1.174676835,17.9,34
08031000,Ref,TRUE,231.2,1.48,30.322237,-93.949664,148.76,19.18,73.7,324.2,69.6,100.3,10.4,5.8,1019,0.013,4.4,18.8,14.41,3648.8,496,27.63,5.27,0.03,7.98,9.58,4.58,0.69,0,17.03,3.3,79.14,0.18,0.68,1.4,0.52,1.02,60,98.03,85.44,34.38,52.98,12.64,0.4,492.44,12,0.333,0,200.4,-0.937,-0.349,37.52,35.17,38.51,37.62,1.072400301,17.78,27
08033300,Ref,FALSE,207.4,1.68,31.238745,-95.154668,122.06,18.92,72,317.5,76,79,7.9,5,1022,0.008,2.3,13.8,12.8,622.3,310.1,53.75,20.92,0.05,6.41,3.75,20.03,0.89,0,22.93,23.78,53.29,0.14,1.09,1.51,0.68,2.27,54.55,98.96,65.83,23.6,43.18,33.22,0.46,365.69,104,0.41,0.8,160.1,-0.94,0.341,30.55,30.72,28.57,32.23,1.214562177,19.32,61
08033900,Ref,FALSE,408,2.21,31.870955,-94.725673,123.49,18.22,70.9,316,76.5,78.3,7.5,5,994.8,0.058,5.4,6.6,12.38,154.8,347.3,55.1,19.14,0.32,12.9,0.14,18.62,0.52,25.66,39.27,32.06,1.31,0.11,4.42,1.5,0.7,5.07,59.84,96.1,46.15,24.14,25.42,50.43,0.24,377.31,133,0.353,3.1,225.6,-0.7,-0.714,32.29,32.62,25.59,32.97,1.338152913,20.04,139
08041500,Ref,TRUE,2228.5,1.62,30.661692,-94.459919,141.97,18.98,71.7,319.8,72.8,98.6,9.9,6.5,1010.7,0.017,5.5,9.7,12.93,325.9,440.7,37.7,3.02,0.24,16.38,10.46,3.02,0,5.01,55.46,24.72,12.26,0.15,2.26,1.51,0.21,3.61,60,96.14,54.78,23.56,34.29,42.15,0.29,433.13,62,0.369,1.6,154.4,-0.902,0.432,36.44,35.43,34.54,35.55,1.232900921,18.26,141
