StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,HGA,HGB,HGC,HGD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,WATERWETNLCD06,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
09034900,Ref,TRUE,15.6,3.19,39.739779,-105.907439,81.29,-0.06,56.1,235.7,182.8,145.5,15.2,8,336.8,65.2,0.114,0,9.2,2,422.9,23.63,30.32,0,8.36,30,25,25,20,0.08,8.98,1.42,0.91,5.12,49.41,55.41,22.59,12.22,33.09,54.69,0.1,45.83,3601,0.444,42.6,328.3,0.851,-0.525,0.09,20.85,26.12,17.2,17.26,3.892753376,20.86,936
09035800,Ref,TRUE,22.9,3.23,39.818069,-105.985816,72.84,0.87,56.5,236.5,178.7,134.5,14.1,7.5,359.8,59.8,0.117,0,9.06,2.4,305.2,69.33,5.59,0,8.56,21.59,34.04,21.99,22.38,0.07,6.85,1.47,0.52,5.4,50.54,60.79,23.85,11.41,31.9,56.69,0.12,38.46,3350,0.557,31.8,258.7,-0.195,-0.981,0.02,18.59,23.36,15.52,15.17,3.717188955,20.97,1116
09035900,Ref,TRUE,72.8,2.44,39.729795,-106.009049,72.5,0.9,55.8,233.7,184.1,128.1,13.1,7.7,360,61.4,0.111,0,9.5,3.7,344,57.46,9.76,0.01,11.26,25.44,30.12,23.29,21.14,0.08,7.84,1.45,0.7,5.27,50.06,58.28,23.29,11.82,32.47,55.71,0.11,36.33,3390,0.518,35.7,43.8,0.721,0.693,0.23,18.54,23.25,15.45,15.52,3.706866308,20.96,1265
09040000,Ref,FALSE,196.7,2.34,40.250382,-106.204897,59.66,2.76,55.4,236.9,172.9,111.9,10.6,6.9,413.9,50,0.08,0.1,10.06,10.5,202.9,82.29,0.49,6.84,7.79,5.03,60.94,23.33,10.7,0.1,5,1.42,0.34,5.87,53.93,72.7,31.59,19.72,27.6,52.68,0.18,25.69,2808,0.33,24.1,184.7,-0.997,-0.082,2.26,14.2,18.72,12.9,13.93,3.259896995,22.3,1398
09047700,Ref,TRUE,23.6,2.95,39.562744,-105.943642,67.94,1.29,56.3,234.4,182.2,123.7,12.9,7,367.3,60.6,0.099,0,9.41,4.2,344.9,81.47,1.62,0,16.06,22.09,32.91,22.36,22.64,0.07,6.94,1.47,0.53,5.39,50.38,60.59,23.72,11.37,31.88,56.74,0.12,34.01,3312,0.495,30.2,294.7,0.418,-0.909,0.65,16.93,21.3,15.17,14.35,3.651027294,20.74,929
09052000,Ref,TRUE,41,2.73,39.686092,-106.183283,72.12,0.33,56.8,230.6,187.1,125.6,12.9,7,346.7,60,0.121,0.2,9.57,14.9,313.4,55.75,20.94,0.43,15.12,11.76,55.4,15.88,16.96,0.09,6.3,1.39,2.54,5.49,55.85,66.66,30.11,18.13,31.67,50.2,0.16,33.02,3253,0.451,31.8,52,0.616,0.788,2.39,18.95,22.81,14.76,15.51,3.56695078,21.12,1463
09052400,Ref,TRUE,22.5,2.4,39.706682,-106.224557,79.85,-0.18,57,231,188.6,125.1,12.7,7,335,62.3,0.139,0,9.24,2.3,421.6,46.17,27.24,0,11.84,14.78,50.36,17.39,17.46,0.09,6.74,1.4,2.27,5.42,54.78,64.79,28.86,17.15,31.9,50.95,0.15,34.96,3428,0.487,38.3,76.6,0.232,0.973,2.1,21.73,25.25,15.44,17.19,3.746705515,20.95,1110
09052800,Ref,TRUE,36.5,2.77,39.734018,-106.24586,81.55,-0.15,56.9,233.1,187.7,123.2,12.2,7,338.7,63,0.154,0,9.03,3.5,415.7,32.98,30.04,0,18.45,14.94,50.1,17.47,17.49,0.09,6.77,1.4,2.25,5.42,54.73,64.69,28.8,17.1,31.91,50.99,0.15,33.64,3403,0.522,43.4,68,0.375,0.927,2.84,23.01,25.44,15.04,17.6,3.759168219,21.03,1242
09058500,Ref,TRUE,33.2,1.64,39.726491,-106.356691,77.82,-0.38,58.5,238,184.2,121.9,12.1,7.1,331.8,64.8,0.121,0,9.93,4.8,526.1,46.59,20.37,0,15.67,23.65,31.35,22.88,22.12,0.07,7.34,1.46,0.6,5.33,50.19,59.57,23.5,11.54,32.12,56.34,0.11,37.74,3300,0.392,43.5,242.3,-0.465,-0.885,4.16,22.15,22.59,15.01,17.91,3.795530933,20.92,1291
09058700,Ref,TRUE,7.6,4.09,39.683234,-106.449163,69.5,2.02,58.9,243.9,169.9,117,12.1,7,391.7,57,0.122,3.9,10.06,30.8,426.5,79.79,0,0,14.72,12.12,38.08,28.63,21.16,0.08,4.25,1.5,0.41,5.7,52.5,69.03,31.57,14.9,32.91,52.19,0.16,30.32,2997,0.402,17.5,28.8,0.876,0.482,5.49,19.04,20.69,13.12,16.07,3.228188009,21.41,353
09058800,Ref,TRUE,9.2,2.31,39.744364,-106.397651,76.34,0.78,58.6,241.5,176.4,118.4,12,7,347.5,63.8,0.136,0,8.89,7.3,508.5,77.83,3.8,0,5.26,18.33,36.67,21.11,23.89,0.07,5.97,1.5,0.35,5.51,50.84,63.05,24.26,10.97,31.31,57.72,0.12,37.85,3194,0.324,22.4,241.5,-0.477,-0.879,0.83,22.22,23.1,14.45,17.95,3.725254803,20.94,937
09060500,Ref,FALSE,124.1,1.73,40.098508,-106.639265,75.46,0.98,56.1,230.9,189.2,118.5,11.6,7.3,369.7,58.4,0.181,0.9,11.57,77.5,330.8,76.41,0.07,0.4,15.99,10.49,27.97,44.06,17.48,0.09,3.67,1.46,0.32,5.74,52.98,72.91,39.38,19.5,33.94,46.56,0.18,32.73,2835,0.337,13.6,189.4,-0.986,-0.164,6.64,22.86,23.45,12.51,16.78,3.416871811,21.72,691
