StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,HGB,HGC,HGD,AWCAVE,PERMAVE,BDAVE,OMAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
09386900,Ref,TRUE,184.9,2.05,35.321403,-108.471937,48.36,6.33,53.5,261.6,165.3,72.8,9.9,3,496,33.2,0.096,4,11.75,359,61.1,80.94,0,17.31,1.56,68.64,26.38,4.98,0.11,1.45,1.43,0.51,53.02,67.23,38.32,24.88,38.57,36.55,0.27,40.97,2425,0.599,6.5,257.9,-0.21,-0.978,11.92,9.89,13.93,12.62,2.617044778,21.12,548
09403000,Ref,FALSE,260.8,2.36,36.223483,-112.066263,57.29,6.63,54.6,260.3,162,71.2,8.3,2.9,518.8,29.8,0.223,0,10.25,140.8,191.4,62.23,7.13,25.78,4.12,55.96,0.06,43.98,0.11,1.3,1.45,0.21,60,41.91,23.5,22.6,37.73,39.67,0.2,34.51,2493,0.849,35.2,200.4,-0.937,-0.348,20.62,13.61,10.72,12.39,2.162592561,20.99,2032
09404115,Ref,TRUE,7781.8,1.5,35.758555,-112.395578,36.41,11.19,47.8,282.3,136.1,58.6,8.5,2,667.7,19.8,0.124,8.2,12.39,1547.4,42.3,22.98,1.15,68.15,7.06,10.47,18.69,70.84,0.12,0.88,1.38,0.76,42.04,66.42,40.81,27.55,37.56,34.89,0.17,34.57,1829,0.485,5.5,301.6,0.524,-0.852,9.11,6.81,11.01,9.43,1.979554429,21.26,2582
09404208,Ref,TRUE,779,1.19,35.664492,-113.335486,30.69,14.06,47.4,300.9,117.2,44.2,6.4,2,806.8,12.3,0.062,2.3,10.63,411.2,18,22.37,1.91,71.39,4.01,13,12.15,74.03,0.1,1.74,1.35,0.51,29.37,44.72,25.55,22.52,38.61,38.87,0.11,22.16,1541,0.611,20.1,303.1,0.547,-0.837,8.21,6.36,9.63,6.48,2.492898143,21.45,1824
09404222,Ref,TRUE,665.3,2.28,35.675469,-113.678136,32.53,15.6,47.5,311.7,104.5,41.1,6,1.2,886.5,8.3,0.042,1.1,10.85,361.4,16.8,24.83,2.03,66.76,6.01,4.34,18.84,75.9,0.11,1.32,1.33,1.14,30.68,47.78,28.85,25.85,40.23,33.92,0.09,20.19,1482,0.646,17,53.5,0.594,0.804,8.95,7.11,9.81,6.66,1.725643573,21.74,1529
09404343,Ref,TRUE,908.9,1.64,35.458569,-113.455727,37.96,13.86,47.1,300,121.6,43.5,6.6,1.6,788.3,10.3,0.104,6.8,11.74,1408.2,18.8,13.66,0.23,79.48,6.07,6.94,12.7,78.49,0.13,0.85,1.33,0.45,31.79,73.65,45.25,24.84,43.89,31.26,0.2,23.48,1575,0.487,7.6,318.2,0.746,-0.666,9.72,7.31,13.14,7.92,2.470010561,20.77,868
09404450,Ref,TRUE,193,2.21,37.413975,-112.585491,46.03,6.72,54.3,258.1,160.4,64.1,7.8,3.3,511.3,37.5,0.146,3.6,10.5,85,63.5,86.6,1.16,10.29,0.09,21.09,41.17,37.73,0.13,1.53,1.26,0.87,36.16,76.78,53.01,27.11,45.25,27.64,0.22,21.91,2226,0.543,23.3,174.7,-0.996,0.092,13.95,11.11,8.65,12.29,2.456986428,21.69,792
09406300,Ref,FALSE,25.8,2.58,37.531918,-113.121876,59.06,8.53,52.5,275.4,141.2,63.3,8.1,2.9,570.1,49.2,0.174,3.7,9.05,29.4,192.3,82.21,1.34,14.92,0.07,48.3,28.51,23.18,0.12,1.58,1.38,0.56,46.27,69.25,45.55,28.02,41.6,30.38,0.19,24.68,2352,0.497,28.5,302.6,0.539,-0.842,17.07,17.88,10.13,13.63,2.813625027,20.65,1242
09408195,Ref,FALSE,3473.1,1.39,36.741831,-113.182953,31.15,13.17,49.9,296.4,117.3,48.6,6,1.9,774.1,11.7,0.052,0.2,11.71,121.3,18.2,7.53,2.61,71.74,17.5,51.42,6.66,35.37,0.12,4.28,1.4,0.56,42.65,85.91,45.24,17.02,39.09,43.89,0.24,18.49,1548,0.437,6.7,358.6,1,-0.025,8.31,7.19,8.34,7.36,1.761373144,22.91,1589
09415460,Ref,TRUE,73.2,2.76,38.938754,-115.373589,42.71,5.51,47.9,253.3,170,64.7,6.5,4,475.9,43.6,0.094,2.7,9.71,23.2,46.9,80.14,0.12,15.94,3.79,14.61,19.97,65.42,0.1,1.6,1.36,1.31,24.53,57.22,31.24,23.32,39.57,37.1,0.16,23.21,2372,0.236,23.3,94.9,-0.085,0.996,12.02,12.08,8.22,10.32,2.862654173,22.4,1438
