StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,HGB,HGC,HGD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
10023000,Ref,TRUE,131.5,2.89,41.580605,-111.356737,63.57,4.48,52.4,246.7,171.6,86.4,9.2,4.1,468.8,53.1,0.195,1.3,10.92,55.9,181.7,30.83,0,67.54,0.71,58.11,38.03,3.86,0.11,2.09,1.34,0.83,6,42.86,67.86,44.85,20.79,49.76,29.45,0.23,35.92,2229,0.366,13.8,95.8,-0.101,0.995,19.62,19.28,8.73,16.07,3.098403642,23.93,733
10041000,Ref,FALSE,293.1,2.15,42.4247,-110.965566,63.03,3.04,51.1,237.7,177.8,95.1,10.7,5.2,429.1,57.5,0.162,1,10.7,21.7,207.8,31.94,0,51.44,16.18,37.93,17.16,33.54,0.11,3.63,1.33,0.82,5.61,42.66,57.8,36.07,16.53,46.77,36.71,0.19,27.04,2231,0.367,23.4,152.2,-0.885,0.466,19.54,18.33,10.46,14.65,3.157109172,23.7,842
10058600,Ref,FALSE,63,1.76,42.18045,-111.537876,93.13,3.88,54.8,249.7,163.4,119,12,6.4,448.9,53.2,0.22,9.4,10.23,123.8,520.5,60.84,0.53,37.24,0.73,57.54,14.19,28.27,0.15,0.73,1.46,0.76,6,43.26,74.04,48.75,24.5,48.26,27.24,0.22,56.75,2402,0.528,23.7,102,-0.207,0.978,30.53,28.21,12.78,21.32,3.471734981,23.38,1054
10093000,Ref,TRUE,77.5,2.17,42.115704,-111.627737,90.94,4.78,55,253.4,161.3,107.4,11.8,5.2,475.7,57,0.215,5.5,10.13,44.1,544.2,76.61,0.08,22.3,0.14,62.8,17.37,19.83,0.12,0.98,1.45,0.95,6,46.4,66.39,44.81,22.14,51.81,26.05,0.25,52.88,2349,0.602,28.3,275.7,0.099,-0.995,29.31,27.98,12.41,21.35,3.589670062,23.49,1210
10109001,Ref,TRUE,555.6,1.83,41.882363,-111.597316,93.64,4.62,54.4,252.2,163.4,108.6,12,4.7,469.8,60.9,0.273,3.9,9.96,34.1,439.5,71.83,0.5,26.07,0.26,59.43,23.31,17.27,0.11,1.79,1.33,1.5,6,47.5,64.94,41.29,24.34,45.95,29.71,0.2,62.39,2334,0.565,27.5,141.5,-0.783,0.622,32.72,27.72,10.47,22.66,3.390762428,23.21,1591
10143500,Ref,TRUE,8.1,2.22,40.92251,-111.821364,99.71,6.88,55.8,267.4,147.7,101.6,11.9,4.5,541.3,46.3,0.273,1.4,9.1,19.7,505.3,86.16,0,13.64,0.08,76.88,16.08,7.03,0.09,3.93,1.33,1.97,6,52.81,53.57,30.1,19.88,42.5,37.62,0.21,70.31,2135,0.563,37.4,257.5,-0.216,-0.976,33.24,35.22,10.16,24.1,2.612102818,22.9,1211
10148200,Ref,TRUE,50.7,2.78,39.999172,-111.211712,53.21,4.5,51.4,250.9,165.6,82,8.3,5,464.3,54.1,0.116,1.2,10.13,54.8,149.1,83.59,0.41,15.98,0,45,40.37,14.63,0.1,1.97,1.34,0.53,6,40.66,73.5,41.56,21.54,38.71,39.75,0.16,22.69,2306,0.436,27.6,212.5,-0.843,-0.538,15.24,14.51,9.47,13.98,3.073975865,23.62,1001
10166430,Ref,TRUE,70.2,3.23,40.425288,-112.160268,76.09,5.48,52,262.1,167,94.9,10.7,5,471.2,35.6,0.156,1,9.15,14.1,230.6,53.77,0.97,30.3,13.62,29.72,33.87,36.41,0.1,1.14,1.26,1.5,6,40.7,63.73,41.56,27.42,44.58,28.01,0.15,42.23,2222,0.34,34.2,100.3,-0.179,0.984,20.5,24.92,11.92,18.01,2.509622459,23.62,1471
10172200,Ref,TRUE,18.7,2.85,40.802247,-111.778505,83.87,8.49,53.6,270.9,138.2,92.5,10.4,5,600.9,39.8,0.199,2.1,9.3,14.3,249.1,86.32,0,13.68,0,12.67,15.34,71.99,0.09,3.12,1.31,0.96,6,29.8,72.41,42.54,24.42,38.99,36.59,0.14,49.26,2086,0.495,38.4,213.3,-0.836,-0.549,24.66,27.79,9.52,22.33,2.378712425,22.76,847
10172700,Ref,TRUE,69.9,2.48,39.929303,-112.379709,60.06,7.78,51.4,270.9,146,80.6,9.1,4.3,574.8,40,0.224,1,10.53,19.2,132.5,12.54,0,79.68,6.51,3.77,12.06,84.16,0.08,1.8,1.36,0.98,6,15.22,50.54,26.94,15.79,43.81,40.4,0.14,23.85,2144,0.38,15.3,68,0.375,0.927,18.61,18.45,7.45,15.35,2.286683653,23.25,658
