StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERDUN,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,HGA,HGB,HGC,HGD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,WATERWETNLCD06,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
10370000,Ref,FALSE,149.4,2.14,42.240021,-120.216586,51.14,6.12,66,253.6,169.4,98.8,12.5,2,488,45.1,0.222,0,0.1,11.1,122.7,224.8,66.83,0.58,25.15,3.25,0,55.92,25.47,18.61,0.11,1.83,1.24,1.93,5.39,47.34,71.78,44.52,26.77,42.3,30.93,0.19,25.3,1899,0.276,13.7,155.4,-0.909,0.416,3.13,17.95,14.17,6.7,12.38,2.085540319,19.57,841
10384000,Ref,TRUE,691.8,1.79,42.515599,-120.653015,53.48,6.06,65.1,241.6,180.1,91.7,11.7,2.6,481.8,42.4,0.333,0,0.1,10.75,78.1,229.4,67.88,1.25,23.65,6.59,8.55,58.93,22.48,10.03,0.13,3.64,1.17,1.74,5.86,47.93,71.5,37.64,22.38,38.61,39.01,0.16,26.65,1820,0.394,16.4,127,-0.602,0.799,0.53,20.02,16.15,5.53,11.82,2.059419081,18.87,1179
10396000,Ref,TRUE,528.9,1.92,42.656245,-118.736692,69.63,6.62,63.5,254.6,157.8,88.9,11.2,2.3,516,45.2,0.311,0,0.5,11.07,127.8,335.2,14.31,0.31,85.07,0.18,3.02,13.83,15.94,67.21,0.1,1.27,1.37,2.42,6,23.21,74.33,51.7,33.77,41.04,25.18,0.14,24.36,1825,0.317,13.7,308.9,0.628,-0.778,0.13,24.9,22.44,7.89,14.44,2.552138074,20.35,1665
12010000,Ref,TRUE,142.2,1.62,46.461157,-123.675815,305.18,9.26,79.8,288.4,126.6,201,22.6,8,559.6,15.2,0.42,4.6,2.6,10.72,63.1,2539,55.2,0.19,24.74,14.56,1.38,66.43,25.69,6.49,0.18,1.67,0.96,4.52,5.48,50.78,90.1,64.5,28.8,46.88,24.32,0.22,312.27,276,0.334,24.7,200.4,-0.937,-0.349,1.29,130.04,69.54,21.92,83.72,0.884873736,12.59,782
12013500,Ref,TRUE,337.7,2.24,46.562198,-123.552537,262.24,9.83,78.7,291.8,122.3,192.2,22.4,7.2,580.4,15.3,0.419,4,1.9,11.45,237.7,2140,59.56,0.09,22.91,5.51,1.62,78.54,15.51,4.33,0.19,1.93,1.01,3.31,5.59,54.64,93.23,67.2,28.4,45.61,25.99,0.23,233.69,175,0.211,18.5,342.3,0.953,-0.303,2.84,111.7,59.74,18.57,72.45,0.898180887,12.54,826
12017000,Ref,FALSE,569,1.3,46.827285,-123.566353,226.56,10.1,80.3,296.3,116.9,183.6,22.6,6,592.8,13,0.414,6,1.8,11.93,158,1559,63.93,0.05,19.7,7.48,1.42,79.62,15.48,3.47,0.19,2,1.01,3.56,5.66,55.08,93.59,69.88,28.81,47.83,23.36,0.24,167.68,136,0.172,14.9,253.8,-0.279,-0.96,4.27,96.12,51.76,16.01,62.7,0.862393337,12.96,733
12020000,Ref,TRUE,294.2,2.15,46.503974,-123.307626,211.79,9.7,77,290.7,121,189.6,22.4,6.4,586.7,21.1,0.401,2.2,1,11.05,79.4,1796.1,66.3,0.11,18.22,5.71,3.46,57.87,28.95,9.72,0.16,2.55,1.05,2.83,5.59,49.17,83.84,51.44,22.13,44.41,33.46,0.22,192.44,395,0.349,26.3,9.5,0.986,0.164,0.97,86.25,47.27,16.34,61.75,0.969921466,13.67,850
12020800,Ref,FALSE,69.8,1.73,46.395447,-123.13905,188.24,9.51,76.2,288.7,125.7,192.8,23.7,6.3,578.7,18.3,0.382,2,0.4,10.8,27.8,1598.5,39.44,0.04,44.7,9.46,3.58,68.58,21.24,6.61,0.17,2.19,1.05,3.18,5.66,51.35,86.4,56.04,23.65,45.71,30.63,0.23,176.83,324,0.31,21,107.8,-0.306,0.952,2.11,74.18,41.42,15.95,56.53,0.929537331,13.92,694
12024000,Ref,FALSE,109.3,1.86,46.641238,-122.578632,176.33,9.48,71.5,284.7,128,175.7,21.8,5.2,584.9,19.1,0.318,2.6,1.3,10.95,214,1091.7,55.71,0.24,25.5,6.99,1.7,70.27,23.13,4.91,0.17,2.37,1.1,2.26,5.75,53.73,79.29,56.39,27.08,47.65,25.27,0.25,100.76,415,0.251,19.4,231.1,-0.628,-0.778,2.05,65.83,47.69,17.79,45.16,0.987488849,14.25,999
12025000,Ref,TRUE,404.9,1.9,46.632135,-122.703253,151.69,10.04,72.1,286.2,126,168,20.9,5.1,603,15.6,0.33,3,1.1,12.11,1610.3,921.8,48.75,0.15,22.15,7.17,1.51,73.05,10.01,15.42,0.16,2.02,1.15,1.95,5.3,56.71,87.65,64.55,31.28,46.49,22.23,0.27,79.46,228,0.152,12.8,269.3,-0.012,-1,3.89,57.64,39.6,15.01,39.89,0.96013517,14.21,1103
