StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERDUN,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,HGA,HGB,HGC,HGD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
10255800,Ref,FALSE,391.4,1.86,33.440308,-116.537652,37.57,14.81,41.7,315.8,100,32.1,4.9,772.3,3.2,0.472,0.3,0,10.14,9.5,50.6,5.21,4.04,65.73,22.48,12.49,20.47,35.11,31.93,0.1,5.88,1.52,1.29,5.99,25.46,86.35,29.48,11.41,25.45,63.13,0.19,34.05,1195,0.369,22.4,119.4,-0.492,0.871,18.8,9.34,3.6,5.84,1.336844615,16.58,2237
10255810,Ref,TRUE,56.5,2.07,33.287451,-116.494835,43.05,13.88,42.5,315.5,96,33,5.2,726.9,3.9,0.444,1,0.1,9.28,4.2,61.8,17.46,1.51,71.61,8.89,3.56,24.63,22.79,49.02,0.1,6.02,1.52,1.48,6,22.38,89.11,28.13,11.09,22.99,65.92,0.19,34.1,1423,0.669,33.4,84,0.105,0.994,20.65,10.57,4.53,7.24,1.389758093,17.05,1587
10255850,Ref,FALSE,102.7,2.38,32.99391,-116.475085,47.58,14.54,42.6,309.7,111.1,36.4,5.6,751.4,3.8,0.508,1,0.1,9.76,27.5,91.5,4.79,1.49,62.19,28.85,12.84,21.39,47.9,17.88,0.1,5.41,1.51,1.35,5.99,26.33,87.32,32.08,11.99,26.81,61.19,0.19,50.72,993,0.338,26.3,98.6,-0.15,0.989,23.53,12.59,3.65,7.72,1.41424499,16.44,1176
10257600,Ref,TRUE,92.9,1.68,34.090659,-116.690385,55.02,13.42,38.1,311.4,95.6,39.9,6.3,737.5,7.4,0.582,0,0,9.6,3.9,91.4,29.58,3.02,55.88,11.3,10.15,13.66,38.02,38.17,0.09,5.01,1.48,1.25,6,20.93,72.3,27.72,12.16,30.05,57.78,0.17,67.47,1767,0.475,38.3,161.2,-0.947,0.322,31.12,13.31,2.82,7.64,1.305283896,16.68,2188
10258000,Ref,TRUE,43.7,2.15,33.794324,-116.634097,67.92,11.67,45.1,291.7,124.2,46.6,7.4,645.7,10.2,0.513,0,0,8.24,2.1,173.7,50.32,3.33,32.04,14.21,13.6,5.15,38.17,43.08,0.06,9.08,1.56,0.65,6,23.14,63.14,18.86,10.26,25.32,64.43,0.13,50.6,2304,0.68,37.1,109.8,-0.339,0.941,36.43,15.75,5.69,9.86,1.262973075,16.13,3034
10258500,Ref,TRUE,241.5,2,33.645404,-116.521225,37.78,15.68,41.9,316.2,94.3,27.9,4.2,813.4,5.1,0.464,0,0,9.87,11.5,75.2,12.34,1.41,71.89,12.68,3.44,8.98,37.12,50.46,0.09,5.3,1.54,1.03,6,17.1,83.53,28.31,11.18,26.56,62.26,0.19,28.2,1221,0.451,22.7,30.4,0.863,0.506,19.88,8.33,4.26,5.3,1.274737201,17.03,2244
10259000,Ref,TRUE,22.5,2.61,33.762561,-116.601537,48.65,14.65,42.5,309.1,102.3,32.1,5.1,770.8,3.7,0.518,0,0,9.02,2.8,77.6,17.66,6.48,49.17,26.65,18.61,8.16,12.77,60.46,0.07,6.68,1.49,0.73,6,23.95,59.69,20.48,10.6,30.81,58.58,0.14,34.73,1400,0.493,46,124.5,-0.566,0.824,25.69,11.67,3.87,7.05,1.218106527,16.73,2301
10259200,Ref,TRUE,79.1,2.88,33.573077,-116.407076,39.61,14.44,40.8,311.3,98,30.6,4.4,747.6,5.4,0.426,0,0,9.35,7.5,49.6,42.52,0.14,51.15,5.06,6.37,13.12,41.92,38.58,0.1,4.59,1.49,1.3,6,18.89,78.68,29.58,12.18,29.06,58.76,0.18,29.33,1312,0.402,24.9,14.9,0.967,0.256,21.45,7.14,5.86,5.13,1.230496305,17.39,2233
10263500,Ref,TRUE,59.5,3.06,34.379248,-117.81124,67.56,11.65,44.3,323.5,93.6,40,6.6,631.2,24.1,0.602,0,0,8.94,1.3,452.3,63.98,0.41,30.75,1.55,17.65,0.73,14.95,66.68,0.07,6.3,1.42,0.82,5.94,23.28,56.3,22.31,12,35.17,52.83,0.14,79.99,1918,0.421,44.5,355.1,0.996,-0.085,37.68,18.07,2.25,9.38,1.388569194,17.47,1624
10264000,Ref,FALSE,127.5,2.48,34.391052,-117.965592,64.33,12.27,47.3,324.1,98.1,42.8,7.1,658.5,18.1,0.629,0,0,9.8,4,372.5,31.66,2.13,48.14,16.7,7.81,6.49,20.86,64.84,0.09,4.63,1.49,1.08,5.83,21.9,71.37,25.85,11.31,31.4,57.29,0.16,86.44,1686,0.455,35.5,333.2,0.893,-0.45,36.44,17.6,1.75,8.55,1.35920875,17.43,1498
