StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERDUN,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,PLANTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,HGA,HGB,HGAD,HGC,HGD,HGCD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,WATERWETNLCD06,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
01013500,Ref,TRUE,2252.7,0.87,47.007784,-68.575618,97.42,3,71.7,253.7,151.7,136.4,13.1,8.8,504.7,36.9,0.102,2.3,2,12.11,244.8,446.2,71.48,4.77,0.48,6.45,2.34,0.96,3.81,0.74,12.65,0.05,44.25,24.97,17.34,0.22,1.47,1.22,5.3,2.87,48.21,77.91,54.53,14.76,62.82,22.43,0.22,68.03,253,0.215,6.9,130,-0.642,0.767,13.39,20.64,22.24,29.39,25.28,3.280717903,31.27,447
01017550,Ref,TRUE,10,2.9,46.643099,-67.969734,100.96,4.4,74,259,146,132.4,13,8,539.1,35.4,0.071,4,2,11.32,521.4,390.9,12.51,58.54,0.06,1.7,1.06,0.81,57.73,0,49,0,34,17,0,0.21,1.43,1.27,4.09,4.38,51.45,82.16,54.83,17.66,59.45,22.88,0.26,66.52,198,0.307,2.4,135.1,-0.709,0.706,18.36,22.6,23.69,28.69,26.02,3.173025052,30.57,75
01021470,Ref,TRUE,16.1,2.1,44.780368,-67.746135,125.29,5.9,69,271,135,122.2,12,8,543.9,38,0.065,6,0.2,14.15,84.3,708.5,34.81,38.73,0.06,2.42,0.04,1.25,37.48,59.9,11.47,0,7.26,21.15,0.21,0.09,13.96,1.19,15.71,3.91,59.86,70.24,15.41,3.66,18.49,77.84,0.17,98.62,65,0.5,1.5,103.7,-0.237,0.972,23.6,32.66,33.01,26.03,33.39,2.912576596,26.83,46
01021480,Ref,TRUE,76.7,1.66,44.986899,-67.792552,115.39,5.71,68,269,136.7,113.5,11,8,554.2,39.5,0.046,6.1,1.3,11.9,345.2,593,73.74,0.58,0,9.8,2.92,0.38,0.2,22.37,9.51,0,39.86,17.2,11.05,0.15,5.88,1.33,7.63,3.16,51.95,74.08,37.68,7.27,45.62,47.11,0.2,88.43,91,0.276,3.3,68.2,0.371,0.929,11.36,29.29,29.38,25.74,30.89,2.937211144,28.85,145
01022260,Ref,TRUE,162,1.02,44.774892,-67.913266,122.46,5.9,68.7,270.7,135.3,120.6,11.8,8,548.6,38.3,0.056,6.1,1.1,12.63,658,669.4,53.63,12.98,0.02,3.2,0.45,0.22,12.76,30.71,6.86,2.91,26.78,27.47,5.26,0.16,7.82,1.15,19.66,2.88,56.11,75.43,35.08,7.4,40.3,52.3,0.19,97.18,82,0.12,3,115.8,-0.435,0.901,28.66,31.3,31.92,26.02,32.78,2.902357499,26.92,343
01022330,Ref,FALSE,264.8,1.36,44.890742,-68.086491,115.58,5.65,68.6,269.5,136.6,117.2,11.2,8,549.9,39.2,0.033,3.4,2,12.44,108.7,610.9,75.48,1.56,0.01,6.7,2.91,0.1,1.46,22.05,9.13,0,50.7,11.25,6.88,0.14,5.22,1.39,5.86,3.13,55.19,76.59,36.52,6.09,45.33,48.58,0.18,90.39,131,0.208,4.6,186.4,-0.994,-0.111,11.81,28.56,29.64,26.39,31.05,2.975970418,28.65,400
01022500,Ref,TRUE,573.6,1.13,44.781098,-68.061016,120.07,5.95,68.8,271.6,134.8,119.2,11.6,8.3,553.1,38.2,0.047,3.7,1.7,12.48,115.5,642.3,68.51,4.3,0.04,7.05,2.34,0.18,4.12,24.62,9.28,0,40.2,21.37,4.53,0.14,5.54,1.33,7.04,3.03,56.73,79.06,41.5,10.11,44.47,45.42,0.19,95.08,86,0.162,3.7,148.5,-0.853,0.522,16.34,30.14,31.12,26.15,32.32,2.88464456,27.62,432
01023000,Ref,FALSE,385.1,1.1,44.994398,-68.29524,111.53,5.54,68.8,269,135.9,118.1,11.1,8,550.8,37.6,0.019,4.1,2.2,12.47,130.5,547.7,75.7,0.97,0.01,3.62,2.91,0.09,0.89,16.46,12.59,0,53.64,13.32,4,0.15,4.03,1.39,6.07,2.83,56.95,78.22,40.47,7.42,49.19,43.39,0.18,86.66,122,0.187,4.2,165.3,-0.967,0.254,16.18,26.61,28.3,26.97,29.83,2.925305177,29.04,391
01027200,Ref,TRUE,582,1.75,46.062804,-70.101778,110.15,2.95,69.2,259.4,152.7,142.4,13.2,9.1,485.9,38.8,0.116,3,2.8,12.03,190.3,547.7,71.26,0,0.76,18.28,1.24,0,0,0.12,13.76,0,29.51,52.95,3.67,0.22,1.58,1.16,9.23,1.51,56.74,83.29,59.51,18.44,60.55,21.02,0.21,77.04,475,0.375,5.5,135.4,-0.712,0.702,7.74,22.18,24.79,35.39,27.76,3.456020262,30.36,395
01029200,Ref,TRUE,444.9,1.18,46.236128,-68.633101,102.19,3.61,70.4,256.1,150.5,133.4,12,9,513,36.4,0.07,3,1.6,12.46,216.7,466.8,67.59,0.02,0.59,11.46,2.03,0.02,0,1.26,15.22,0,39.78,29.76,13.98,0.23,2.17,1.24,7.63,2.45,50.31,80.18,55.04,13.24,61.93,24.83,0.23,71.44,238,0.228,3.9,183.5,-0.998,-0.061,18,22.6,24.16,28.84,26.61,3.146650773,30.35,355
