StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERDUN,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,PLANTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,HGA,HGB,HGC,HGD,HGBD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,WATERWETNLCD06,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
02043500,Ref,TRUE,59.8,2.48,36.634057,-76.649246,123.08,14.82,67.8,303,97.1,104.2,10.8,6.8,840.1,4.8,0.068,4.4,1.9,13.42,533.4,420,34.81,28.57,0,7.75,2.71,9.72,18.85,16.11,1.49,36.17,34.32,11.92,0.12,5.49,1.41,0.71,2.08,60,94.88,50.53,25.43,29.53,45.04,0.25,219.29,19,0.667,0.3,71.7,0.314,0.949,19.18,27.88,29.88,35.9,29.42,1.155883273,21.34,15
204382800,Ref,FALSE,160.8,1.44,36.449321,-76.407559,123.03,15.48,69.4,308.7,95.1,104.1,10.7,6.9,865.5,3.3,0.08,5.1,3,16.04,6150.1,411.4,3.84,37.1,0.01,0.96,0.45,6.59,30.51,1.95,0.99,4.56,76.64,15.48,0.18,2.93,1.26,7.82,0.68,60,98.52,60.06,27.5,34.19,38.31,0.2,232.6,4,0.667,0,96.3,-0.11,0.994,53.55,27.54,29.66,36.93,28.89,1.178756404,21.3,6
02044000,Ref,FALSE,100.5,2.1,37.106395,-78.2601,115,13.43,66,291.1,109.3,95.7,9,6.3,785.2,8,0.024,4.9,3.9,13.62,920.7,340.1,72.79,11.93,0.3,4.55,3.81,11.25,0.68,0,91.91,6.5,1.25,0,0.14,1.82,1.39,0.29,5.87,58.36,95.81,63.38,39.39,28.54,32.08,0.27,195.25,157,0.535,3.4,124.4,-0.566,0.825,4.49,26.65,30.03,29.32,29.02,1.351954339,22.58,86
02046000,Ref,TRUE,288.5,1.69,37.095545,-77.737458,115.71,13.83,66.6,290.1,111.6,96.1,9,6,801.7,7,0.034,4.3,5.1,14.1,3347.8,370.2,68.02,15.71,0.19,5.85,3.1,12.73,2.98,0,86.74,7.58,4.37,0,0.14,2.2,1.36,0.41,5.62,57.57,95.03,61.89,36.08,31.04,32.88,0.31,201.06,89,0.51,2.3,110.7,-0.354,0.935,3.91,26.72,30.01,30.49,28.5,1.277086663,22.45,96
02051000,Ref,TRUE,144.8,2.89,37.050393,-78.375075,114.9,13.54,66,292.3,107.1,94.8,9,6,790.7,8,0.018,5,4.8,13.55,1127.7,324.2,70.66,10.39,0.85,7.16,4.34,10.31,0.08,0,83.3,12.87,0.87,0,0.14,1.38,1.34,0.33,5.63,57.92,94.98,75.78,40.52,40.96,18.52,0.38,194.64,163,0.538,3.4,172.6,-0.992,0.129,3.27,27,30.05,28.75,29.11,1.395922299,22.51,106
02051500,Ref,TRUE,1428.7,1.27,36.865484,-78.214119,115.55,13.78,66,292.8,107.9,94.6,8.9,5.9,798.7,6.8,0.03,3.9,5.2,12.67,441.5,352.9,64.99,16.06,0.56,5.45,6.77,15.25,0.82,0,83.94,9.23,2.11,0,0.14,1.74,1.36,0.35,5.57,57.51,95.29,67.27,38.47,34.32,27.21,0.32,202,126,0.488,3.2,134.6,-0.702,0.712,2.2,26.73,29.89,30.09,28.84,1.347612879,22.3,170
02051600,Ref,FALSE,79.9,1.65,36.87105,-77.977277,116.4,13.66,66,290.5,113.2,96.6,9,6,789.3,6.3,0.038,4.3,3,12.56,391.8,380.4,58.72,19.44,0.51,3.71,7.6,17.95,1.49,0,90.1,4.1,5.8,0,0.14,2.62,1.38,0.44,5.68,57.54,95.24,53.74,34.13,24.39,41.48,0.25,204.45,116,0.538,2.5,152,-0.883,0.47,3.5,26.78,29.94,31.08,28.61,1.29291014,22.2,80
02052500,Ref,TRUE,179.5,1.26,36.604973,-77.797085,117.12,14.23,66.2,294.5,108.9,97.5,9,6,814.7,5.4,0.048,4.3,5.1,12.98,307.4,363.4,70.39,13.02,0.12,2.39,5.42,6.79,6.23,0,80.16,6.18,9.1,3.72,0.14,2.7,1.37,0.45,5.18,57.84,94.9,59.74,35.15,29.71,35.13,0.29,215.18,85,0.451,2.3,105.5,-0.267,0.964,3.77,26.87,29.57,32.2,28.47,1.303974114,22.03,82
02053200,Ref,TRUE,583.7,1.52,36.360089,-77.242428,119.78,14.96,66.5,297.3,102.1,103.6,10.2,6.3,844.5,3.9,0.062,5.8,1.6,14.93,1509,386.5,32.78,33.01,0.03,11.27,0.98,6.41,26.6,21.5,12.02,3.96,36.52,26,0.1,6.94,1.45,0.64,2.09,59.64,94.77,44.99,23.03,25.78,51.19,0.2,225.41,21,0.442,0.4,124.4,-0.565,0.825,15.48,27.8,30.25,34.17,27.56,1.28534465,21.43,43
02053800,Ref,TRUE,280.7,1.22,37.106289,-80.25422,108.52,10.82,67.2,276.3,127.4,104.2,10.6,7.4,655.2,12.4,0.069,3,5.3,11.27,52.2,425.1,80.5,12.21,0.02,0.08,0.46,11.12,1.08,1.67,46.19,47.92,0.08,4.15,0.13,2.49,1.38,0.65,5.95,48.94,80.39,52.18,29.07,39.98,30.95,0.27,138.92,695,0.358,18.2,231.9,-0.618,-0.786,0.16,22.88,30.29,28.64,26.64,1.423317984,21.42,777
