StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERDUN,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,PLANTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,HGA,HGB,HGAD,HGC,HGD,HGBD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,WATERWETNLCD06,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
04014500,Ref,TRUE,344.8,1.48,47.453958,-91.285316,78.01,3.08,67.8,263.1,149.6,105.3,11.8,5.4,509.9,24.9,0.285,1.8,3.3,12.01,192.1,253.4,58.14,0.07,0.02,5.49,0.71,0.04,0.03,1.26,14.98,9.33,52.79,20.81,0.55,0.18,3.09,1.33,7.25,4.63,50.44,78.28,38.6,12.47,41.4,46.12,0.28,85.63,512,0.747,3.9,136,-0.719,0.695,33.5,8.22,17.46,29.13,22.95,3.482104655,31.99,438
04015330,Ref,TRUE,224.4,2.15,47.041238,-91.811736,78.83,4.17,69.4,266.6,137.9,103.8,11.4,5.5,532.3,22.2,0.337,2,5.3,11.85,476,279.5,58.38,3.55,0.14,13.56,0.53,3.25,0.31,3.21,27.93,5.28,17.01,44.52,1.26,0.19,2.03,1.34,4.53,4.22,57.69,91.82,64.9,36.33,34.61,29.05,0.35,95.74,375,0.501,2.4,142.5,-0.793,0.609,21.04,7.39,17.67,32.09,22.47,3.481336365,31.11,367
04024098,Ref,TRUE,20.1,1.43,46.556373,-92.434235,78.39,4.31,68,257.6,152.3,109.8,11,6.7,550.3,20.5,0.35,2,2.1,12.6,274.7,240.9,53.83,13.01,0,6.56,1.53,11.12,1.89,8.62,22.46,7.78,7.27,42.58,0.69,0.17,4.13,1.36,2.66,3.47,59.1,97.87,58.54,34.93,25.09,39.98,0.32,111.18,309,0.57,1.5,137.4,-0.737,0.676,22.6,7,17.16,32.65,21.5,3.39754283,32.47,100
04024430,Ref,TRUE,1091.3,1.42,46.490243,-92.361001,78.74,4.4,67.8,257.8,150.1,106.6,11.1,6.1,556.1,20.3,0.35,1.9,2.4,12.65,320.7,251.8,51.11,9.58,0.02,6.57,0.49,8.66,0.92,15.58,14.23,14.38,24.64,26.99,0.85,0.19,4.23,1.27,9.08,3.74,59.44,95.28,49.51,25.31,27.7,46.99,0.31,112.12,335,0.671,1.9,21,0.934,0.358,29.25,7.04,17.3,32.94,21.49,3.405171363,32.39,225
04027000,Ref,TRUE,1619.8,1.26,46.339218,-90.659767,86,4.45,67.9,262.3,150.5,128.2,12.5,8.8,549.4,24,0.265,2.4,2.8,12.43,236.1,330.9,70.49,5.58,0,3.04,0.21,3.45,2.13,2.22,41.36,13.15,18.84,18.96,5.46,0.15,1.99,1.39,8.5,2.94,52.58,90.7,47.77,15.83,39.26,44.91,0.26,104.86,434,0.619,3.5,321.5,0.782,-0.623,17.31,10.57,19.02,31.74,24.66,3.274315537,31.21,367
04031000,Ref,TRUE,516.2,1.78,46.428604,-89.968582,87.62,4.09,69,262,149.5,133.3,13.2,9,538,27.2,0.222,3.4,2.8,12.52,263.9,380,58.09,3.09,0.05,0.33,1.35,0.01,3.08,0,53.67,22,3.58,10.17,10.58,0.18,2.11,1.29,13.89,2.13,58.85,88.5,43.99,11.61,41.23,47.16,0.26,95.8,474,0.619,2.7,331.8,0.881,-0.472,33.36,12.95,19.01,30.56,25.11,3.327760691,30.88,194
04031500,Ref,FALSE,445.6,1.29,46.273995,-89.714953,83.55,4.09,69.9,263.1,146.7,122.7,12,8.1,540.1,23.6,0.273,3.6,2.7,12.97,266.2,311.2,50.02,0.07,0.05,0.36,0.32,0.02,0.06,3.02,54.58,20.59,2.84,9.74,9.24,0.17,2.83,1.31,12.39,2.47,58.89,87.71,41.65,10.99,39.18,49.84,0.25,90.1,502,0.505,2.3,22.8,0.922,0.387,45.63,10.35,18.99,31.07,23.36,3.331014352,30.91,95
04032000,Ref,FALSE,683.5,1.08,46.330603,-89.725536,85.09,4.04,69.5,262.5,148.2,127.6,12.7,8.6,537.4,25.1,0.25,3.3,2.8,12.88,265.9,332,58.64,0.07,0.04,0.28,0.38,0.01,0.06,1.97,55.07,20.38,2.89,10.18,9.5,0.17,2.56,1.32,12.22,2.41,58.84,87.95,42.53,11.24,39.81,48.95,0.25,91.11,495,0.641,2.7,5.7,0.995,0.099,37.45,11.43,19.17,30.79,23.91,3.310503173,30.83,156
04033000,Ref,TRUE,411,1.2,46.262004,-89.145929,81.18,4.07,69.8,250.9,158.8,128.4,12.6,8.7,528,25.8,0.26,2.5,2.6,12.81,282.3,310.2,64.24,0.27,0.08,0.06,0.92,0.05,0.22,9.98,55.73,17.72,6.05,3.79,6.73,0.16,3.64,1.32,12.02,2.51,59.44,88.42,37.04,9.07,35.92,55.01,0.25,85.87,513,0.549,2.8,0.3,1,0.006,30.91,10.15,18.66,29.33,23.23,3.262667104,30.5,113
04035000,Ref,FALSE,712.7,1.11,46.53595,-88.900056,76.7,4.78,67.8,248.6,164.2,117.7,11.6,7.4,546,25.7,0.248,2.3,2.2,12.31,188.8,231.3,75.1,1.8,0.1,1.64,3.25,1.15,0.65,29.72,35.32,9.36,7.44,16.6,1.31,0.15,5.08,1.34,8.38,3.57,59.9,94.72,41.07,17.5,27.49,55.01,0.25,79.51,399,0.475,2.8,287.3,0.297,-0.955,15.98,10.85,16.35,27.38,22.2,3.153191363,29.84,280
