StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERDUN,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,PLANTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,HGB,HGC,HGD,HGBD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,WATERWETNLCD06,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
03010655,Ref,TRUE,254.4,2.29,41.916881,-78.05025,105.5,6.93,67,259.5,150.2,147.1,15.4,10.9,558.3,27.9,0.132,1.9,4.2,11.11,48.5,464.7,73.07,19.3,0.07,4.03,0.68,18.25,1.05,19.9,77.85,1.54,0.26,0.11,2.06,1.46,0.75,3.94,52.54,70.72,44.83,16.25,54.96,28.79,0.26,88.24,628,0.563,15.9,255.8,-0.245,-0.969,1.28,19.4,24.74,33.14,28.16,2.650354675,24.68,320
03011800,Ref,TRUE,100.1,2.03,41.772827,-78.621265,120.46,6.66,67.3,256.2,154.5,159.1,17.9,10.7,547.8,28.9,0.08,3.7,2,12.05,34.1,599.6,81.53,2.51,0.05,10.52,1.19,2.02,0.49,45.73,53.53,0,0.73,0.11,4.11,1.39,0.51,3.8,52.47,79.04,48.43,20.07,49.78,30.16,0.24,106.09,636,0.716,7.6,215.5,-0.814,-0.58,0.48,25.79,29.05,36.07,29.53,2.76524532,24.84,229
03015500,Ref,TRUE,784.9,1.81,41.921301,-79.51004,115.41,7.93,69,276.6,142.4,161.5,18.4,10,595.1,24.7,0.112,2.7,4.6,12.22,150.8,556,59.56,24.5,0.07,4.52,0.88,16.85,7.65,5.59,69.17,8.44,2.09,0.12,2.33,1.47,1.16,2.31,57.22,74.83,51.39,18.09,56.11,25.8,0.31,118.07,487,0.527,7.4,209.2,-0.873,-0.487,6.4,22.54,26.73,35.04,31.18,2.244903061,24.95,241
03017500,Ref,FALSE,601.1,1.81,41.694447,-79.014047,115.15,7.23,68.3,268.3,145.4,154,17.9,10.3,570.7,27.9,0.09,2.8,1.8,11.64,31.1,579.2,85.71,2.26,0.06,7.36,0.79,1.65,0.62,43.77,49.71,0.01,1.23,0.11,4.83,1.38,0.53,3.96,51.38,77.55,46.7,19.07,49.32,31.61,0.24,110.71,549,0.623,11.2,209.9,-0.867,-0.498,1.43,23.56,27.75,34.48,29.43,2.705296263,24.81,276
03021350,Ref,TRUE,239.7,1.25,42.087844,-79.653771,119.27,8.17,69.4,281.7,138.2,161.9,18.7,10,608.1,25.8,0.108,2.4,3.4,11.81,297.8,581.9,44.79,39.52,0.01,3.96,1.73,21.18,18.34,6.52,71.12,11.2,0.31,0.13,2.05,1.37,1.77,1.89,56.96,69.61,49.37,17.28,58.62,24.11,0.3,121,485,0.509,4.9,269.3,-0.012,-1,4.84,24.2,26.51,34.99,33.63,2.186155705,25.09,171
03021500,Ref,FALSE,537.1,1.42,42.073513,-79.737927,118.69,8.25,69.6,283.1,136.9,160.5,18.3,10,611.3,25.3,0.104,2.5,2.7,12.12,230.4,564,46.99,36.1,0.05,3.68,1.22,20.04,16.06,5.48,66.68,8.89,2.66,0.13,2.49,1.36,2.81,1.92,58.11,68.67,47.17,17.09,56.92,25.99,0.3,119.61,457,0.42,4.4,271.9,0.034,-0.999,6.84,24.21,26.64,34.37,33.56,2.135951504,25.05,193
03022540,Ref,TRUE,78.7,1.94,41.680718,-79.977492,114.25,7.98,69.2,280.3,137.4,155.1,17,10.3,594,24,0.103,3.2,4,11.66,199.8,562.3,63.71,29.96,0,0,1.33,13.76,16.2,6.27,53.86,28.1,2.42,0.13,1.66,1.51,0.56,1.67,60,80.75,56.61,19.99,55.82,24.19,0.36,117.25,446,0.561,3.7,252.9,-0.294,-0.956,0.49,22.62,27.38,34.12,30.12,2.288163474,25.1,139
03025000,Ref,FALSE,422.6,1.73,41.562479,-79.861686,113.52,7.86,68.6,276.7,139.4,152.9,16.3,10.7,593.1,23.7,0.117,2.3,5.4,12.19,247.5,531.5,68.16,22.9,0.02,0.38,1.53,12.05,10.85,11.12,69.8,10.68,2.11,0.12,1.43,1.55,0.42,2.6,57.72,81.34,56.13,20.92,55,24.08,0.33,116.98,443,0.616,5.7,202.6,-0.923,-0.385,1.19,21.58,27.96,34.67,29.31,2.300257408,25,216
03026500,Ref,TRUE,20.3,1.95,41.661864,-78.607338,121.2,6.79,66.3,253.6,156.7,161.2,18,11,548.8,29,0.085,4,1,10.98,26.8,620.5,80.8,0.64,4.81,10.83,1.87,0.64,0,45.72,53.55,0,0.72,0.11,4.09,1.39,0.51,3.8,52.49,79,48.4,20.1,49.79,30.11,0.24,109.27,634,0.711,7,162.4,-0.953,0.302,0,25.56,29.42,36.36,29.87,2.795543514,24.86,166
03028000,Ref,TRUE,161.1,2.56,41.643462,-78.698282,118.89,6.62,67.2,257.7,153.6,161.2,18,11,545.3,29.1,0.083,3.5,1.4,11.44,27.3,613.1,77.56,8.56,0.25,7.69,1.3,8.2,0.36,45.6,53.8,0,0.6,0.11,3.85,1.4,0.51,3.76,52.68,78.47,48.12,20.58,49.93,29.49,0.24,109.87,605,0.6,10.8,191.4,-0.98,-0.197,1.08,24.9,29.29,35.32,29.41,2.812727267,24.75,245
