StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERDUN,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,PLANTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,HGB,HGC,HGD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
03439000,Ref,TRUE,178.7,2.03,35.201868,-82.891382,193.83,11.52,73.4,281.3,120.9,146.2,15.1,9.1,661.1,7.5,0.036,4.3,2.7,10.72,22.9,1387.6,90.13,4.22,0.02,0.45,0.23,4.16,0.05,92.11,3.91,3.22,0.13,2.79,1.4,0.71,5.8,51.48,90.1,49.32,18.87,39.23,41.9,0.24,420.67,913,0.213,20.9,131,-0.657,0.754,49.72,50.81,47.57,46.07,1.100186005,19.04,1157
03441000,Ref,TRUE,104.3,2.5,35.301048,-82.793664,185.68,11.81,73.4,281.4,121.6,154.5,15.9,10.1,669.5,6.6,0.047,3.4,2.3,10.76,16,1244.8,95.63,0.17,0.1,0.48,0.2,0.17,0,93.97,4.56,0.98,0.13,2.8,1.39,0.61,5.76,56.28,91.41,49.34,18.51,38.31,43.18,0.23,418.91,933,0.258,28.1,120.8,-0.512,0.859,48.15,48.51,43.8,45.02,1.079169532,19.23,1181
03447894,Ref,FALSE,22.6,2.65,35.479733,-82.638622,129.38,12.41,74,280,122,122.4,12.3,8.3,703.9,7.6,0.039,4.2,3,10.25,14.6,682.5,96.45,0.14,0,0.08,0.17,0.14,0,88.48,5.75,5.01,0.13,2.82,1.41,0.76,5.56,50.43,91.12,53.35,21.75,38.88,39.37,0.22,232.5,778,0.257,23.6,55.8,0.562,0.827,31.02,35.55,31.83,30.9,1.212741834,19.58,556
344894205,Ref,TRUE,38.6,3.53,35.710326,-82.32009,153.95,9.59,73,272.9,138.5,125.3,13.2,8.5,584.3,10.3,0.049,2.7,6.6,8.94,7.6,798.3,96.88,0,0,0.87,0,0,0,98.72,0,0.92,0.12,3.27,1.39,1.43,5.97,55.76,85.45,42.35,15.29,37.39,47.32,0.2,239.44,1275,0.413,39.3,195,-0.966,-0.258,38.41,42.58,37.46,36.15,1.379251527,19.28,1134
03450000,Ref,TRUE,14.1,3.17,35.676208,-82.397209,135.31,10.89,72.7,277,132.1,123,13.4,8,629.7,7.9,0.059,2,3.9,9.19,7.9,668.9,96.42,0,0.01,0.22,0,0,0,99.02,0,0.98,0.13,2.89,1.39,0.76,6,54.41,90.22,47.04,17,37.94,45.06,0.23,217.1,1235,0.454,34.6,215,-0.819,-0.574,32.03,38.18,34.17,30.72,1.354212513,19.43,895
03454000,Ref,FALSE,151.3,2.39,35.990698,-82.698904,123.04,12.56,70.2,284.2,123.3,127.8,13.2,8,714.6,11.9,0.079,2.7,3,10.7,15.7,528.4,92.56,4.26,0.06,0.37,0.37,4.05,0.21,27.78,60.27,11.95,0.11,3.98,1.45,1.41,6,33.05,78.97,44.77,15.85,44.95,39.2,0.16,171.59,823,0.342,28.1,173.5,-0.994,0.113,29.67,34.41,32.96,26,1.49094074,19.89,987
03455500,Ref,TRUE,73,3.1,35.34598,-82.931405,188.59,9.82,72.4,272,137.2,154.8,16.3,9.8,584.2,13.8,0.066,3,1.3,9.79,7.6,1627.9,94.66,0,0,2.54,0.21,0,0,99.57,0,0.43,0.12,3.51,1.39,1.8,6,56.42,82.64,39.32,13.5,37.14,49.36,0.19,425.2,1490,0.576,33.9,357.3,0.999,-0.047,51.7,48.28,42.5,46.11,1.195765658,18.51,1021
03456500,Ref,TRUE,133.4,2.53,35.403239,-82.82636,169.69,10.93,73,276.1,130.1,156.3,15.9,10.4,626.5,10.9,0.042,2.7,1.7,9.88,9.9,1260.7,89.25,3.79,0.02,2.09,0.45,3.69,0.1,98.65,0,1.01,0.13,3.13,1.39,1.2,5.97,55.32,87.08,43.99,16.01,37.57,46.43,0.21,393.05,1224,0.382,31.7,9.8,0.985,0.171,43.21,44.36,39.28,42.87,1.08014765,19.31,1063
03460000,Ref,TRUE,127,2.71,35.618564,-83.126533,156.87,9.51,72,269.4,141.6,146,15.4,8.5,577.5,15.2,0.075,2.9,1.1,10.1,7.6,895.2,98.95,0.22,0,0.31,0.01,0.22,0,98.18,0.71,0.19,0.12,3.67,1.43,1.3,5.93,50.66,82.09,42.91,13.92,42.89,43.18,0.17,284.08,1191,0.398,30.8,61.4,0.479,0.878,42.17,43.28,38.7,32.6,1.424607247,19,1102
03461200,Ref,FALSE,26.6,2.81,35.748823,-83.207715,148.09,11.2,70.9,280.9,126.3,139,13.7,8.3,656.4,12.9,0.082,1.7,3,8.82,5.7,927.3,99.78,0,0,0,0,0,0,59.15,2.58,38.27,0.12,7.24,1.39,1.04,5.93,37.35,85.5,46.24,16.33,43.26,40.41,0.2,221.7,1031,0.407,33.3,347.2,0.975,-0.222,35.75,40,42.09,30.18,1.456685117,19.37,1278
