StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERDUN,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,PLANTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,HGA,HGB,HGC,HGD,HGBD,HGCD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,WATERWETNLCD06,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
05212700,Ref,TRUE,962.8,1,47.514387,-93.268286,72.32,3.31,68.5,255.1,150.2,106.2,12,6,540.4,20.1,0.387,1.2,2.9,13.41,297.2,164.4,46.06,1.95,1.96,7.6,0.43,1.73,0.22,15.24,14.4,43.39,2.07,0.49,0.04,0.19,4.01,1.33,14.99,3.67,59.87,95.71,44.41,15.8,32.89,51.3,0.25,96.62,421,0.206,1.3,282.2,0.212,-0.977,39.2,6.24,14.88,32.32,18.86,3.345027461,33.74,131
05290000,Ref,TRUE,1147.8,1.26,45.69195,-97.099421,56.46,6.37,68.7,267.4,131.5,71,8.8,3.7,647.2,16.2,0.366,0.4,11.5,12.97,1086.1,50.5,4.26,59.57,0.14,0.02,21.49,19.77,39.8,0.62,59,24.58,8.69,0.68,6.43,0.16,1.14,1.42,1.5,4.67,60,96.83,71.12,29.43,45.92,24.65,0.27,84.52,381,0.216,1.8,64.9,0.424,0.905,10.21,4.49,15.61,24.01,12.36,3.147349269,34.17,338
05291000,Ref,TRUE,1046.8,1.76,45.310292,-96.829049,57.69,6.18,68.9,268,131.8,72,9,3.7,635.4,16,0.378,0.1,13,12.83,1082,56.1,1.12,64.23,0.07,0,22.89,14.68,49.56,0.51,56.77,25.89,8.03,1.32,7.48,0.16,1.2,1.44,1.51,4.73,60,96.61,70.02,28.77,45.87,25.36,0.28,90.04,379,0.228,1.4,69,0.359,0.933,6.79,4.18,15.9,25.08,12.53,3.138595132,33.83,329
05293000,Ref,TRUE,1185.1,1.13,45.084535,-96.628277,59.38,6.44,68.9,269.7,130,75.7,9.3,3.8,642.1,15.9,0.379,0.2,12.4,13.17,1127.5,61.9,1.02,65.33,0.12,0.03,22.25,12.99,52.34,0.74,64.37,17.49,7.27,3.37,6.76,0.16,1.4,1.43,1.52,4.61,60,96.2,69.29,27.39,46.79,25.82,0.28,93.93,372,0.234,1.2,60.7,0.489,0.872,6.75,4.26,16.23,25.76,13.14,3.113469426,33.62,338
05311400,Ref,FALSE,297.1,0.97,44.43384,-96.162077,65.66,6.91,70.5,274.5,126.4,80.5,9.7,3.9,645.3,14.9,0.358,1.4,6.6,13.06,704.1,84.9,1.11,77.2,0.17,0,12.52,9.47,67.73,0.02,68.92,5.17,2.99,21.17,1.74,0.17,1.1,1.49,1.3,4.55,60,96.11,69.98,25.69,48.95,25.36,0.28,101.28,501,0.733,1.5,52.4,0.61,0.792,4.35,4.76,18.72,26.99,15.19,3.083745428,32.84,202
05317200,Ref,TRUE,454.9,0.46,44.156503,-94.78389,72.14,7.18,70,271.6,124.5,88.5,10.2,5,659.5,15.9,0.357,1.1,7.1,13.36,400.7,111.1,1.23,85.63,0.13,0,0.92,1.74,83.89,8.47,42.69,0.01,1.6,46.38,0.65,0.15,3.9,1.46,1.82,3.49,58.9,95.29,54.23,20.53,38.04,41.43,0.24,119.15,320,0.332,0.6,41.9,0.744,0.668,7.27,5.21,20.43,30.16,16.36,2.995590335,33.01,232
05357335,Ref,TRUE,258.1,1.1,45.978495,-89.917082,82.61,4.12,69.5,264,146.7,111.8,11.1,7,540,22,0.3,3.8,0.2,14.42,199.2,283.8,41.65,0.22,0,2.11,0.14,0,0.22,58.22,11.4,0.25,2.25,0.15,0,0.14,9.84,1.28,15.4,3.84,59.98,87.75,14.62,3.96,14.29,81.75,0.15,100.34,487,0.211,1.1,218.4,-0.784,-0.621,51.19,8.98,19.03,31.61,23.01,3.404801753,31.11,57
05362000,Ref,TRUE,1477.3,1.08,45.460511,-90.427545,82.64,4.38,69,254.5,153.5,108.3,11,5.9,544.2,20.3,0.312,3,4.3,12.95,215.7,264.9,60.33,10.27,0,1.28,1.33,1.46,8.82,3.26,19.74,38.13,0.9,22.73,0,0.18,2.8,1.45,10.28,2.06,59.97,83.76,49.31,11.07,50.85,38.07,0.3,114.45,452,0.465,1.3,243.1,-0.452,-0.892,23.48,8.32,19.43,32.06,22.87,3.411863242,31.48,254
05376000,Ref,TRUE,261,2.52,44.099761,-92.233147,86.6,6.84,70.9,270.4,130.9,91.3,9.8,5,632.1,17,0.327,2,3.5,12.29,166.7,229.4,10.5,69.99,0.03,0.01,14.45,12.95,57.04,0.08,87.93,1.29,5.28,4.46,0.95,0.19,1.81,1.32,0.97,5.34,53.65,95.06,85.25,23.46,66.96,9.59,0.31,138.55,347,0.667,3.5,38.4,0.784,0.621,0.23,7.89,23.17,34.99,20.5,3.071925972,32.32,165
05383950,Ref,TRUE,1465.7,1.91,43.8004,-92.40699,85.6,6.63,72.2,273.3,127.9,94.8,10.2,5.4,624.4,17.3,0.339,2,7,12.45,222.1,229.7,10.58,71.04,0.04,0,11.12,15.06,55.98,0.36,77.05,1.05,0.85,20.54,0.02,0.18,2.51,1.46,1.61,4.36,58.73,93.58,67.42,21.45,52.55,26,0.29,142.05,391,0.736,2.8,51.1,0.628,0.778,0.56,7.45,23.15,34.99,20.01,3.099233508,32.2,182
