StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,PRECIP_SEAS_IND,PERDUN,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,PLANTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,HGA,HGB,HGC,HGD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,WATERWETNLCD06,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
07030392,Ref,TRUE,542.9,2.92,34.931898,-89.168089,144.91,15.25,67,298.1,98.3,99.5,10,6,867.8,0.096,5.2,5.7,12.64,206.5,610.7,42.26,27.15,0,17.53,1.16,11.05,16.1,2.2,54.46,29.89,10.64,0.16,2.12,1.46,0.26,4.36,99.76,68.17,21.37,49.12,29.51,0.4,349.34,164,0.413,3.1,332.2,0.884,-0.467,8.32,38.01,43.12,31.12,32.66,1.404929369,22.67,121
07030500,Ref,TRUE,1302.9,1.62,35.056888,-89.158617,141.57,15.29,66.7,299.3,98.1,94.8,9.6,5.7,869.7,0.093,4.9,7,12.56,277.6,589.4,34.28,33.74,0,16.34,0.99,15.4,18.34,0.92,43.18,36.4,11.12,0.16,1.79,1.46,0.27,3.72,99.89,75.08,20.24,56.55,23.21,0.42,344.09,149,0.394,2.5,317.5,0.738,-0.675,10.42,36.62,42.24,30.59,32.12,1.415342676,22.8,142
07035500,Ref,FALSE,10.4,2.81,37.592088,-90.379337,115.67,12.61,67,280,116,92,10,6,776.4,0.047,3,8,10.79,157.7,393.7,64.63,29.39,0.04,0,3.91,28.88,0.51,1,3,94,2,0.12,1.1,1.34,0.52,4.31,67.99,50.73,22.74,56.48,20.78,0.23,223.22,261,0.427,6.9,189.1,-0.987,-0.158,0.11,23.43,34.04,29.71,28.5,1.645275872,25.41,143
07037700,Ref,FALSE,11.5,2.7,37.16104,-90.636959,120.1,13.4,67,290,108.2,93.1,9,6,809,0.035,3.4,5,11.21,100.1,425.8,77.38,18.52,0,0,0.98,18.52,0,7.5,62.06,30.19,0.25,0.09,2.34,1.39,0.32,4.79,61.95,37.74,35.04,37.74,27.22,0.3,234.17,211,0.52,6.2,339.2,0.935,-0.354,0.16,25.98,34.84,29.57,29.67,1.501520831,25.2,100
07290650,Ref,TRUE,1688.7,1.33,31.937081,-90.549173,151.92,18.04,73.3,313.9,80,95.8,10,5.2,969.9,0.125,5.4,10.3,12.29,259.6,552.3,59.03,15.64,0.08,13.25,2.04,13.74,1.9,0.61,30.79,53.02,15.56,0.16,1.52,1.48,0.29,3.75,97.57,77.05,22.55,57.56,19.89,0.41,506.2,93,0.504,2.7,286.1,0.277,-0.961,5.56,43.27,44.85,32.73,31.06,1.432985053,18.8,127
07291000,Ref,TRUE,479.3,1.93,31.650587,-90.713001,155.02,18.15,72.7,313.7,79.2,97.3,10.4,5,970.4,0.11,5.2,10.3,12.37,179.9,558.9,72.63,8.63,0.41,10.13,2.35,7.65,0.98,1.69,49.79,35.09,12,0.15,1.96,1.48,0.26,4.29,94.65,66.37,21.14,51.23,27.63,0.37,530.85,128,0.656,2.8,160.1,-0.94,0.34,2.96,44.18,44.67,34.23,31.93,1.418583327,17.99,90
07292500,Ref,TRUE,2073.1,1.33,31.632672,-90.503619,157.98,18.26,72.3,313.6,78.6,99.2,11,5,974.7,0.102,5.6,10.1,12.27,176.3,584.6,71.33,5.86,0.64,10.98,3.14,5.01,0.84,2.01,49.82,32.73,13.81,0.15,2.01,1.48,0.26,4.32,95.77,67,21.28,51,27.72,0.38,541.23,112,0.624,3.1,197.9,-0.952,-0.308,4.7,44.91,44.76,35.36,32.95,1.392765746,18.03,125
07295000,Ref,TRUE,466.6,2.12,31.170958,-91.184739,166.39,18.75,72.8,317.5,70,101.5,11.4,5,997.8,0.084,5.8,13.5,12.22,212,657.9,65.38,3.47,0.55,17.01,4.49,3.08,0.39,0,35.54,36.57,27.89,0.16,1.64,1.48,0.33,4.08,97.38,72.95,23.05,54.2,22.74,0.4,566.47,86,0.528,2.9,257.8,-0.212,-0.977,5.88,46.62,45.54,38.84,35.42,1.363553,17.6,106
07359610,Ref,TRUE,342.2,1.65,34.443935,-93.700377,150.19,14.87,65.4,291.3,100.9,95.9,10,6.5,844.9,0.037,4.6,6.3,12.03,158.6,642.6,83.95,10.85,0.07,0.85,1.03,10.83,0.02,0,49.16,34.33,16.51,0.11,2.45,1.49,0.46,5.84,65.08,50.95,28.2,53.68,18.12,0.26,379,274,0.191,11.3,105.6,-0.269,0.963,0.19,33.8,43.9,32.01,40.58,1.427187172,22.25,486
07359800,Ref,FALSE,781.2,1.54,34.390799,-93.62038,149.78,15.15,65.8,294.3,99.3,94.4,9.6,6.6,858.1,0.036,5.1,6.2,12.17,437.5,631.3,77.26,14.34,0.08,1.58,2.39,14.3,0.04,0,43.76,37.1,19.14,0.11,2.24,1.48,0.48,5.83,67.87,52.74,28.83,52.32,18.85,0.26,381.05,243,0.222,9.3,144.6,-0.815,0.579,0.33,33.73,43.55,31.82,40.73,1.431106298,22.26,545
