StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERDUN,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,PLANTNLCD06,BARRENNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,HGA,HGB,HGAD,HGC,HGD,HGBD,HGCD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,WATERWETNLCD06,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
05056000,Ref,TRUE,4862,0.75,47.812608,-99.765767,44.85,4.33,66.1,261.2,136.4,70.4,9.7,3.4,594.8,17.3,0.426,0.2,20.9,13.5,868.6,20.3,0.23,65.07,0.05,19.24,21.31,43.76,5.09,72.43,0.67,7.64,5.23,2.26,6.68,0.16,2.81,1.45,1.32,4.84,59.55,94.63,61.67,18.48,48.04,33.48,0.27,55.15,489,0.281,1.4,65,0.423,0.906,11.4,3.48,10.59,21.1,9.68,3.528101191,34.94,270
05056100,Ref,FALSE,1164.1,0.73,48.70949,-99.254072,45.8,3.01,66.5,258.3,142.1,76.1,9.7,4,560.5,18.6,0.435,1,10.8,14.17,1751.5,24.1,2.12,66.98,0.01,16.78,3.85,63.14,3.1,58.29,0,28.4,1.11,0.06,9.04,0.16,2.62,1.42,1.05,4.28,60,93.97,64.56,23.59,47.27,29.14,0.28,55.76,474,0.147,0.5,138,-0.743,0.669,9.75,3.67,10.53,21.87,9.47,3.543054709,35.65,231
05056200,Ref,FALSE,1151.7,0.81,48.703929,-98.817045,46.92,2.91,67,255.1,143,82.2,9.9,4.6,557.3,18.3,0.442,1,11.4,14.63,3184.5,26.1,0.1,78.03,0,3.69,13.89,64.14,2.46,48.97,0,36.26,1.65,0,10.65,0.17,1.01,1.42,1.13,3.93,60,96.21,70.44,26.69,49.07,24.24,0.29,59.11,476,0.41,0.3,209.2,-0.873,-0.488,14.27,3.63,10.41,22.94,9.84,3.536792234,35.87,61
05057000,Ref,TRUE,7582.5,0.34,47.832398,-99.286199,46.33,4.21,66.5,261.1,136.6,70.7,9.7,3.5,592.2,17.4,0.425,0.5,16.9,13.55,798.5,23.4,0.41,66.54,0.03,15.96,21.5,45.05,6.53,64.76,1.43,12.49,5.42,2.34,7.04,0.15,2.94,1.45,1.3,4.62,59.04,94.96,61.1,19.1,46.78,34.13,0.27,57.59,472,0.297,1.3,98.6,-0.149,0.989,13.06,3.65,10.78,21.87,10.04,3.506833626,35.19,273
05057200,Ref,TRUE,1897.3,1.56,47.385509,-98.463978,49.28,4.31,66.8,261.7,137.2,76.3,10.1,3.9,591.4,17.2,0.419,0.2,18.8,13.9,1303.5,28.3,0.35,77.83,0,5.2,16.69,61.14,4.44,54.55,0.05,26.61,0.56,1.56,12.24,0.15,2.99,1.44,1.24,3.91,60,94.09,60.81,21.64,44.64,33.72,0.27,64.53,454,0.427,0.5,108.4,-0.316,0.949,12.29,3.86,11.51,23.1,10.81,3.529171094,35.18,117
05059600,Ref,FALSE,53.3,1.49,47.400399,-97.838634,52.11,4.17,68,263.3,136.7,75.2,9.7,4,588.3,16.6,0.404,1.5,12.8,12.59,680.2,28.5,0.41,83.72,0,3.84,5.17,78.55,3,30.18,0,48.41,0.17,0,18.25,0.17,1.07,1.42,1.31,3.12,60,96.22,70.1,26.72,48.4,24.87,0.29,66.48,429,0.38,0.8,100.9,-0.189,0.982,7.53,4.3,12.32,23.94,11.56,3.433720056,35.5,79
05060000,Ref,FALSE,3781.1,1.25,46.883742,-97.588988,52.53,4.79,67.6,264.3,136.3,70.7,8.9,3.6,606.3,15.2,0.401,1.6,10.7,13.5,2757.4,31.1,0.93,86.55,0.02,2.02,4.71,81.83,3.5,43.39,0.86,28.05,8.01,2.79,13.41,0.17,1.66,1.42,1.26,3.45,59.96,97.26,70.59,26.4,47.78,25.82,0.28,71.41,355,0.4,0.4,92.8,-0.049,0.999,5.91,3.95,13.15,23.2,12.25,3.428944912,35.29,205
05062500,Ref,TRUE,2407,1.81,47.295146,-95.753102,61.85,3.89,68.6,260.7,140.6,89.3,10.8,5,573.8,18.2,0.401,2.3,3.7,13.09,442.9,89.4,36.92,40.4,0.11,2.03,8.82,31.58,7.07,49.96,5.98,19.29,3.47,9.97,4.27,0.17,2.66,1.46,4.25,3.87,60,95.66,56.98,21.16,40.63,38.2,0.24,81.16,434,0.415,1.3,281.6,0.2,-0.98,16.37,5.03,13.28,28.25,15.3,3.243929741,35.16,301
05064900,Ref,TRUE,389.7,0.63,47.817603,-97.987641,50.73,3.76,67.8,262.2,137.6,75.4,10.2,3.8,579.6,17.9,0.417,1.1,11.7,13.71,784,31.5,0.58,68.87,0,4.16,16.57,52.3,2.98,48.63,0,34.24,1.8,0,12.35,0.17,1.05,1.43,1.14,3.86,59.91,95.85,70.17,26.54,49.14,24.32,0.29,63.62,459,0.843,0.5,93.9,-0.068,0.998,22.66,4.15,11.49,24.03,11.07,3.379042537,35.77,121
05065500,Ref,FALSE,1345,1.22,47.779937,-97.81957,51.37,3.91,68.2,263.4,137,75.4,10,3.9,584.4,17.8,0.414,1.1,11,13.48,832.7,30.9,1.38,76.28,0,4.04,13.41,62.87,2.37,56.36,0.15,27.48,2.84,1.35,9.45,0.17,1.51,1.42,1.17,4.08,59.97,96.22,69.45,25.09,49.13,25.78,0.29,64.39,429,0.718,0.6,93.6,-0.062,0.998,14.42,4.2,11.61,24.23,11.33,3.374364659,35.79,181
