usgs_id	  10-85_slope_ftpmi	  upstream_len_mi	  elev_ft	  storage_pct	  lake_area_pct	  forest_pct	  glacier_pct	  infil_index	  mean_precip_in	  2yr_precip_in	  mean_min_jan_temp_f 
01010000	  5.81	  70.00	  1470.00	  9.62	  0.62	  96.00	  -99.00	  4.10	  40.23	  2.20	  0.00
01010500	  5.83	  123.50	  1320.00	  4.96	  0.46	  96.70	  -99.00	  4.10	  39.99	  2.00	  0.00
01011000	  3.39	  91.20	  1210.00	  12.60	  4.20	  95.70	  -99.00	  3.90	  39.15	  1.90	  0.00
01011500	  6.97	  62.20	  1210.00	  2.38	  1.38	  93.70	  -99.00	  4.10	  38.92	  1.80	  0.00
01013500	  2.81	  72.60	  910.00	  22.88	  5.88	  88.10	  -99.00	  3.80	  39.42	  2.00	  0.00
01014000	  5.71	  152.90	  1200.00	  9.07	  2.17	  94.90	  -99.00	  3.70	  39.54	  1.90	  0.00
01018000	  26.32	  15.20	  580.00	  24.67	  1.37	  80.30	  -99.00	  3.10	  37.14	  2.50	  2.00
01021200	  5.40	  28.40	  220.00	  40.75	  12.55	  75.50	  -99.00	  3.50	  42.15	  2.50	  10.00
01021500	  5.76	  57.70	  320.00	  27.29	  3.79	  89.10	  -99.00	  4.20	  42.00	  3.10	  11.00
01022500	  10.94	  38.40	  320.00	  20.09	  1.59	  81.30	  -99.00	  4.40	  41.98	  3.20	  11.00
01023000	  7.77	  31.80	  440.00	  21.44	  3.14	  93.30	  -99.00	  3.90	  41.33	  2.80	  9.00
01030500	  4.07	  88.40	  570.00	  33.79	  2.19	  91.90	  -99.00	  4.00	  39.25	  2.70	  6.00
01031500	  26.45	  36.60	  1050.00	  14.37	  2.37	  92.00	  -99.00	  3.70	  42.24	  3.10	  7.00
01033500	  33.85	  38.80	  1150.00	  14.19	  1.79	  96.80	  -99.00	  4.60	  43.35	  3.10	  7.00
01035000	  10.54	  22.20	  420.00	  25.02	  6.42	  91.00	  -99.00	  3.50	  40.05	  3.00	  7.00
01038000	  14.95	  25.90	  340.00	  20.58	  2.38	  86.80	  -99.00	  3.40	  42.24	  3.10	  11.00
01047000	  48.55	  40.40	  1280.00	  16.03	  0.77	  88.70	  -99.00	  3.90	  44.22	  2.40	  5.00
01048000	  14.70	  58.50	  1040.00	  6.01	  1.21	  80.10	  -99.00	  4.40	  43.38	  2.50	  8.00
01052500	  41.04	  24.70	  2180.00	  3.41	  0.21	  99.70	  -99.00	  5.20	  48.75	  2.40	  2.00
01054200	  104.62	  15.90	  2360.00	  0.00	  0.00	  99.40	  -99.00	  5.60	  46.08	  3.30	  6.00
01055000	  86.91	  18.00	  1830.00	  0.33	  0.33	  97.80	  -99.00	  4.10	  47.00	  2.80	  5.00
01055500	  11.94	  25.10	  1060.00	  10.54	  0.94	  75.20	  -99.00	  4.00	  41.82	  2.90	  10.00
01057000	  51.92	  14.20	  1070.00	  6.25	  3.15	  78.00	  -99.00	  6.40	  43.12	  3.00	  9.00
01060000	  10.31	  29.80	  220.00	  10.90	  0.90	  66.10	  -99.00	  5.60	  43.00	  3.00	  12.00
01064500	  50.99	  35.10	  1860.00	  0.48	  0.42	  94.80	  -99.00	  5.60	  50.57	  3.30	  9.00
01073000	  21.50	  7.90	  200.00	  5.52	  1.32	  84.00	  -99.00	  4.40	  41.40	  2.90	  15.00
01074500	  108.80	  14.70	  2800.00	  0.09	  0.09	  99.00	  -99.00	  5.10	  55.88	  2.70	  6.00
01075000	  80.70	  23.50	  2490.00	  0.60	  0.23	  98.00	  -99.00	  5.10	  54.48	  2.60	  7.00
01076000	  107.10	  22.40	  1580.00	  1.10	  0.50	  91.00	  -99.00	  4.50	  46.02	  2.60	  9.00
01076500	  42.00	  40.50	  1850.00	  1.16	  0.38	  96.00	  -99.00	  5.00	  48.53	  2.60	  8.00
01078000	  22.60	  21.50	  1260.00	  3.86	  0.86	  93.00	  -99.00	  5.20	  44.63	  2.70	  10.00
01086000	  31.80	  23.70	  960.00	  5.69	  2.01	  93.00	  -99.00	  5.20	  44.34	  2.90	  9.00
01094000	  31.20	  34.20	  810.00	  1.98	  0.37	  90.00	  -99.00	  4.70	  43.70	  3.20	  11.00
01106000	  32.20	  6.00	  140.00	  11.50	  0.12	  85.00	  -99.00	  3.80	  43.00	  3.40	  21.00
01111300	  35.10	  7.20	  540.00	  4.18	  0.56	  92.00	  -99.00	  5.50	  45.00	  3.50	  17.00
01111500	  23.60	  18.10	  500.00	  4.48	  2.84	  92.00	  -99.00	  5.50	  45.00	  3.50	  17.00
01117500	  4.41	  18.10	  200.00	  18.50	  2.76	  84.00	  -99.00	  5.80	  45.20	  3.50	  20.00
01117800	  31.10	  10.70	  360.00	  7.07	  1.20	  94.00	  -99.00	  6.10	  47.00	  3.50	  17.00
