OrganizationIdentifier	OrganizationFormalName	MonitoringLocationIdentifier	MonitoringLocationName	MonitoringLocationTypeName	MonitoringLocationDescriptionText	HUCEightDigitCode	DrainageAreaMeasure/MeasureValue	DrainageAreaMeasure/MeasureUnitCode	ContributingDrainageAreaMeasure/MeasureValue	ContributingDrainageAreaMeasure/MeasureUnitCode	LatitudeMeasure	LongitudeMeasure	SourceMapScaleNumeric	HorizontalAccuracyMeasure/MeasureValue	HorizontalAccuracyMeasure/MeasureUnitCode	HorizontalCollectionMethodName	HorizontalCoordinateReferenceSystemDatumName	VerticalMeasure/MeasureValue	VerticalMeasure/MeasureUnitCode	VerticalAccuracyMeasure/MeasureValue	VerticalAccuracyMeasure/MeasureUnitCode	VerticalCollectionMethodName	VerticalCoordinateReferenceSystemDatumName	CountryCode	StateCode	CountyCode	AquiferName	LocalAqfrName	FormationTypeText	AquiferTypeName	ConstructionDateText	WellDepthMeasure/MeasureValue	WellDepthMeasure/MeasureUnitCode	WellHoleDepthMeasure/MeasureValue	WellHoleDepthMeasure/MeasureUnitCode	ProviderName
USGS-AL	USGS Alabama Water Science Center	USEPA-304314088181501	Intake on BIG CREEK LAKE 1 18095211 AL	Facility: Diversion		03170008					30.72055556000000	-88.3041667000000		Unknown	Unknown	Unknown.	NAD83							US	01	097										NWIS
USGS-AL	USGS Alabama Water Science Center	USEPA-304314088181502	Intake on BIG CREEK LAKE 2 18095211 AL	Facility: Diversion		03170008					30.72055556000000	-88.3041667000000		Unknown	Unknown	Unknown.	NAD83							US	01	097										NWIS
USGS-AL	USGS Alabama Water Science Center	USEPA-313118087560401	Intake on TOMBIGBEE RIVER 21639376 AL	Facility: Diversion		03160203					31.52166667000000	-87.9344444000000		Unknown	Unknown	Unknown.	NAD83							US	01	129										NWIS
USGS-AL	USGS Alabama Water Science Center	USEPA-323304085264801	Intake on LAKE OGLETREE 21713294 AL	Facility: Diversion		03150110					32.55111110000000	-85.4466667000000		Unknown	Unknown	Unknown.	NAD83							US	01	081										NWIS
USGS-AL	USGS Alabama Water Science Center	USEPA-323715086163001	Intake on LAKE JORDAN 22276644 AL	Facility: Diversion		03150107					32.62083333000000	-86.2750000000000		Unknown	Unknown	Unknown.	NAD83							US	01	051										NWIS
USGS-AL	USGS Alabama Water Science Center	USEPA-323955085262001	Intake on SAUGAHATCHEE LAKE 21713194 AL	Facility: Diversion		03150110					32.66527778000000	-85.4388888900000		Unknown	Unknown	Unknown.	NAD83							US	01	081										NWIS
USGS-AL	USGS Alabama Water Science Center	USEPA-324347086021901	Intake on LAKE MARTIN 22042651 AL	Facility: Diversion		03150109					32.72972220000000	-86.0386111000000		Unknown	Unknown	Unknown.	NAD83							US	01	051										NWIS
USGS-AL	USGS Alabama Water Science Center	USEPA-331110085242201	Intake on CRYSTAL LAKE 22035619 AL	Facility: Diversion		03150109					33.18611110000000	-85.4061111000000		Unknown	Unknown	Unknown.	NAD83							US	01	111										NWIS
USGS-AL	USGS Alabama Water Science Center	USEPA-332255086044101	Intake on TALLADEGA CREEK 22206737 AL	Facility: Diversion		03150106					33.38194444000000	-86.0780556000000		Unknown	Unknown	Unknown.	NAD83							US	01	121										NWIS
USGS-AL	USGS Alabama Water Science Center	USEPA-332735086400401	Intake on SIPSEY FORK 18581811 AL	Facility: Diversion		03150202					33.45972220000000	-86.6677778000000		Unknown	Unknown	Unknown.	NAD83							US	01	043										NWIS
