OrganizationIdentifier	OrganizationFormalName	MonitoringLocationIdentifier	MonitoringLocationName	MonitoringLocationTypeName	MonitoringLocationDescriptionText	HUCEightDigitCode	DrainageAreaMeasure/MeasureValue	DrainageAreaMeasure/MeasureUnitCode	ContributingDrainageAreaMeasure/MeasureValue	ContributingDrainageAreaMeasure/MeasureUnitCode	LatitudeMeasure	LongitudeMeasure	SourceMapScaleNumeric	HorizontalAccuracyMeasure/MeasureValue	HorizontalAccuracyMeasure/MeasureUnitCode	HorizontalCollectionMethodName	HorizontalCoordinateReferenceSystemDatumName	VerticalMeasure/MeasureValue	VerticalMeasure/MeasureUnitCode	VerticalAccuracyMeasure/MeasureValue	VerticalAccuracyMeasure/MeasureUnitCode	VerticalCollectionMethodName	VerticalCoordinateReferenceSystemDatumName	CountryCode	StateCode	CountyCode	AquiferName	LocalAqfrName	FormationTypeText	AquiferTypeName	ConstructionDateText	WellDepthMeasure/MeasureValue	WellDepthMeasure/MeasureUnitCode	WellHoleDepthMeasure/MeasureValue	WellHoleDepthMeasure/MeasureUnitCode	ProviderName
USGS-AK	USGS Alaska Water Science Center	USGS-15008000	SALMON R NR HYDER AK	Stream		19010106	107	sq mi			56.02581500000000	-130.0669823000000	63360	3	seconds	Interpolated from MAP.	NAD83	295.00	feet	50	feet	Interpolated from topographic map.	NGVD29	US	02	198										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15015595	UNUK R BL BLUE R NR WRANGELL AK	Stream		19010105	745	sq mi			56.24020620000000	-130.8819864000000	63360	3	seconds	Interpolated from MAP.	NAD83	150	feet	50	feet	Interpolated from topographic map.	NGVD29	US	02	130										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15024800	STIKINE R NR WRANGELL AK	Stream		19010207	19630	sq mi			56.70772188000000	-132.1319653000000	63360	10	seconds	Interpolated from MAP.	NAD83	25.00	feet	25	feet	Interpolated from topographic map.	NGVD29	US	02	275										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15036000	SPEEL R NR JUNEAU AK	Stream		19010206	216	sq mi			58.20245459000000	-133.6128437000000		Unknown	Unknown	Interpolated from MAP.	NAD83	140	feet	10	feet	Unknown.	NGVD29	US	02	110										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15041200	TAKU R NR JUNEAU AK	Stream		19010304	6500	sq mi			58.53829828000000	-133.7017432000000	63360	10	seconds	Interpolated from MAP.	NAD83	50	feet	25	feet	Interpolated from topographic map.	NGVD29	US	02	110										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15056500	CHILKAT R NR KLUKWAN AK	Stream		19010303	791	sq mi			59.41494719000000	-135.9310198000000	63360	1	seconds	Interpolated from MAP.	NAD83	.1	feet	50	feet	Survey-grade GPSF	NAVD88	US	02	100										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15106920	KADASHAN R AB HOOK C NR TENAKEE AK	Stream		19010211	10.3	sq mi			57.66243500000000	-135.1867819000000	63360	1	seconds	Interpolated from MAP.	NAD83	100.00	feet	50	feet	Interpolated from topographic map.	NGVD29	US	02	220										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15129120	ALSEK R AT DRY BAY NR YAKUTAT AK	Stream		19010404	11000	sq mi			59.19280560000000	-138.3339167000000	63360	1	seconds	Interpolated from Digital MAP.	NAD83	50	feet	50	feet	Interpolated from topographic map.	NGVD29	US	02	282										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15195000	DICK C NR CORDOVA AK	Stream		19010402	7.9	sq mi			60.34168220000000	-144.3047573000000		Unknown	Unknown	Interpolated from MAP.	NAD83	30	feet	1	feet	Unknown.	NGVD29	US	02	261										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15200000	GAKONA R AT GAKONA AK	Stream		19020101	620	sq mi			62.30121279000000	-145.3077114000000	63360	1	seconds	Interpolated from MAP.	NAD83	1403.03	feet	.01	feet	Unknown.	NGVD29	US	02	261										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15206000	KLUTINA R AT COPPER CENTER AK	Stream		19020102	889	sq mi			61.95230180000000	-145.3076939000000	63360	10	seconds	Interpolated from MAP.	NAD83	1011.26	feet	.01	feet	Unknown.	NGVD29	US	02	261										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15208000	TONSINA R AT TONSINA AK	Stream		19020102	421	sq mi			61.66090357000000	-145.1860030000000	63360	1	seconds	Interpolated from MAP.	NAD83	1500	feet	50	feet	Unknown.	NGVD29	US	02	261										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15209770	NATIONAL C NR MCCARTHY AK	Stream		19020103					61.48468889000000	-142.8866167000000	24000	.01	seconds	Interpolated from Digital MAP.	NAD83	2026	feet	1.6	feet	Interpolated from Digital Elevation Model	NAVD88	US	02	261										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15212000	COPPER R NR CHITINA AK	Stream		19020104	20770	sq mi			61.46507857000000	-144.4579232000000		Unknown	Unknown	Interpolated from MAP.	NAD83	400	feet	50	feet	Interpolated from topographic map.	NGVD29	US	02	261										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15239900	ANCHOR R NR ANCHOR POINT AK	Stream		19020301	134	sq mi			59.74660897000000	-151.7552124000000	63360	5	seconds	Interpolated from MAP.	NAD83	159.60	feet	.1	feet	Reported method of determination.	NAVD88	US	02	122										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15240000	ANCHOR R AT ANCHOR POINT AK	Stream		19020301	223	sq mi			59.77188747000000	-151.8368857000000	25000	.5	seconds	Interpolated from MAP.	NAD83	50	feet	8	feet	Interpolated from topographic map.	NGVD29	US	02	122										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15240500	COOK INLET TR NR NINILCHIK AK	Stream		19020301	5.4	sq mi			59.97856130000000	-151.7244164000000		Unknown	Unknown	Interpolated from MAP.	NAD83							US	02	122										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15242000	KASILOF R NR KASILOF AK	Stream		19020301	738	sq mi			60.31747670000000	-151.2619378000000	63360	5	seconds	Interpolated from MAP.	NAD83	23.37	feet	.10	feet	Level or other surveyed method.	NGVD29	US	02	122										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15248000	TRAIL R NR LAWING AK	Stream		19020302	184	sq mi			60.43303580000000	-149.3740777000000		Unknown	Unknown	Interpolated from MAP.	NAD83	460	feet	10	feet	Unknown.	NGVD29	US	02	122										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15258000	KENAI R AT COOPER LANDING AK	Stream		19020302	643	sq mi			60.49219269000000	-149.8099203000000	63360	10	seconds	Interpolated from MAP.	NAD83	425.9	feet	.1	feet	Survey-grade GPSF	NAVD88	US	02	122										NWIS
